Model,CV_PR_AUC,Test_PR_AUC,Test_Accuracy,Hit_Precision,Hit_Recall,Hit_F1,F1-Score,Precision,Recall
XGBoost,0.49840043232404085,0.4579293576732629,0.5707762557077626,0.41146496815286626,0.6223506743737958,0.495398773006135,0.582155603266578,0.6274297349719369,0.5707762557077626
SVM,0.49403982610214137,0.45665323532239355,0.5733855185909981,0.4074074074074074,0.5722543352601156,0.47596153846153844,0.5846391136554571,0.6167380103180553,0.5733855185909981
Logistic Regression,0.49967215970884604,0.4349995472166912,0.5714285714285714,0.4108527131782946,0.6127167630057804,0.4918793503480278,0.5828696607548763,0.6253769823031703,0.5714285714285714
Voting Ensemble (XGB+SVM+LR),0.5062725284165629,0.45925044378319857,0.5903457273320287,0.4281949934123847,0.626204238921002,0.5086071987480438,0.6013173419070602,0.6406250246714532,0.5903457273320287
Stacking Ensemble (XGB+SVM+LR),0.5063350893131691,0.4585724383831372,0.5701239399869537,0.413151364764268,0.6416184971098265,0.5026415094339622,0.5812482694348046,0.6320924806869685,0.5701239399869537
