title,artists,is_hit,spotify_popularity,total_plays,spotify_streams,days_since_release,release_year,sentiment_score,sentiment_confidence,sentiment_neutral,sentiment_positive,sentiment_negative,genre_v-pop,genre_vinahouse,genre_vietnamese_hip_hop,genre_vietnamese_lo-fi,genre_vietnam_indie,genre_bolero,genre_hip_hop,genre_indie,genre_lo-fi,genre_unknown,file_name,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio,lyric_total_words,lexical_diversity,noun_count,verb_count,adj_count
Chạy Ngay Đi (Sky Tour 2019),Sơn Tùng M-TP,1.0,33.0,263000.0,1378447.0,1.406535016554731,-1.3819574057357955,-1.3380344251292344,0.21596145530834093,1,0,0,1,1,1,0,1,0,1,1,0,0,Chạy Ngay Đi (Sky Tour 2019).mp3,1.4577651647529148,0.3458233492250193,G:maj,-1.6915288176373067,1.9103887343901984,0.6487387595905184,-2.3653945345917187,0.568145711601233,-2.285020467283414,1.533014250797777,-2.125539177588748,0.51470395502795,-1.7389970494313953,0.8462201141229804,-2.673602255404967,-1.2270443275185146,-2.106600341983952,-1.2586950104845294,-0.6271446849950518,-0.41134857858737983,-2.1921995564727337,-0.5891156063433268,-1.5973734551631975,0.6382219456494704,-1.469816470183988,0.27629387848379083,-1.436961478903233,0.8374543110253598,-1.7363723695812336,0.5727027987195744,-2.2612590220399005,2.252826133892518,1.6592853854290848,-0.22770187665345812,-2.929714345432597,-2.808586471392602,-2.8015031631657337,-2.3173975244106417,-1.7761109474537218,0.41234887853186086,2.523615635740571,-0.012468291008886911,0.9858859973943085,-1.064029523949213,0.939853028882175,0.8479093971903922,1.7261206713336021,0.9190924024230143,1.4446438203249305,1.515466007161576,1.132626108619698,2.0659945096393186,1.8429519053413526,2.55474653370311,1.2342509555132273,0.804740623548298,0.6458032247346094,0.6091937567773155,-0.1720354613958764,-1.032540364876182,-0.2735491589116248,-0.37296562951212003,-1.124735033061288,2.323376224396856,-0.09442644384979487,2.5939168035293108,2.346264544417102,2.4398252052347305
Người Âm Phủ,Osad,1.0,52.0,405200000.0,11553739.0,2.399841279728614,-2.2092291242247746,1.2328224230144456,-0.896266651664765,0,1,0,1,0,1,0,0,0,1,0,0,0,Người Âm Phủ.mp3,-2.1433056977465346,-2.4763626735393145,C#:maj,1.8197238052194062,-0.1868825977766205,1.0146780966461684,-0.5954941338322616,0.78038087647742,2.7156706491126847,2.7299675814990523,0.3765961670920485,1.3362959240099126,0.31853450937577543,1.0845617499702789,-1.0719443867038374,0.16756728520997446,1.1772148611577447,0.009328884359038081,-0.6482033306666486,0.3538429409096551,-1.1838878419431484,0.8215455552791392,-0.46371017270994225,1.5309333641980591,-0.11898779435743859,0.20048931830154254,-0.4808541026615532,0.5607326810267049,-0.8455585117776911,1.2812285176238045,-1.1977460801369646,-1.0540978592762822,0.055825724855816536,1.4866549085316718,-1.266508992203211,-0.6359640781135993,-0.6299230672335552,0.05550128490901875,-0.617059906128685,-0.8440882594802414,-0.48990619892946985,0.15574142991588516,1.747854771143001,-0.45161884955240933,2.0056108665121277,1.9894725590517728,-0.1670967685358455,0.1349305941759764,-0.7308101169432443,0.6969314088246883,0.6197052059540341,0.8068823502276886,2.010127064553341,1.1624988101204246,2.4547361586098115,1.5563232294238833,-0.9623106137210293,-0.3905818137950441,-0.14835250869027528,0.009331326556765959,1.520844845253083,-1.4403524938839556,0.6376028199064244,-0.3979541313207387,0.8201979896925932,-0.3891152201124733,-0.39631370585662834,-0.7762618559183069
Nơi Tình Yêu Bắt Đầu,Bùi Anh Tuấn,0.0,58.0,79000.0,96251.0,2.925971024948375,-3.036500842713753,2.5986462656428406,-0.46835059143027924,0,1,0,1,0,0,0,0,0,0,0,0,0,Nơi Tình Yêu Bắt Đầu.mp3,0.6401083572009276,0.09468105375402183,A:min,-0.7266782774706574,-0.3628885789031439,1.4136891818929278,-0.5749075601174305,0.6691371254262704,-1.1732593117658994,-0.3431619725279019,-0.6684831027009058,0.4998200425463926,-0.8859181767767441,-0.3086512448277554,-0.4566108912518438,0.3455611855162942,-0.9344230035265016,0.9117473223914108,-0.5540014131709456,0.7391448437303798,-0.5069665506698153,-0.21083340159168268,-0.8954297884588956,0.561961218976932,-1.7262291253450155,0.10247938190429211,-1.467165935038549,1.054211857339425,-1.8691062841652695,0.9126870458244221,-1.4238821431044943,-0.18116301391165854,-0.24934380002651135,-0.6462066212721799,0.3821068403838096,0.14643862898985163,0.9683025479244524,0.31733839490291266,-0.5564118865244679,2.794982719518224,-0.5967170576909472,-0.40672255215944114,-0.36025883622838256,1.0162226081288253,0.08044654375263122,-0.9530886549802763,0.5842345324649757,-0.5070800393219707,0.1930920873888495,-0.9641116045367787,-1.2955880737725252,-0.030657082613350366,-0.0960444835469947,0.9371078153653658,-0.37902099671425477,0.1570634470564336,1.148449938708211,0.6340065887346198,-0.5422374063202723,0.4114128773767629,0.06501574753454642,0.5968643709117519,-0.05315725743185089,-0.4753046065478538,-1.2381131245138117,-0.0908120177482949,-0.6192875473422975,-0.7762618559183069
Răng Khôn (feat. RIN9),Phí Phương Anh,1.0,50.0,59700000.0,20780199.0,1.0572649531318876,-0.9683215464913061,-0.33735848912921357,0.5218683909305148,1,0,0,1,1,0,1,0,0,0,0,1,0,Răng Khôn (feat. RIN9).mp3,-0.11013150953641164,-1.5265139267660777,G:maj,-0.055350745389977175,0.7606438261071997,-1.0017232367645992,0.6533237569570991,-1.000532589767924,-0.7518299369579262,-0.6181816819855128,0.14565791371906608,-0.7068931618958655,-0.4458191442559915,0.3299359578859932,0.8449834374095798,-0.34547258275847936,0.3885537429730528,1.2914414289458083,-1.1185767052849962,-0.5853347951321082,-0.7947456022132144,-0.40896638707747857,-0.9380882313375273,-0.059418952774208667,-0.37482154657180333,-1.5025118602035656,-1.290815959373504,-1.0927138455472218,-0.7266622918009374,-0.5461313498529513,-1.1687406446831874,0.6029401107301854,0.965761818432158,0.47820974077571365,-0.26712682820134553,1.2327498256293528,0.6386237214793022,0.4646217692744777,-0.5025025357651627,1.255081105247296,0.0017581500103323292,-0.43115979975141766,0.17311930539570247,-1.2584456110593105,-1.0908318718604857,-1.53115680928455,0.1421401998638824,-1.4380537165721687,-1.2795941330502767,-1.8465763807075095,0.036840543833961376,1.325999830020729,-1.0520038446747046,0.11426892063756595,-0.9334764947627965,0.915573081557601,1.4714952914388866,0.11596307274797342,1.6016930491341421,-0.7417266645975679,0.025516508449159776,-0.41887474195822044,-0.007625899093956206,-1.4175740320418013,2.0085599313200477,-1.3479469419973324,-1.3996959925421395,-1.1147973360396792
Chong Đèn Canh Thâu,Trungg I.U,0.0,31.0,256000.0,117252.0,-0.6646142130418757,0.6862218904866516,-1.065857756719893,-0.34810971500075427,1,0,0,1,1,0,0,1,0,0,1,0,0,Chong Đèn Canh Thâu.mp3,1.6413002394483156,1.2768874690199383,A#:min,-1.976523460730811,-0.3610181934576286,-0.0482062180400918,-1.5421737809833718,0.9806431969608139,-1.0864685553797435,0.3076069881081821,-1.2865243769616062,0.16882472728345313,-0.603282894270986,-1.4274651589880492,0.7797696026757869,0.37144940232320817,-0.15082474172192079,-0.032837145368845015,-1.2797082156704882,-0.396795233325022,-1.1451766243553354,0.36201619110840483,-1.4789002441353396,0.7508036527826809,-1.8139329217643894,-0.334147816721199,-1.9206522834034938,0.5556676454927034,-1.7691019522161886,0.332931015955929,-1.8184387691651347,-0.3817013329618706,-0.20571083789329536,0.7706588394249407,0.31645399749317604,0.5020762231277818,0.1082708267631934,0.23551429802981974,-0.17230776236442627,0.5425893135696965,-0.46059714192125606,-0.9924019194471444,-1.6048078333512479,-1.3167704371923332,0.521288069548959,0.7689715189765731,-1.1646723221512654,-0.16684935877496443,-1.1128749382835834,0.5770623253862318,-0.4189596219439358,-1.4814951362897955,-0.7223626856651496,-1.3707234227964835,-0.2879400114085394,-1.224878763747062,-1.667675695830211,0.08207237544043582,-0.9959529213117878,0.12818562145324303,-0.10990945412930872,0.763284903528866,0.6351891093439338,-1.4035103092732348,2.8216496808546228,-1.2840248272050085,-1.4442907608392732,-0.6916279858879637
"3107 4 (feat. Erik, Nâu)",W/N,1.0,59.0,3107.0,26514754.0,0.5400338082541098,-0.5546856872468167,-0.021166451901199784,-0.9846790608041213,1,0,0,1,0,1,1,1,0,1,1,1,0,"3107 4 (feat. Erik, Nâu).mp3",-0.4659319613581971,0.3458233492250193,G#:min,0.2763760655878941,-0.18983726463982545,0.03453965059088172,0.5218118801670631,-1.2979210750991543,-0.27441307733610726,-0.6893558491894755,-0.6897817558446595,-0.14493959699122222,-0.9370213948005257,0.5303985852851981,-1.7664679218442405,0.6747555869161843,0.2688685940638961,-0.6144231469538177,1.739185427117863,-1.2201027405475529,-0.2140423372951242,0.18757885139268451,1.086226730061329,-1.483841336986448,-0.04339960960750175,-1.0524357820844612,-0.08426330100983259,-0.6688464396505227,-0.36845246686065597,-2.0023279664270124,1.6084559572576478,0.0077392011461136015,-0.3680637678362209,-0.7924311705967934,-0.6318648442604212,-0.3514540028032529,-0.2644095857400187,0.09641333334556522,0.3398310698489635,0.24380243318877493,-0.5582612144352034,0.19850661320184385,-0.49995311141564275,-0.850171828128108,-0.3897062537056872,0.2892721052156739,-0.9012482379589044,0.4903085310487051,-0.6763948242068925,-0.7974364980414012,0.0030343934309969953,-0.4499874010638839,0.6491799937853204,-0.5521982313175845,1.045257911003868,1.0367960825052756,-0.9451210444931585,-0.8317660698163819,0.9971545195437985,0.41394169216179433,0.11015773506070257,-0.516431605906184,0.2244194572545909,0.05911685865766866,0.20286711092508414,-0.02688990295597095,0.1834182820061114,-0.8608957259486499
Qua Khung Cửa Sổ,Chillies,1.0,52.0,2000.0,10372718.0,1.0428047275761647,-0.9683215464913061,-0.9315659681812904,-0.3215859922589473,1,0,0,1,0,1,0,1,0,1,1,0,0,Qua Khung Cửa Sổ.mp3,1.248269536728888,0.6235091393392936,E:maj,-0.28171032269596247,-1.3677192757118786,-1.54975668333095,-0.04843621173374689,-0.41393392029502907,-0.619815915933743,-1.6060969556555478,-0.8365903292998164,-0.5745694553530971,0.03331271430132954,-0.7212558039236665,-0.5776661328959606,1.464921428346239,1.216359857997076,0.5579323667837472,-0.6941591062661958,-0.6270469644404725,-0.0887733971985748,0.3618950300270386,-0.4480620045639426,0.26581285758050327,0.16827211781860688,-3.1594727140188597,-0.3170368787609877,0.1654372704500144,0.15934272177738018,-0.9696293451640616,-0.6094260563403,-1.0989961922422369,-1.295217957220681,1.4059792951111951,1.3158361614950442,1.4849292105635232,1.5344900976889475,2.575683468600244,0.14440967334648677,-0.01667843688690732,-0.5857015731777928,-1.253880468681293,-0.5380515501030777,-2.006947546433178,-1.4449120335373238,0.3682099834294922,-0.5084027558807314,-0.8007037773282907,2.1578314868268977,-1.1981417198213837,-1.953059412643967,-2.137399511406272,0.18650508131833782,0.8853433763785576,-1.218104573843157,-0.5552659966075235,1.4649751100076254,-1.7189761100458487,-1.3113101336547919,1.5076540866878865,0.8267867870384317,-1.5838184702780194,2.175465590562493,-0.6581330025392168,-0.25606966079023497,-0.7513405372689757,-0.5078006265994629,-1.1994312060700223
Độ Tộc 2,Độ Mixi,1.0,38.0,34300000.0,5112203.0,0.8870792215914575,-0.9683215464913061,0.4692905149354353,-0.054580516658090356,0,1,0,1,0,1,0,0,0,1,0,0,0,Độ Tộc 2.mp3,-0.725135005445561,-0.13400136163420354,F#:min,-0.4580654577799448,0.13024260986225256,-0.007620178537463177,2.9220852778238795,-0.1129394404911662,2.519003607535631,0.872358532226581,2.7611325197719787,0.3175779833731709,3.4180387375205914,-0.7541413716982989,1.5638638705675345,-0.6704739456590764,1.3637840284524378,-0.3017114409193274,1.6810991929844248,0.3162073778745897,1.2807846796491122,0.9151511449975969,2.1693872682914472,1.3894967617329568,2.1563902374996555,1.0627097443475457,1.6443125532341614,-0.08820412436806202,1.9210480827371037,0.09563983957464782,1.7143760097395653,0.3405885368128116,-0.020066678475418095,-1.4327938521218284,-0.8798866951805926,-0.5713026973612472,-1.0527719968045075,-0.026322811964074197,-0.037534385466164166,-0.03200084100900852,-0.020764581717456165,2.62512529908511,0.7445958857072225,0.9967809994178176,0.28328054365360117,1.776947502322261,0.16504664196756602,-0.23792494614951015,-0.2584390651042792,-0.10333742441681555,1.1804210109135445,-0.10689895869526526,0.5314510084247657,0.18544502424442666,-0.16498068124582405,0.6431099556180645,-0.09453373959679232,-0.868077531217315,-1.0321005859677053,-0.9124216625871893,0.3753669117768701,0.9985691048151306,-1.3645700916796917,0.2419452546490316,1.0931232203055967,0.12226169822611825,-0.12874509607382537,0.2393445844458102
Sau Lưng Anh Có Ai Kìa,Thiều Bảo Trâm,1.0,49.0,43300000.0,9473581.0,0.6635018879991278,-0.5546856872468167,-0.5264449204828978,0.7340581728649709,1,0,0,1,0,0,1,0,0,0,0,1,0,Sau Lưng Anh Có Ai Kìa.mp3,1.318705146535237,1.664830852267821,A#:maj,-0.9080031792049246,-0.18468692790579785,1.247066976026593,0.2482526447446953,-2.8111660496733317,2.606335959905477,1.0323561719138972,-0.3320404496479737,-0.6371963794101115,-0.1966517668056851,-0.32018328340666574,-0.09276664820236653,0.38107353525751747,-0.07719024816290114,-0.014215783683760915,-1.132276488873971,0.029634478860453946,0.4396382229851651,-0.716628990118452,-1.1604782179085902,0.822931368044645,-0.831782722540923,0.023297876798100033,-0.6005182847809799,-0.11774088836121378,-0.9623447286760292,-0.383923893484207,-0.03552013896058354,0.17047437259161535,-0.14007092903187615,-0.9890779783092055,0.002779303682371195,0.7283910557610122,1.0614726510502548,1.1846738217576844,1.2091193508427411,3.4844909050126693,-0.806601378682653,-1.174052126547503,-1.0968286508521192,-0.17943632759827077,0.7018455029868171,-1.4437179288015505,-0.43510214114894374,0.10696642865156476,-1.2946451714667144,0.3875550125216246,-1.0985798179759407,0.19022011721219806,-0.40567171504525523,-1.1086659504257688,0.28587019601746694,-0.9327890567017116,-0.9320806816306357,1.6882493514083787,0.43374953938949884,0.2950873972653172,-0.8378240029885768,-0.5738179964638096,-0.2381352578118275,0.030989413120535894,-0.6565224545170529,-0.4317299633073559,-0.15104248022239228,1.085683284749241
Hoa Nở Không Màu,Hoài Lâm,1.0,48.0,7800000.0,12349781.0,1.420995242110454,-1.3819574057357955,-0.4563796395062357,1.2751421167978325,1,0,0,1,0,0,1,1,1,0,1,1,0,Hoa Nở Không Màu.mp3,1.8322813643232447,0.9318220386573484,F:min,-0.16071797906186375,-1.0906040523857652,-1.8129120415915765,0.05110592705208176,-0.20891074436410711,0.6093361690483541,-2.092908328465849,1.023542756333557,0.6325158469011997,0.20033872290359458,-0.4992244128169525,0.5257057862026835,0.7909050893011838,0.42294625010691467,-0.8753947182769717,-1.1352666893167656,0.7444736498828493,-0.46041508648193785,-1.8564605174353142,-0.7452558957089087,-0.8399295869002391,-0.5919101515702534,-1.1909101573668748,-0.4176135226282366,-0.614856500441935,-0.38960156748384284,-1.794965406886614,0.6010044374435785,-0.26971092721998846,-1.235749135794915,1.5572460702745874,1.7462270204447534,1.290945068306469,1.7351641659599089,1.651071173934308,1.2832447081367837,1.0252450434158107,0.26032697844856784,-1.233923383147845,-1.0333312530397283,-0.3058067842198309,-0.46474310916038153,0.10710777087609166,-1.4761999347613621,-0.5373745519734163,-1.5146218867838797,0.009681997110871464,-0.7337065394887748,-1.9535220455616529,-1.0920316996972934,-1.5691537722459135,-0.6408788294681864,-1.6785991387226458,-1.5165260353782437,0.02760518333903609,-0.9897205653366297,-0.5343638522249908,0.1665852194683978,1.021523661038181,1.8253678448848498,-0.6159418342335176,-0.33161146569204836,-1.0922584828280366,-0.44090847415376216,-0.09919089567556215
