spotify_track_id,topic_prob_0,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,topic_prob_6,topic_prob_7,topic_prob_8,topic_prob_9,topic_prob_10,topic_prob_11,topic_prob_12,topic_prob_13,topic_prob_14
2SChI9PnwA9Sf59KGnRuKv,0.1341978238662171,0.26479060615990624,0.018357712297727247,0.020709336770658244,0.03346203013646913,0.03917455834101626,0.012236386462390432,0.0108878227170249,0.06463802097448003,0.013997488766617558,0.04215466864046319,0.020582896532785205,0.051505232553281176,0.045251521699155486,0.013663167566259715
5XfGQZA0ioQAWUjlyJRcHc,2.364353040067654e-307,1.0,3.7880462260558447e-308,3.97796121324477e-308,5.942384519739115e-308,1.1520954422278003e-307,2.3187761438174345e-308,2.089530026878424e-308,1.100509801328168e-307,2.6836267685550017e-308,8.3822240975023e-308,5.121738917183632e-308,9.153375052236393e-308,6.458623965402972e-308,3.2574456073694495e-308
6gpxCkfzKZvYrbaoakZHpb,0.0832393347346746,0.05739215294288077,0.0832774145742675,0.05741649582268758,0.025766539934471814,0.029527116830918968,0.013790579706314287,0.012009874793361464,0.042263680905617704,0.019285829320239187,0.059274562781349904,0.023977119620758165,0.018763144152903182,0.016709964656266497,0.017962611999419127
3tpfnaMz1u8fM6dBu8YQXj,0.025254374236677184,0.015561789192093216,0.0033774463628373076,0.008243500293488552,0.030617436613037858,0.003176709176762967,0.009434319032119762,0.006274306017103022,0.03067911180198162,0.006280093849717434,0.0038116397243891627,0.002585302151775906,0.004221215545754094,0.004458643231890146,0.0022260398545424684
3MlvHVRytWiXpSHEeZVF0I,0.17687456306079807,0.2448815735151405,0.01799699715140248,0.023734983736624624,0.038245712056772005,0.03410756332709854,0.01459523101781983,0.012655827745865345,0.08077927462070494,0.016571253057637597,0.038982664106881164,0.02000537547092589,0.06651189196479923,0.06226479242873346,0.013474014219238639
6r5o9yIc16ZvymXUKJQ1yy,0.35824057143455185,0.07716152068017412,0.015801986724407323,0.030398742008749795,0.05512303112788372,0.017283131503892768,0.017775887043712964,0.0138890858326461,0.16343468222707047,0.018334722474044485,0.02134315693831164,0.012764983073934847,0.03100386936113601,0.03207200186151625,0.009434008291322656
4PfJ5TfA8niTcVbPGmkspN,0.22183252979390827,0.09810388336268797,0.01523214851679623,0.02416576974714125,0.06967670331753781,0.01839097721499345,0.01786668998209955,0.014960390096502104,0.279764818316626,0.017209769036421595,0.020420474341389043,0.013857230633887642,0.0355904204187585,0.042771519064008924,0.010476663226216213
0fSy1B6IjJm1Njij3YesGH,0.1364047001992996,0.08918504919269014,0.10486888454286282,0.19405393246626357,0.04449822169906654,0.037658820531519865,0.023294167596041773,0.019694904650820966,0.07137398261134167,0.03584391265195982,0.06888242967613434,0.029298722935373233,0.029044528102688035,0.026083156931971614,0.021180638668111953
6N9GzbUV7BMIL6luxnNfig,0.08724560006595444,0.09466224251626533,0.009009185460223463,0.010696004790884233,0.01730584336142388,0.01984772076751732,0.006227259092160833,0.00547900861402365,0.03612580515969071,0.007068235505883673,0.019262868477617354,0.010346368174915077,0.04386581618034897,0.028019350464733087,0.006872694865885763
3rxbssNItXaXyqc0wJUsYC,0.048373972588091896,0.0208229033024752,0.0034483592210675733,0.005999592780105124,0.011195544472755257,0.0043806169566185495,0.0038590616765730116,0.0031219739808088028,0.03299867619228662,0.003861256120165784,0.005139019615275669,0.003102283089618285,0.010210801581108469,0.009392437584735848,0.0024780558742691985
5juq95pMEYdSzCXKYR5J69,0.1664411332068901,0.09262289375212944,0.05731458498258089,0.24843548018080547,0.055167044499530055,0.03165900806432096,0.03221309948743795,0.025056677560562478,0.0876643331816361,0.05020157512954189,0.04907252605268481,0.024929264701146994,0.031004914043589477,0.028379437712378552,0.019838027444765143
3H0crn1dmj1leEzTCws5SW,0.06931094885617337,0.048273310260945265,0.3772292207526,0.04925205841713823,0.02453089338308765,0.023808681831225514,0.013826975123648872,0.012249338057960123,0.03841882282468744,0.019984084957892147,0.036774442493178704,0.021806476269194054,0.015784371889400173,0.01427142060527606,0.01784548821754469
4inMQ83GNpQ2OHDredH5hW,0.346236209989791,0.11794763552258258,0.019811480177248448,0.0268201027973275,0.059599085725303425,0.025651468778806887,0.017970570767728306,0.015371383384190253,0.16359963569355299,0.018507566173523466,0.02849782743601454,0.018349845075715413,0.05599960062066666,0.07183537388795977,0.013802213969588807
5phC3U5ofvJzPZMaJbCl7M,0.15628886589317623,0.09279101459913441,0.06465256500390179,0.1712422978299807,0.04496160058597182,0.037002970301215084,0.02351885245940789,0.019331439280566513,0.0753742840996241,0.03489500804531809,0.0661490047615334,0.02777819126454404,0.0314026607363436,0.028741703290061125,0.019558384251188436
5AsZiMkbxLlR68WM3HHKWZ,0.06195122125976041,0.044266395641878196,0.3564277589322001,0.03607674798231702,0.021417031580094392,0.024066894875087005,0.0117596724824171,0.010547835612080343,0.033956666826509975,0.016421596691721843,0.03612764827447436,0.022662918284262156,0.014485524621467512,0.013021593847943477,0.018335143182531488
3DLtPObflLQBodZN8qGODT,0.02568154761674115,0.01936034340763084,0.002259096010097874,0.0035610229677670922,0.00922367596074981,0.0031518459994980615,0.002598624893331355,0.0022000048664325986,0.04845335718723321,0.0025839636213288797,0.0033195929883813803,0.002276704178539358,0.007747211457532946,0.008710050959384137,0.0016859212020899723
4TQ0Jgrhe4V9MMqjKViub5,0.07574559694535625,0.05425523560336675,0.3916862936216325,0.04177779896313581,0.025449941426217718,0.03023355383114335,0.01376241378799831,0.01235456580650937,0.040774837614034526,0.018941690171501747,0.047356775241856754,0.028170470140034255,0.01768350944714501,0.015960108860755464,0.02239193432736316
