title,artists,featured_artists,album_type,spotify_popularity,spotify_release_date,spotify_genres,genres,spotify_track_id,main_artist_id,is_hit,file_name,Audio_Error,Lyrics_Error,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio,final_sentiment,lyric_total_words,lexical_diversity,noun_count,verb_count,adj_count,lyrical_density
Đường Về Không Xa,MANBO,"Anfang, Trang Hàn",single,17.0,2023-08-22,"vietnamese hip hop, v-pop, vietnam indie","Rap/Hip-hop, Pop",1HQTwI4ndXgVsS3VSOJc7r,2rKtPYcwYmevNcaqzJOwvf,0.0,đường về không xa - manbo.mp3,OK,OK,231.53,184.57,D:maj,0.123115,1917.06,0.3478,13.4389,-6.3774,11.5281,-1.4266,10.2571,-2.9368,10.032,-184.3259,93.3376,105.09,39.0098,25.2901,22.5965,21.49,18.1779,7.8516,15.6718,-2.2162,16.6797,-1.9882,12.9557,-2.1053,12.8927,0.0266,13.6105,0.066042,4192.73,22.88,17.75,22.31,21.87,20.49,19.5,46.87,0.009935,1.4094,3.49,0.9608,0.2161,0.2675,0.3048,0.2299,0.3219,0.2213,0.3517,0.341,0.3127,0.4277,0.2567,0.2716,0.2265,-0.1183,0.0015,-0.0591,0.0009,0.0069,2.7047,negative,425.0,0.4635,137.0,141.0,28.0,1.8356
Đường Về Ocean City,Da LAB,,single,13.0,2025-06-18,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse","Rap/Hip-hop, Pop",5V4H6Uvwq1Hg1yZgxeFMGS,6zUWZmyi5MLOEynQ5wCI5f,0.0,đường về ocean city - da lab.mp3,OK,MISSING,186.71,123.05,A#:maj,0.250064,2316.84,2.1551,9.3968,-3.3347,9.0346,1.5907,8.4935,-4.9267,8.8537,-63.0612,112.8603,86.5187,32.5573,11.7663,20.8078,27.366,16.6266,8.3442,13.5547,8.1647,10.9406,2.546,10.1643,6.7801,9.0127,1.3941,9.3262,0.085358,5217.01,22.07,17.05,19.86,18.39,17.55,17.39,48.01,0.028182,1.4795,3.83,0.9668,0.3911,0.2841,0.3715,0.4141,0.3769,0.4577,0.3132,0.3418,0.2756,0.2883,0.438,0.3601,-0.135,0.2045,0.0307,-0.0157,0.003,0.0134,2.318,positive,330.0,0.4485,122.0,76.0,26.0,1.7674
Đường Về Quê,Bùi Anh Tuấn,Phạm Hồng Phước,album,49.0,2017-01-04,v-pop,Pop,0d0X8B4ZahEeCBdJ6JHPeN,2Gvp79Cmni6PX13CAlSGex,1.0,đường về quê - bùi anh tuấn.mp3,OK,OK,241.67,117.45,D:maj,0.136845,2180.08,-0.9059,12.3607,-14.3941,11.1448,-7.0012,10.7026,-12.9154,9.8277,-145.8963,92.5952,90.8036,31.7576,1.1687,22.1675,14.329,15.9192,-2.6103,14.5253,-8.4539,15.6438,-9.4902,14.5964,-7.0209,12.1929,-16.3141,12.7208,0.098121,4528.75,22.59,19.84,22.65,21.76,20.73,21.16,50.8,0.013329,1.3452,2.4,0.9557,0.166,0.2309,0.3688,0.2434,0.2147,0.2048,0.3589,0.3123,0.2387,0.3464,0.2638,0.2233,0.1403,-0.0339,0.0122,-0.1736,-0.0093,0.0317,2.9925,positive,287.0,0.439,104.0,81.0,27.0,1.1876
Đường Xa Ướt Mưa x Đừng Qua Lối Đó,Jun Phạm,"Cường Seven, Thanh Duy, Tự Long, SOOBIN",album,33.0,2024-08-24,"v-pop, vietnamese hip hop, vietnam indie, vinahouse","Rap/Hip-hop, Pop, Indie",6H1SBYLM9WUHhK33xUEO90,5bJcxnt5lkrDyKfPjtSBxP,1.0,đường xa ướt mưa x đừng qua lối đó - jun phạm.mp3,OK,OK,273.72,143.55,E:maj,0.180008,2471.64,4.839,11.2593,-2.9501,10.2337,0.3243,9.0854,-3.0347,8.8049,-92.1017,101.6406,82.6478,36.3732,4.0523,21.7467,18.9504,17.3454,4.1319,13.8889,6.9558,14.5463,1.4074,12.5636,8.0275,10.6815,-2.3337,11.3991,0.097263,5369.6,19.81,15.69,18.85,19.15,18.58,17.68,48.61,0.027041,1.4316,2.94,0.9702,0.396,0.4122,0.3325,0.4223,0.4862,0.3516,0.4059,0.3753,0.479,0.4199,0.4158,0.533,0.0534,-0.1387,0.0024,0.0753,0.0096,-0.0007,1.9659,positive,341.0,0.4839,106.0,117.0,21.0,1.2458
Đường Xưa,Lê Hiếu,,album,15.0,2020,"v-pop, vietnam indie, vietnamese bolero, vietnamese hip hop",Ballad,0PMCXY232ah6CHmhoQjAL8,4sOvsEM0ooH149joyEm7Wg,0.0,đường xưa - lê hiếu.mp3,OK,OK,267.91,123.05,D:min,0.085006,1432.71,3.5323,10.3402,-3.9681,9.0277,1.3208,9.2578,-6.5674,8.831,-228.8616,109.8056,132.2088,32.7355,15.463,21.0638,13.8451,14.6639,3.6552,12.5287,7.9838,9.217,-3.5771,9.9392,2.6281,8.1984,-11.0388,10.3164,0.057385,2835.53,19.03,18.1,22.3,21.36,20.79,19.45,47.91,0.004989,1.0341,2.11,0.9476,0.2149,0.2866,0.3993,0.2704,0.3211,0.3237,0.1974,0.2484,0.248,0.3889,0.2789,0.1598,0.1463,0.1346,-0.1291,-0.0498,-0.0069,0.0083,4.2408,negative,217.0,0.4194,96.0,62.0,8.0,0.81
Đường Đêm,Hoàng Dũng,,single,13.0,2020-01-01,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop","Rap/Hip-hop, Pop",4T7hxj2nnmXtLv9kkct9yD,6OzE2OdvV2tGAxSBsBuZ74,0.0,đường đêm - hoàng dũng.mp3,OK,OK,304.0,99.38,A:min,0.244877,1849.05,4.7749,7.4027,-3.3045,7.7084,-0.5907,6.9878,-2.1516,7.0764,-64.0053,93.8661,119.1216,31.3926,-6.903,18.5531,6.8537,14.7393,5.5236,13.4817,4.7316,10.8328,0.1805,8.6974,3.441,7.7712,-0.7778,9.0366,0.078693,3780.44,18.71,16.5,19.19,18.94,19.43,17.92,47.92,0.011769,1.103,2.47,0.9282,0.4072,0.2413,0.2884,0.2615,0.4352,0.2545,0.2139,0.2621,0.2682,0.449,0.2507,0.3511,0.2093,0.049,-0.0899,0.1052,-0.0139,0.0147,2.1767,negative,488.0,0.2643,144.0,155.0,48.0,1.6053
Đường Đến Ngày Vinh Quang,Trung Quân,,album,13.0,2020-01-01,"v-pop, vietnam indie",Pop,3qUGZCM9OeyK3ccs3J28ON,5Cf9nBDNc99UFkq9Yqap7Q,0.0,đường đến ngày vinh quang - trung quân.mp3,OK,OK,242.47,99.38,C:maj,0.180446,2415.05,4.5566,11.1921,-5.5622,9.2858,1.0236,8.6487,-0.6583,8.2986,-67.528,88.6895,82.5909,27.9315,2.0939,20.3447,46.512,21.3959,1.9201,15.981,2.8899,9.7956,6.2175,12.3992,-0.8191,9.2382,-8.9417,10.9136,0.120737,4945.65,18.42,14.8,19.33,18.18,18.18,20.51,49.55,0.037028,1.2796,2.06,0.9682,0.478,0.3288,0.3843,0.3265,0.4435,0.4024,0.3401,0.3933,0.3406,0.4007,0.3198,0.4006,0.1083,0.0783,0.002,0.0576,0.0013,0.0086,1.6684,positive,289.0,0.3356,89.0,55.0,33.0,1.1919
Được Là Chính Mình,Mabel,Dani D,single,13.0,2025-08-18,"v-pop, vietnam indie","Pop, Indie",4u1VnXsY5Hpowq1WmpndeG,1hhQRlbjtVj3lrP7b3eblN,0.0,được là chính mình - mabel.mp3,OK,OK,186.09,136.0,G#:min,0.196226,2038.02,2.1933,12.0669,-5.9803,13.6601,0.0389,10.1562,-7.2327,12.4249,-146.956,97.8807,104.46,44.5194,33.1985,26.0542,14.6434,19.8185,8.1761,14.0614,7.4859,16.6518,7.8249,15.1522,-7.3107,15.4948,-3.2321,12.6538,0.065857,4720.44,21.55,18.38,21.35,19.89,20.11,19.76,47.3,0.021217,1.457,3.81,0.9673,0.2713,0.3797,0.3051,0.4265,0.2968,0.2259,0.3195,0.2751,0.4071,0.2921,0.3871,0.3734,-0.1856,-0.1584,0.07,0.0636,0.0228,-0.0071,2.5941,negative,331.0,0.4592,65.0,85.0,11.0,1.7787
Được Sống Trong Hoà Bình,Hana Cẩm Tiên,,single,14.0,2025-08-27,"vinahouse, v-pop, vietnamese bolero","Ballad, Pop",0Ewx4XaQlkqjE7IIE1cGyH,1vHY0HztdnDYKIUB7bkVkb,0.0,được sống trong hoà bình - hana cẩm tiên.mp3,OK,OK,189.58,99.38,E:min,0.12189,2203.81,4.4964,10.1144,-1.9811,10.1469,4.2421,9.0095,-3.8365,9.1584,-140.5189,109.4852,94.0454,32.7974,-5.6994,19.6391,8.2008,15.365,-4.8309,12.2051,5.2815,11.4013,2.7655,11.9388,1.6961,11.5249,-2.8783,10.4974,0.096657,4648.64,20.31,17.14,20.62,20.92,19.31,18.63,48.79,0.015866,1.2517,3.23,0.9753,0.2635,0.1886,0.2789,0.2453,0.3218,0.2495,0.2963,0.3252,0.2445,0.2602,0.2111,0.296,0.1185,-0.0057,0.0692,0.0429,-0.0081,-0.0109,2.4798,neutral,106.0,0.8585,37.0,28.0,12.0,0.5591
Được Và Mất (feat. Hngle),PAR SG,Hngle,single,20.0,2025-05-09,"vietnamese lo-fi, vietnamese hip hop, vietnam indie, v-pop","Rap/Hip-hop, Pop",2g5O9eciZ7uib7SFbprnM6,5yE1xvNIbuEB2kkopCuCVY,0.0,được và mất (feat. hngle) - par sg.mp3,OK,OK,203.64,92.29,D#:min,0.218048,1625.61,-3.3103,12.541,-7.6475,10.5742,-0.3065,10.2999,-8.243,9.4088,-120.7004,108.1374,120.8159,39.7358,6.0171,21.1802,31.1882,22.3085,8.8794,15.9645,3.914,13.3553,0.5623,13.4695,-0.2977,12.3918,-8.1989,10.5457,0.057269,3388.73,23.74,16.63,20.28,18.06,17.8,18.94,47.39,0.008497,1.4644,4.05,0.9485,0.3058,0.2937,0.2555,0.3419,0.2959,0.4457,0.3964,0.2138,0.2126,0.2912,0.569,0.4446,-0.1403,-0.039,0.0316,-0.1294,-0.0211,-0.0095,2.1948,negative,498.0,0.3755,134.0,142.0,16.0,2.4455
