track_id,file_name,title,artists,is_hit,spotify_popularity,artist_followers,spotify_release_date,spotify_genres,total_plays,spotify_streams,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio,lyric_total_words,lexical_diversity,noun_count,verb_count,adj_count,sentiment,sentiment_score,sentiment_confidence
4gaxEUZE4z9pJAVTSFwgQI,một đời.mp3,một đời,14 casper,1,62.0,104072.0,2023-03-03,"v-pop, vietnamese lo-fi, vietnam indie",10600000.0,36755121.0,328.24,136.0,G:maj,0.154401,1783.28,-4.0147,10.9484,-5.2299,11.4626,-5.757,10.1996,-5.5535,10.368,-140.4071,112.0574,111.4199,26.0948,7.5146,21.9237,10.1698,18.5718,-3.2263,14.8875,-3.3902,11.0216,-11.9379,12.4266,-0.3925,11.1473,-11.1985,11.4049,0.072358,3768.8,23.09,17.95,22.42,21.83,21.07,20.98,46.88,0.00763,1.0462,1.27,0.9623,0.3518,0.2286,0.3491,0.201,0.2897,0.2149,0.2167,0.3587,0.2007,0.2516,0.1671,0.2845,0.2528,0.1352,0.0511,0.0477,-0.0013,-0.0122,3.9328,328.0,0.3598,121.0,87.0,20.0,positive,0.2131,0.3194
5dCbl3Jx20Yx65YN6bmXU0,muốn cua anh làm bồ.mp3,muốn cua anh làm bồ,dương ái vy,0,41.0,1515.0,2025-07-08,"vinahouse, v-pop, vietnamese hip hop",8400000.0,425791.0,153.54,129.2,E:min,0.251709,2207.07,2.3265,12.088,-4.0074,10.8938,1.0353,11.1188,-6.6279,10.7924,-84.2013,86.843,98.0639,41.9163,5.9387,27.7836,14.2356,18.2852,-4.8653,15.83,-1.1054,14.6321,-0.7638,15.3786,-0.5038,13.8493,-3.2537,12.5903,0.082344,4739.97,21.61,15.38,19.35,19.65,18.99,18.3,48.05,0.02321,1.997,4.31,0.9766,0.2311,0.2726,0.4573,0.3505,0.5042,0.3232,0.4144,0.3421,0.249,0.364,0.2592,0.3624,0.1887,-0.0639,0.0249,0.0071,0.0068,-0.0236,1.9534,294.0,0.3469,103.0,93.0,17.0,neutral,0.1872,0.2868
5kJMW3pK49PvQDtpVryHf5,Forget About Her.mp3,Forget About Her,JustaTee,1,58.0,18477.0,2022-10-31,"v-pop, vietnamese hip hop, vietnam indie",0.0,11943825.0,217.5,129.2,F#:min,0.236115,2554.41,6.754,10.8925,-1.0937,9.859,4.36,9.9082,-1.2483,11.6679,-98.5775,97.7379,77.7998,39.2192,24.5861,25.3528,14.8024,20.0973,2.6974,14.8937,4.6057,13.661,1.8542,16.1877,4.4603,12.0787,-2.9088,11.5219,0.103702,5829.51,21.74,16.72,20.65,20.91,20.32,20.04,47.61,0.021181,1.456,2.99,0.9707,0.3912,0.4719,0.3077,0.2718,0.3466,0.2763,0.3959,0.2897,0.365,0.3912,0.3054,0.4362,0.0308,-0.2199,-0.1054,-0.0546,0.0019,0.0152,1.9388,335.0,0.4687,95.0,108.0,18.0,neutral,0.0576,0.25
28TXyFJlj4RywOgFf2QWhx,Making Money.mp3,Making Money,Trúc Nhân,0,11.0,1010216.0,2025-04-23,"v-pop, vietnam indie",545000.0,18048.0,217.65,129.2,G#:maj,0.152361,2044.29,3.5435,11.1975,0.3999,8.2651,-2.0049,8.7084,-3.2183,9.2253,-136.5089,97.5863,92.2713,28.4879,11.6171,23.8533,29.5291,16.5785,8.7688,15.2499,15.3419,12.0369,-0.9774,11.7666,12.1658,9.5592,-2.2431,8.9823,0.075523,4582.09,24.07,19.0,20.63,19.64,18.45,17.87,47.89,0.014945,1.3607,3.54,0.9719,0.3903,0.3396,0.3556,0.4049,0.3251,0.4606,0.3117,0.3011,0.3785,0.319,0.3532,0.303,-0.1576,0.1079,-0.0154,0.052,-0.0305,-0.0081,2.2529,382.0,0.3874,123.0,139.0,16.0,neutral,-0.0207,0.1593
5C3fx9rdM4Bxf1MSOQC4Ym,an thần.mp3,an thần,low g,1,61.0,1860011.0,2021-10-21,"vietnamese hip hop, v-pop, vietnam indie",414000.0,51846683.0,174.29,112.35,G#:min,0.196464,2064.62,-0.2748,12.6546,-8.4184,12.2034,-3.1965,12.2418,-3.7094,10.4815,-97.9259,89.212,110.708,45.7207,-0.0263,32.8396,8.7012,23.1059,-2.0966,21.5706,-10.2242,18.3609,-9.8223,15.5625,-3.6517,14.981,-13.2825,13.841,0.087465,4284.05,22.63,16.06,19.13,19.12,18.91,19.51,45.61,0.017618,2.0463,5.04,0.9441,0.3337,0.4011,0.3304,0.398,0.4147,0.3249,0.4499,0.3655,0.5459,0.4067,0.3193,0.4452,-0.0156,-0.1626,-0.0217,0.0764,-0.0189,0.0026,1.3353,434.0,0.3687,166.0,117.0,17.0,positive,0.4773,0.1822
1rZdwxK0JnUUJRGnTeyF2r,Được Ăn Cả Ngã Về Không.mp3,Được Ăn Cả Ngã Về Không,Vũ Duy Khánh,0,35.0,32169.0,2025-08-23,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",976000.0,1403595770.0,334.29,143.55,F:min,0.156606,1684.25,-2.0737,9.9835,-0.9648,9.001,-4.8074,8.2687,-6.6592,9.1411,-155.5702,108.2124,114.0358,31.3509,21.2384,18.2158,13.7481,16.0107,4.3368,12.9483,7.1788,10.2548,-7.2242,12.0062,0.0796,10.2688,-4.7505,9.1514,0.058063,3738.02,24.08,18.99,22.42,21.45,20.73,19.28,47.31,0.007775,1.0953,2.21,0.9606,0.3694,0.2128,0.1846,0.3273,0.255,0.4173,0.2263,0.3005,0.2519,0.1904,0.3345,0.2356,-0.215,0.2364,-0.0523,0.0664,0.0074,-0.0011,3.6196,329.0,0.3374,123.0,99.0,18.0,neutral,0.1558,0.2532
0JmYRsO1sanvPDPWKYk2r2,Tớ Thích Cậu.mp3,Tớ Thích Cậu,Han Sara,1,50.0,252328.0,2017-08-15,"v-pop, vietnamese hip hop",0.0,5373593.0,168.31,136.0,C:min,0.20935,2478.66,-3.3864,11.0654,-6.1134,9.5439,-2.0542,10.3651,-6.3273,10.3639,-71.2792,87.5303,80.9114,27.0647,0.3433,19.7871,17.3455,17.7855,5.616,13.3435,7.1878,13.3808,7.1361,12.6852,5.0345,11.9265,2.2983,11.4385,0.104517,5355.08,21.23,15.86,18.99,21.1,19.87,19.48,45.7,0.027849,1.7363,4.71,0.9679,0.4706,0.3366,0.2891,0.4112,0.2846,0.3145,0.2164,0.311,0.3822,0.2871,0.4269,0.3226,-0.0833,0.0595,0.0203,0.1008,-0.0011,0.0047,1.9271,499.0,0.2846,116.0,146.0,44.0,neutral,0.1736,0.22
3Ids3RXurYBgySph53qWnB,từng ngày yêu em.mp3,từng ngày yêu em,buitruonglinh,1,67.0,913414.0,2024-12-12,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",10400000.0,25243430.0,225.88,152.0,A:maj,0.222552,1789.57,2.0571,11.9406,-6.4691,9.6961,-1.062,10.2528,-7.8917,10.0,-109.2533,103.9258,111.6516,35.7277,14.0414,21.3225,16.2619,16.9313,2.7648,13.2638,-6.1674,15.0329,-5.0368,13.5478,-6.6627,14.5115,-6.581,10.9263,0.05586,3944.07,22.05,17.2,19.33,18.32,17.97,19.58,47.51,0.011925,1.3055,3.13,0.9671,0.2294,0.3575,0.4495,0.3136,0.393,0.2893,0.3906,0.2843,0.2446,0.352,0.2203,0.2254,0.205,-0.0981,-0.0712,-0.0662,0.0031,0.0072,2.3248,457.0,0.4026,156.0,133.0,28.0,positive,0.4667,0.2514
3JIfmjJbanxJkwaPzYa2gN,"REGRET (feat. Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương & Lâm Bảo Ngọc).mp3","REGRET (feat. Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương & Lâm Bảo Ngọc)",ANH TRAI SAY HI,1,55.0,0.0,2024-08-29,"v-pop, vietnamese hip hop",0.0,21318754.0,252.31,152.0,C:min,0.272142,2014.24,10.104,11.8193,-0.3301,10.735,4.5252,10.637,0.8931,10.5242,-87.23,114.6529,95.1935,31.3375,15.9705,27.0014,15.8412,18.1759,16.7616,17.5077,8.3604,12.9393,2.3425,13.4087,11.0061,12.5142,-2.0524,11.6373,0.069114,4615.99,23.75,15.6,19.42,20.25,19.61,19.15,46.92,0.009453,1.3444,3.6,0.9624,0.3172,0.2836,0.344,0.4159,0.3678,0.3465,0.3294,0.4244,0.3907,0.3281,0.343,0.3317,-0.0685,0.0825,0.1405,0.1399,0.022,0.0193,3.1861,427.0,0.5316,124.0,125.0,14.0,neutral,0.0739,0.211
6Hs2xIgB8nzyGFDvVA8lFa,có em.mp3,có em,madihu,1,65.0,295953.0,2022-04-22,"v-pop, vietnam indie, vietnamese hip hop",15300000.0,51203656.0,218.51,136.0,D:min,0.201259,1697.12,3.6558,11.6257,-9.2606,10.7526,-2.6559,9.7793,-4.6211,8.8184,-127.7575,97.5663,124.1489,43.3811,14.9064,23.3279,19.7529,19.4756,9.3238,15.5436,-2.8669,14.0581,3.2451,11.7356,-8.8955,13.075,-15.3506,13.0273,0.064981,3413.64,23.6,16.7,20.44,18.45,18.29,20.77,49.73,0.012387,1.5195,3.02,0.9591,0.3745,0.3495,0.4291,0.32,0.4274,0.3924,0.2789,0.3175,0.3365,0.3737,0.2596,0.3207,0.1647,0.0692,-0.1299,0.0504,-0.0267,-0.0199,2.3728,376.0,0.633,155.0,116.0,20.0,positive,0.2381,0.2224
