title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,NCT_appearances,NCT_peak_rank,NCT_total_likes,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_total_likes,ZINGMP3_total_plays
bạn đời,karik,gducky,"nct, spotify",58,2023-10-04,"v-pop, vietnamese hip hop, vietnam indie",0kHgteR4TV4LO80wrasDSR,2,45.0,,19.0,47.0,,,9.0,72.0,771.0,34395570.0,5.0,10.0,45.0,270516.0,,,,
mảnh tình sai đôi,thành đạt,,zingmp3,34,2025-10-08,"vinahouse, v-pop",2cY72eGi5dHcjRgKijHFFu,1,25.0,,17.0,46.45,,,,,,,,,,,17.0,25.0,14000.0,680000.0
nắng dưới chân mây,nguyễn hữu kha,,nct,54,2025-06-18,"vinahouse, v-pop",0rpypmIyrvM4ORUt8SYSdP,1,16.0,,10.0,46.36,,,,,,,,10.0,16.0,84975.0,,,,
loser,min,chillies,apple,54,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",30iU0Hny521RxJVtDq2LH9,1,16.0,,10.0,46.36,10.0,16.0,,,,,,,,,,,,
lưới tình,j.ade,,zingmp3,28,2025-10-30,"v-pop, vietnam indie",2Fxyo0hUNokG0pIGFlTWII,1,14.0,,8.0,46.11,,,,,,,,,,,8.0,14.0,66000.0,93000.0
trái tim không có tội,châu khải phong,,zingmp3,27,2025-09-10,"vinahouse, v-pop, vietnamese lo-fi, vietnamese bolero",6aET4QkbSqgaJsK1A7Nwnj,1,26.0,,17.0,46.05,,,,,,,,,,,17.0,26.0,31000.0,1800000.0
lệ ngang trời,hồ nhi,a tuân,zingmp3,28,2025-06-27,none,0efBHrS8V1AcHTDRynEG5g,1,26.0,,17.0,46.05,,,,,,,,,,,17.0,26.0,125000.0,4500000.0
sau cơn suy,rhyder,,"nct, zingmp3",62,2025-09-18,"v-pop, vietnamese hip hop",3VFb1YDFdoS6vRYW9n0egd,2,41.0,,14.0,45.97,,,,,,,,8.0,41.0,25784.0,6.0,81.0,15000.0,1100000.0
anh đã quen với cô đơn,soobin,,"apple, spotify",61,2017-03-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",39KWnPNEvbXt423CzjvBfA,2,43.0,,15.0,45.69,10.0,43.0,5.0,47.0,378.0,9158471.0,47.0,,,,,,,
kho báu (rock ver.),(s)trong,,zingmp3,30,2025-11-06,"v-pop, vietnam indie",55ZbetqAcpX94GDFvtuN1G,1,6.0,,1.0,45.63,,,,,,,,,,,1.0,6.0,24000.0,
vì anh đâu có biết,madihu,vũ.,spotify,64,2022-08-04,"v-pop, vietnam indie, vietnamese hip hop",6VXVYATpQXEIoZ97NnWCmn,1,22.0,,13.0,45.54,,,13.0,22.0,1198.0,57708504.0,2.0,,,,,,,
nói dối,ronboogz,,spotify,66,2022-12-12,"v-pop, vietnamese hip hop, vietnam indie",3ET3xHCLMGd57u06A9RjJ0,1,22.0,,13.0,45.54,,,13.0,22.0,739.0,28670789.0,3.0,,,,,,,
nolovenolife,hieuthuhai,,"apple, spotify",61,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",6D94p9ASguBcYlDC0o56vx,2,40.0,,12.0,45.32,10.0,40.0,2.0,87.0,758.0,33315369.0,22.0,,,,,,,
sự ưu tiên của em,lê gia bảo,,zingmp3,41,2025-03-27,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",4lMkHeFnrucJ1vRhWaPKlD,1,28.0,,17.0,45.25,,,,,,,,,,,17.0,28.0,237000.0,15900000.0
ánh trăng giả dối,quốc thiên,,zingmp3,6,2025-11-11,"v-pop, vietnamese bolero",25A2AvNV4rLDTMfRYpPYMq,1,7.0,,1.0,45.23,,,,,,,,,,,1.0,7.0,30000.0,
vòng xoay của ba chúng ta,thành đạt,,zingmp3,19,2025-09-26,"vinahouse, v-pop",2L8K5OZzBQf5Oxx7iHIiZG,1,15.0,,7.0,45.18,,,,,,,,,,,7.0,15.0,2000.0,243000.0
cưới chính,nal,ct,zingmp3,41,2025-09-30,"vinahouse, vietnamese bolero, bolero, v-pop",5MKyEfqhXnasPDIwmD0Dgi,1,29.0,,17.0,44.85,,,,,,,,,,,17.0,29.0,39000.0,1100000.0
Cảm Ơn,Will,Minh Tốc & Lam,zingmp3,0,2025-11-14,"v-pop, vietnam indie, vietnamese lo-fi",0djfbUERjJZby22gTdDhxL,1,8.0,,1.0,44.83,,,,,,,,,,,1.0,8.0,19000.0,
