title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,NCT_appearances,NCT_peak_rank,NCT_total_likes,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_total_likes,ZINGMP3_total_plays
lo người ướt áo,nguyễn thạc bảo ngọc,,zingmp3,0,2025-11-11,"vinahouse, v-pop",5XnkbEgL1vKoor7Us9YLTr,1,53.0,,16.0,34.72,,,,,,,,,,,16.0,53.0,5000.0,234000.0
mê cung 79 (metal rock),phương thanh,,zingmp3,7,2025-10-17,"v-pop, vietnamese bolero",3LV8EqCzpObmq8eI7nMZ4D,1,35.0,,2.0,34.55,,,,,,,,,,,2.0,35.0,1000.0,
kẻ say tình,quốc thiên,,zingmp3,40,2025-07-30,"v-pop, vietnamese bolero",6a5IEsMgdzImE9cYLAQ900,1,55.0,,17.0,34.45,,,,,,,,,,,17.0,55.0,23000.0,2600000.0
thấu tình,trung hiếu,,zingmp3,24,2025-10-04,none,1b91Vu4yC75Gs0m8AooXCo,1,56.0,,17.0,34.05,,,,,,,,,,,17.0,56.0,12000.0,456000.0
bóng tối yêu đời,lyhan,,zingmp3,27,2025-11-11,v-pop,3b95RXhPw2BBufUMhTzPPw,1,35.0,,1.0,34.03,,,,,,,,,,,1.0,35.0,10000.0,
sau ngần ấy năm,hà nhi,,zingmp3,50,2025-05-21,"v-pop, vinahouse, vietnam indie, vietnamese lo-fi",2k6iN3YG0R1uIWIhY4GsH9,1,57.0,,17.0,33.65,,,,,,,,,,,17.0,57.0,77000.0,6800000.0
hoa,chung thanh duy,,zingmp3,32,2025-06-26,"vinahouse, v-pop, vietnamese hip hop, vietnamese lo-fi",5Dn0JXPDrBrYW3CXEaAnRl,1,57.0,,17.0,33.65,,,,,,,,,,,17.0,57.0,47000.0,3300000.0
đại khải hoàn,the flob,chin,zingmp3,39,2025-11-06,"vietnam indie, v-pop",2Yp2PMt1fepfBELHIPzvaA,1,36.0,,1.0,33.63,,,,,,,,,,,1.0,36.0,8000.0,
vật đổi sao dời,lyhan,,zingmp3,27,2025-11-11,v-pop,1Uxzka7zY7lHrWqiXtMPQN,1,38.0,,1.0,32.83,,,,,,,,,,,1.0,38.0,3000.0,
duyên nợ còn đâu,phạm vũ luân,,zingmp3,1,2025-10-30,none,00oXuoc8EYyZpg0FYJHqE3,1,44.0,,5.0,32.53,,,,,,,,,,,5.0,44.0,4000.0,102000.0
đường tôi chở em về,buitruonglinh,,spotify,63,2020-07-03,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",27F22WcGDyl4Z2KylVJkXL,1,52.0,,11.0,32.49,,,11.0,52.0,1099.0,19010832.0,13.0,,,,,,,
chẳng nợ ai ngoài em,lê gia bảo,,zingmp3,36,2025-09-23,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",0kjkrg5N3Hf0mPcF5tqOyK,1,60.0,,17.0,32.45,,,,,,,,,,,17.0,60.0,17000.0,895000.0
anh lại say rồi,phan duy anh,t.a.p entertainment (producer t.a),zingmp3,23,2025-09-20,"vinahouse, v-pop, vietnamese bolero",2xO02FYqG0OKm53WwEU4FL,1,60.0,,17.0,32.45,,,,,,,,,,,17.0,60.0,12000.0,863000.0
hãy nói anh sai rồi,phùng khánh linh,,apple,53,2025-10-18,"v-pop, vietnam indie",1mZCfyJVxvkqkKd3xlOk2H,1,50.0,,9.0,32.24,9.0,50.0,,,,,,,,,,,,
giữ anh cho ngày hôm qua,hoàng dũng,"rhymastic, lelarec","apple, zingmp3",61,2025-07-09,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",5wYQC7AuxV8ROALWcbVNxc,2,72.0,,11.0,31.99,10.0,72.0,,,,,,,,,1.0,90.0,13000.0,1400000.0
ghé qua,pc,"dick, tofutns",spotify,62,2018-03-17,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",6Q2oEdOhRjZ1DTv2a7j0lN,1,54.0,,11.0,31.69,,,11.0,54.0,458.0,13862162.0,44.0,,,,,,,
trạm dừng chân,jack - j97,,zingmp3,52,2025-06-05,"v-pop, vinahouse",2LFIRb0QGk7fylgT70idKy,1,62.0,,17.0,31.65,,,,,,,,,,,17.0,62.0,107000.0,6900000.0
lễ đường,kai đinh,,"spotify, zingmp3",62,2025-03-09,"v-pop, vietnamese lo-fi, vietnam indie",3y66li7DIrH7HLKIZzxR5H,2,79.0,,15.0,31.29,,,11.0,79.0,246.0,15139606.0,3.0,,,,4.0,97.0,149000.0,10300000.0
vet mua,vũ cát tường,,spotify,63,2014-01-01,"v-pop, vietnam indie",5cn5oHiXJTLiuthgbgfkMh,1,58.0,,13.0,31.14,,,13.0,58.0,553.0,14167099.0,37.0,,,,,,,
mộng tình si,đan trường,"hòa minzy, lê thành trung",zingmp3,0,2025-11-08,none,2XRX3BGuwrIQd5vJR4U2KJ,1,43.0,,1.0,30.83,,,,,,,,,,,1.0,43.0,1000.0,29000.0
từng quen,wren evans,itsnk,apple,56,2023-12-17,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",4qYfRfSxsmhJ1WMaywtLyI,1,55.0,,10.0,30.76,10.0,55.0,,,,,,,,,,,,
yêu 5,rhymastic,,apple,60,2017-01-01,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5U30iZBlmxkpHqzb1OSnBS,1,55.0,,10.0,30.76,10.0,55.0,,,,,,,,,,,,
hẹn gặp em dưới ánh trăng,manbo,"hieuthuhai, hurrykng",spotify,63,2020-09-25,"vietnamese hip hop, v-pop, vietnam indie",0s7RyyUlQfd8mnnboHe18n,1,59.0,,13.0,30.74,,,13.0,59.0,630.0,29605275.0,15.0,,,,,,,
anh muốn nhìn thấy em,the wind,dangrangto,spotify,61,2023-07-27,"vietnamese hip hop, v-pop",5VGOYjxkEaf19LoRPIolD2,1,51.0,,6.0,30.26,,,6.0,51.0,333.0,10573813.0,51.0,,,,,,,
cục vàng của anh,nana liu,,zingmp3,29,2025-08-07,v-pop,3nYfepu0HuPI6sidP45wo3,1,66.0,,17.0,30.05,,,,,,,,,,,17.0,66.0,30000.0,1400000.0
đã lỡ yêu em nhiều,justatee,,spotify,62,2022-07-11,"v-pop, vietnamese hip hop, vietnam indie",3J3nv18iIrOhca1ZWNeuyW,1,59.0,,11.0,29.69,,,11.0,59.0,957.0,15997590.0,59.0,,,,,,,
nàng thơ,hoàng dũng,,apple,56,2020-12-16,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",1w3eUC89GPspKpi62tPwjt,1,58.0,,10.0,29.56,10.0,58.0,,,,,,,,,,,,
chăm hoa,mono,,apple,61,2024-10-22,"v-pop, vietnamese hip hop, vinahouse",40pWxpbXoBYGPCiofujjZ6,1,58.0,,10.0,29.56,10.0,58.0,,,,,,,,,,,,
vũ trụ song song,lyhan,,zingmp3,27,2025-11-11,v-pop,5xhufZL7XF5TUlXCC8yFch,1,47.0,,1.0,29.23,,,,,,,,,,,1.0,47.0,3000.0,
xin đừng lặng im,soobin,,spotify,62,2025-02-13,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4CVxKSRLUxqUuj2z9vn4fS,1,64.0,,13.0,28.74,,,13.0,64.0,171.0,6137853.0,33.0,,,,,,,
đoạn kết mới,hoàng dũng,,apple,55,2022-08-24,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",72YmbRPOa2DZKe4HzdFG9B,1,62.0,,10.0,27.96,10.0,62.0,,,,,,,,,,,,
nếu biết đó là lần cuối,đức trường,bmz,spotify,60,2022-08-19,v-pop,2w7jOvl0kpplNxisgfnCdT,1,67.0,,12.0,27.02,,,12.0,67.0,85.0,2406583.0,67.0,,,,,,,
grief is the price you pay for love,phùng khánh linh,,apple,52,2025-10-18,"v-pop, vietnam indie",0No0rqyK0KIsesiwrnnhaf,1,58.0,,5.0,26.93,5.0,58.0,,,,,,,,,,,,
tình yêu chậm trễ,monstar,,spotify,62,2021-08-01,"v-pop, vietnam indie",6jcLKVmEKAQIXIVHJZ8vzS,1,66.0,,11.0,26.89,,,11.0,66.0,1051.0,29343014.0,39.0,,,,,,,
Người Tốt Nhất Cho Em,14 Casper,Bon Nghiêm,zingmp3,0,2025-11-13,"v-pop, vietnamese lo-fi, vietnam indie",6ksgcnzN9lnSK3LJYIvoov,1,53.0,,1.0,26.83,,,,,,,,,,,1.0,53.0,22000.0,
hư không,kha,,spotify,61,2023-12-14,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",3A9A7mfVDVm3rrS9SMGhg5,1,66.0,,10.0,26.36,,,10.0,66.0,672.0,26282538.0,18.0,,,,,,,
fragile (intro),min,,apple,49,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4pqM9QR5Lhqff8od49nFjr,1,57.0,,3.0,26.28,3.0,57.0,,,,,,,,,,,,
khóc blóck,phùng khánh linh,,apple,51,2025-10-18,"v-pop, vietnam indie",7D7Atev6IsLXMvO7Z5MnL0,1,65.0,,9.0,26.24,9.0,65.0,,,,,,,,,,,,
ước anh nhiều nỗi buồn,charmy pham,,apple,23,2025-11-11,"v-pop, vinahouse",6zyZJEl43HJwmalzO1Lj1J,1,56.0,,2.0,26.15,2.0,56.0,,,,,,,,,,,,
hai thế giới,hoàng thống,trang hàn,zingmp3,18,2025-10-16,"vietnam indie, v-pop",0fXxzf54BMzKQjFSYIpSH5,1,58.0,,3.0,25.88,,,,,,,,,,,3.0,58.0,5000.0,
ngày bình thường quên người mình thương,phát huy t4,,zingmp3,35,2025-09-11,"vinahouse, v-pop, vietnamese lo-fi",5g7XMUEmsbomaF9iSfZX4s,1,77.0,,17.0,25.65,,,,,,,,,,,17.0,77.0,11000.0,813000.0
em nhắc anh,nana liu,htm,zingmp3,28,2025-09-15,v-pop,0w56wxs7eDLdzoM8Svatxl,1,78.0,,17.0,25.25,,,,,,,,,,,17.0,78.0,17000.0,684000.0
tưởng rằng sau cơn mưa,lê gia bảo,bmz,zingmp3,25,2025-06-25,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",303ASjpwoiTxGr35416OmR,1,75.0,,14.0,24.87,,,,,,,,,,,14.0,75.0,18000.0,1900000.0
thiêu thân,anh trai say hi,"khoi vu, b ray, ryn lee, phạm đình thái ngân, bùi duy ngọc",zingmp3,57,2025-09-29,"v-pop, vietnamese hip hop",5o5ITFH6KuV6OrdTJqZ80A,1,76.0,,14.0,24.47,,,,,,,,,,,14.0,76.0,12000.0,756000.0
ngã về không,đặng thiên chí,,zingmp3,30,2025-05-09,"vinahouse, vietnamese lo-fi",4OZpPHVEIIHFhVOu2DBGJd,1,77.0,,14.0,24.07,,,,,,,,,,,14.0,77.0,90000.0,5700000.0
ilysmbihtlyg (interlude),min,,apple,49,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3To9alnOgQ0abb9odA1C74,1,64.0,,3.0,23.48,3.0,64.0,,,,,,,,,,,,
moiem,dangrangto,donal,spotify,62,2024-11-06,"vietnamese hip hop, v-pop",265hQASPY3HFmUH38zZrSK,1,72.0,,9.0,23.44,,,9.0,72.0,371.0,15220899.0,22.0,,,,,,,
sài gòn hôm nay mưa,jsol,hoàng duyên,spotify,62,2021-05-29,"v-pop, vietnamese hip hop, vietnamese lo-fi",1xoadYaxtOp9gHDwgmPDuz,1,77.0,,12.0,23.02,,,12.0,77.0,1629.0,47044840.0,2.0,,,,,,,
nhiều chuyện,the flob,,zingmp3,38,2025-10-24,"vietnam indie, v-pop",2Dz03B4vbLiViXJvHOFrm9,1,63.0,,1.0,22.83,,,,,,,,,,,1.0,63.0,16000.0,
ướt lòng,văn mai hương,,zingmp3,46,2025-07-29,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",6EkzQNe7SEAuFZbeo4Gf1S,1,83.0,,16.0,22.72,,,,,,,,,,,16.0,83.0,23000.0,2300000.0
đợi,52hz,"wean, rio",spotify,62,2024-01-31,"v-pop, vietnam indie, vietnamese hip hop",33S16Xa5cZmLPhn6eZI4Nm,1,70.0,,6.0,22.66,,,6.0,70.0,477.0,15456357.0,40.0,,,,,,,
kệ nhắm mắt yêu luôn,hana cẩm tiên,tuệ ny,zingmp3,32,2025-08-05,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",1tteKpc4fNBOmx9kjORyeH,1,82.0,,15.0,22.59,,,,,,,,,,,15.0,82.0,35000.0,1300000.0
24h,lyly,magazine,spotify,59,2020-10-28,"v-pop, vietnamese hip hop, vietnam indie",4inMQ83GNpQ2OHDredH5hW,1,65.0,,2.0,22.55,,,2.0,65.0,90.0,2361343.0,65.0,,,,,,,
feel at home,b ray,,apple,61,2025-07-08,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",7uulTURh3qtUEUnMNtgcA6,1,76.0,,10.0,22.36,10.0,76.0,,,,,,,,,,,,
hải trình tan vỡ,trungg i.u,phạm anh duy,zingmp3,50,2025-09-15,"v-pop, vinahouse, vietnam indie",5teXF6aAKNuZSSpaP7Bjbo,1,81.0,,13.0,21.94,,,,,,,,,,,13.0,81.0,8000.0,756000.0
yêu thật lòng đâu dễ quên,the men,,zingmp3,32,2025-08-19,"v-pop, vinahouse, vietnamese bolero",3vbTwb2UUQivQtu1rAq1zu,1,84.0,,15.0,21.79,,,,,,,,,,,15.0,84.0,10000.0,1300000.0
thích quá rùi nà,tlinh,trung trần,spotify,62,2023-07-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4qJSUFwZFouto5VZUlln75,1,71.0,,5.0,21.73,,,5.0,71.0,1882.0,40104582.0,30.0,,,,,,,
simp gái 808,low g,,spotify,61,2023-10-18,"vietnamese hip hop, v-pop, vietnam indie",2ppLwHSMgDGEQ5c8o6nAX2,1,69.0,,3.0,21.48,,,3.0,69.0,752.0,35241506.0,7.0,,,,,,,
the playah (special performance),soobin,,apple,51,2021-05-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",63qZf6349d3ngku9hrzLac,1,77.0,,9.0,21.44,9.0,77.0,,,,,,,,,,,,
nỗi nhớ không tên,will,myra trần,zingmp3,35,2025-10-15,"v-pop, vietnam indie, vietnamese lo-fi",4MoHww9gEkwPbPWoebIVra,1,67.0,,1.0,21.23,,,,,,,,,,,1.0,67.0,2000.0,183000.0
chúc phúc,pialinh,,zingmp3,36,2025-10-15,"v-pop, vietnam indie",4H2Tp0m4qVHdMc70g2Wf8J,1,68.0,,1.0,20.83,,,,,,,,,,,1.0,68.0,21000.0,
nhói lòng thuyền hoa (rock version),tlong,lkt media,zingmp3,4,2025-10-28,"vinahouse, v-pop, vietnamese lo-fi",2dbZRzKtHp4NSnFwECJp6g,1,70.0,,2.0,20.55,,,,,,,,,,,2.0,70.0,2000.0,
trọn vẹn chính mình,hương giang,nguyễn văn chung,zingmp3,23,2025-11-07,"v-pop, vietnamese bolero",51jTXqdqEMoXsa73nqb05a,1,69.0,,1.0,20.43,,,,,,,,,,,1.0,69.0,34000.0,
một mình chẳng sao,ngân ngân,,zingmp3,11,2025-10-31,"vinahouse, v-pop, vietnamese bolero",61p3IxFOF7tzVJvl2whEmP,1,77.0,,7.0,20.38,,,,,,,,,,,7.0,77.0,3000.0,193000.0
love my friend,shayda,,"apple, spotify",59,2025-10-10,"v-pop, vietnamese hip hop",6CjmlnDoRepubCwg3hFO1H,2,92.0,,4.0,20.31,1.0,98.0,3.0,92.0,20.0,736208.0,53.0,,,,,,,
người bình thường,vũ cát tường,,spotify,61,2023-12-04,"v-pop, vietnam indie",1fFvYVg1v3rpUSqKNCUh7b,1,80.0,,9.0,20.24,,,9.0,80.0,247.0,7417916.0,43.0,,,,,,,
nước mắt cá sấu,hieuthuhai,,apple,63,2025-04-01,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",39XiO6D9cuMfJXObD6gVjY,1,82.0,,10.0,19.96,10.0,82.0,,,,,,,,,,,,
bắc thang lên hỏi ông trời,em xinh say hi,"bích phương, juky san, lamoon, mỹ mỹ, quỳnh anh shyn",zingmp3,56,2025-08-04,v-pop,15YePdrwoWzDN68BanP7r4,1,85.0,,12.0,19.82,,,,,,,,,,,12.0,85.0,34000.0,2600000.0
em đã chờ anh bao lâu,anh trai say hi,"phúc du, ogenus, bùi duy ngọc, rio, otis, 52hz",zingmp3,45,2025-11-03,"v-pop, vietnamese hip hop",4laDe7NUQ0uAZsuER4KK8a,1,72.0,,1.0,19.23,,,,,,,,,,,1.0,72.0,2000.0,56000.0
nghe như tình yêu,hieuthuhai,,spotify,61,2021-07-09,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",1J12HjUuXfJnaUdubTEzSR,1,75.0,,3.0,19.08,,,3.0,75.0,1511.0,39104108.0,30.0,,,,,,,
giá mà anh,captain boy,,spotify,58,2025-10-23,"v-pop, vietnamese hip hop",7hF5DFtzMER5KzHA1nCTYq,1,75.0,,3.0,19.08,,,3.0,75.0,12.0,416932.0,69.0,,,,,,,
cứ khóc hết đi em,cao thái sơn,,zingmp3,18,2025-07-08,"v-pop, vinahouse, vietnamese bolero",1sslAVOfUCEorztohvA41g,1,78.0,,5.0,18.93,,,,,,,,,,,5.0,78.0,7000.0,821000.0
bông hoa đẹp nhất,quân a.p,,spotify,60,2020-09-07,"v-pop, vietnamese lo-fi",4TyQKEifYDWTfTSRwpxlYI,1,77.0,,4.0,18.81,,,4.0,77.0,713.0,6230098.0,31.0,,,,,,,
bao tiền một mớ bình yên?,14 casper,bon nghiêm,spotify,59,2023-03-03,"v-pop, vietnamese lo-fi, vietnam indie",7kgzRBNkBRArtTPkYjWLYT,1,78.0,,4.0,18.41,,,4.0,78.0,1348.0,43063183.0,7.0,,,,,,,
quên rồi khổ đau năm ấy,vicky nhung,đông thiên đức,zingmp3,32,2025-04-17,"vinahouse, v-pop, vietnamese lo-fi",28pdR27ksvbwEDuLy8pb4r,1,81.0,,6.0,18.26,,,,,,,,,,,6.0,81.0,11000.0,1700000.0
có còn yêu em,nguyễn kiều oanh,,zingmp3,44,2025-08-16,v-pop,2omZCdoslK3YXKOS4oFQVl,1,89.0,,12.0,18.22,,,,,,,,,,,12.0,89.0,12000.0,963000.0
mùa mưa ấy,vũ.,,apple,57,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",3qllaNK66kKxX123f0eKpj,1,84.0,,8.0,18.11,8.0,84.0,,,,,,,,,,,,
anh đã ổn hơn,rpt mck,,apple,57,2023-03-02,"vietnamese hip hop, v-pop, vietnam indie",3YctJXK6kznnWl68TnYobN,1,84.0,,8.0,18.11,8.0,84.0,,,,,,,,,,,,
chìm sâu,rpt mck,trung trần,apple,59,2023-03-02,"vietnamese hip hop, v-pop, vietnam indie",7jLSThU5Kg1RWt19Leiaxm,1,87.0,,10.0,17.96,10.0,87.0,,,,,,,,,,,,
cưa em bốn mùa,nb3 hoài bảo,ct,zingmp3,32,2025-10-27,"vinahouse, vietnamese lo-fi, v-pop, lo-fi",1arYzhjZeNFSzHDXL1YjOd,1,77.0,,2.0,17.75,,,,,,,,,,,2.0,77.0,5000.0,210000.0
vai lan don dua,soobin,,"apple, spotify",60,2017-01-27,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6hUpxEKFSjS8metuA1yxlf,1,77.0,,2.0,17.75,,,2.0,77.0,1485.0,14541672.0,26.0,,,,,,,
cứ đổ tại cơn mưa (solo & piano),em xinh say hi,orange,zingmp3,41,2025-09-18,v-pop,2XMgt7faxpOomPIZN9TEK8,1,84.0,,7.0,17.58,,,,,,,,,,,7.0,84.0,1000.0,262000.0
Máy Bay Giấy,(S)TRONG,,zingmp3,37,2025-09-24,"v-pop, vietnam indie",09ycwhJy7IEi35ZiJpcwit,1,78.0,,1.0,16.83,,,,,,,,,,,1.0,78.0,3000.0,297000.0
buồn thật đấy,sofia,nguyễn thương,zingmp3,26,2025-09-29,"vietnamese hip hop, v-pop, vietnam indie",6LmOwhZnpkZmGyS737d9mH,1,78.0,,1.0,16.83,,,,,,,,,,,1.0,78.0,2000.0,134000.0
mảnh tình sai đôi,yến nhi,,zingmp3,29,2025-10-02,"v-pop, vinahouse",2ik6v5h2sXSiUjfbchPRtb,1,81.0,,3.0,16.68,,,,,,,,,,,3.0,81.0,5000.0,214000.0
tình nhân ơi,orange,binz,apple,46,2019-01-07,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7KNVYQdx7arRoeEJi9C9IR,1,89.0,,9.0,16.64,9.0,89.0,,,,,,,,,,,,
vực thẳm của bình yên,jack - j97,,zingmp3,53,2025-06-26,"v-pop, vinahouse",6O7qAKr3OBNcQVSRMs0USA,1,80.0,,2.0,16.55,,,,,,,,,,,2.0,80.0,34000.0,2600000.0
một mình ở đây,bùi lan hương,,zingmp3,32,2025-06-20,"v-pop, vietnam indie",2Voeolkjs3dZxjK04Kpdkh,1,84.0,,5.0,16.53,,,,,,,,,,,5.0,84.0,2000.0,164000.0
peace n' love,low g,mỹ anh,zingmp3,51,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",6AJXc3mnynpCegfUcQbwat,1,79.0,,1.0,16.43,,,,,,,,,,,1.0,79.0,64000.0,
muộn rồi mà sao còn,sơn tùng m-tp,,spotify,62,2021-04-29,"v-pop, vinahouse, vietnamese hip hop",4vfhartd7HDWGJbdVIycEu,1,82.0,,3.0,16.28,,,3.0,82.0,1656.0,49244172.0,1.0,,,,,,,
vai chính tội nghiệp,an vũ,,zingmp3,15,2025-09-26,"v-pop, vinahouse, vietnamese lo-fi",0kfA0BRHpTswudSnnhOAXm,1,81.0,,2.0,16.15,,,,,,,,,,,2.0,81.0,1000.0,136000.0
em còn nhớ anh không - remastered,hoàng tôn,koo,spotify,60,2021-04-26,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",7q1qYSyRkGT4ZaCc2ZQihP,1,82.0,,2.0,15.75,,,2.0,82.0,210.0,6119864.0,58.0,,,,,,,
sad nhân,(s)trong,,zingmp3,45,2025-09-24,"v-pop, vietnam indie",2FqWfZLNHJTXMYZIB5U3rw,1,82.0,,2.0,15.75,,,,,,,,,,,2.0,82.0,1000.0,180000.0
cơn mưa cuối,justatee,binz,spotify,58,2016-11-03,"v-pop, vietnamese hip hop, vietnam indie",6E3P4uOfKHYXJLK6Q3s0Tj,1,83.0,,2.0,15.35,,,2.0,83.0,13.0,355886.0,83.0,,,,,,,
thả anh ra,quang hùng masterd,hino,zingmp3,62,2025-08-16,"v-pop, vinahouse, vietnamese hip hop",01oJRNQrFwJu3jgGVo8K58,1,95.0,,11.0,15.29,,,,,,,,,,,11.0,95.0,43000.0,2200000.0
em cưới rồi à,thanh hưng,,zingmp3,47,2025-02-25,"v-pop, vinahouse",7oHtN1f2nW0rV3NayfO3rJ,1,89.0,,6.0,15.06,,,,,,,,,,,6.0,89.0,211000.0,15000000.0
ôm lấy trái tim,kairon,,zingmp3,45,2025-05-23,v-pop,3o1Dy1cZKTmaEIxRgBlALQ,1,84.0,,2.0,14.95,,,,,,,,,,,2.0,84.0,27000.0,2200000.0
text 07,w/n,267,zingmp3,57,2025-07-30,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",1cVc6XetpYuJRm4R1MhSW7,1,83.0,,1.0,14.83,,,,,,,,,,,1.0,83.0,,
chỉ anh làm em khóc,đàm vĩnh hưng,trần mạnh cường,zingmp3,29,2025-10-08,"vietnamese bolero, bolero, v-pop, vinahouse",1cU4xCTzmAI7irO2pqFYEX,1,83.0,,1.0,14.83,,,,,,,,,,,1.0,83.0,3000.0,288000.0
past won't leave my bed,joji,,apple,76,2025-11-07,none,16Z0an8D4BJNm3VbWWpTnv,1,85.0,,2.0,14.55,2.0,85.0,,,,,,,,,,,,
từng là,vũ cát tường,,spotify,61,2024-03-01,"v-pop, vietnam indie",2xOhv7XudrBDtkID1jwsFE,1,84.0,,1.0,14.43,,,1.0,84.0,617.0,36412234.0,2.0,,,,,,,
mến tay mến chân,phạm quỳnh anh,thanh duy,zingmp3,24,2025-11-05,v-pop,780fc4fTrkO9lW89f4F9jO,1,84.0,,1.0,14.43,,,,,,,,,,,1.0,84.0,1000.0,63000.0
thanh xuân là anh,2t,"n.diên, shenlongz",zingmp3,51,2019-02-23,"vietnamese lo-fi, v-pop, vietnamese hip hop, vietnam indie",0NxqMsJHjk0EO77yNjAGDs,1,87.0,,2.0,13.75,,,,,,,,,,,2.0,87.0,68000.0,
3 1 0 7,w/n,"duongg, nâu",spotify,61,2024-06-26,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",5xuaCJaNAqRLwV7OO5zPiF,1,86.0,,1.0,13.63,,,1.0,86.0,1572.0,34403488.0,11.0,,,,,,,
dù cho mai về sau,buitruonglinh,,spotify,62,2020-11-17,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",4Iz5EWPCAT8jYNk4IpLoll,1,90.0,,4.0,13.61,,,4.0,90.0,1678.0,33158072.0,9.0,,,,,,,
thời thế thế thời,nguyễn vĩ,,zingmp3,29,2025-02-17,"vinahouse, vietnamese lo-fi, v-pop",16lFf9WIESyzL8W3GP4wCd,1,90.0,,4.0,13.61,,,,,,,,,,,4.0,90.0,220000.0,14900000.0
missing you,phương ly,,apple,54,2020-08-18,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7D5hQQZXK33EpJdn1zdLch,1,92.0,,5.0,13.33,5.0,92.0,,,,,,,,,,,,
forget me now,fishy,trí dũng,spotify,59,2021-04-11,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",12DNdwLD9oZOPADqM10oyE,1,87.0,,1.0,13.23,,,1.0,87.0,95.0,2382182.0,86.0,,,,,,,
em chỉ sợ ngày mai,mochiii,,zingmp3,29,2025-10-13,"vinahouse, v-pop",5HwhXGpBA93SxsfaCCm1uv,1,89.0,,1.0,12.43,,,,,,,,,,,1.0,89.0,,
nằm bên anh,minh đinh,hà an huy,spotify,57,2025-05-16,"vietnam indie, v-pop, vietnamese hip hop",5LuyL5o2BcFKK4FOJLYsSy,1,91.0,,2.0,12.15,,,2.0,91.0,164.0,7261761.0,15.0,,,,,,,
nhà tôi có treo một lá cờ,dtap,hà anh tuấn,zingmp3,52,2025-08-19,v-pop,2L3R75fV5mZIGDVm3nDKqI,1,95.0,,5.0,12.13,,,,,,,,,,,5.0,95.0,20000.0,2200000.0
đến đây bên anh,cloud 5,dangrangto,spotify,61,2023-09-28,v-pop,55Eo6NDkVhSRBonrT16kXM,1,90.0,,1.0,12.03,,,1.0,90.0,217.0,6849039.0,53.0,,,,,,,
tham phú phụ bần,nguyễn vĩ,,zingmp3,41,2024-12-25,"vinahouse, vietnamese lo-fi, v-pop",3pKezs83huL6fTGrsVhfek,1,93.0,,3.0,11.88,,,,,,,,,,,3.0,93.0,169000.0,14800000.0
ex's hate me pt.2,amee,,spotify,61,2020-06-20,"v-pop, vietnamese hip hop, vietnam indie",5tdz7T4hTxA1ipJMBe24uX,1,94.0,,3.0,11.48,,,3.0,94.0,490.0,13559060.0,67.0,,,,,,,
viết tiếp câu chuyện hòa bình,nguyễn văn chung,tùng dương,zingmp3,48,2023-12-21,"v-pop, vinahouse, vietnamese bolero",4L0zBncAEvt5RLAI0IbTKs,1,94.0,,3.0,11.48,,,,,,,,,,,3.0,94.0,30000.0,2000000.0
chờ bao lâu,út nhị mino,hào jk,zingmp3,33,2025-05-16,"vinahouse, vietnamese bolero, v-pop",2YD5RI5M1uoIJrKavDyopq,1,93.0,,2.0,11.35,,,,,,,,,,,2.0,93.0,66000.0,3400000.0
