title,artists,spotify_popularity,release_date,spotify_genres,spotify_track_id,total_plays,total_likes_nct,spotify_streams,is_hit,release_year
Anh Chưa Thương Em Đến Vậy Đâu,Myra Trần,56,2023-01-04,"v-pop, vietnam indie, vietnamese hip hop",3QD2NfLEIvMRbzv2uTu4B7,0.0,0.0,0.0,1,
Thấy Chưa,Ngọt,55,2022-11-25,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",4r7hIDwLsasMfj6nk2Wrib,0.0,0.0,0.0,1,
Forget About Her,JustaTee,58,2022-10-31,"v-pop, vietnamese hip hop, vietnam indie",5kJMW3pK49PvQDtpVryHf5,0.0,0.0,0.0,1,
Anh Nhớ Ra (feat. TRANG),Vũ.,60,2022-09-09,"v-pop, vietnam indie, vietnamese lo-fi",7eDrdQ7PK9Xm1CZCKWsgmH,0.0,0.0,0.0,1,
Mặt Mộc,Phạm Nguyên Ngọc,52,2022-08-05,"v-pop, vietnam indie, vietnamese lo-fi",3dvkpe9FEekxxgaQtxOHQI,0.0,0.0,0.0,1,
Em iu - Radio Edit,Andree Right Hand,59,2022-01-30,"vietnamese hip hop, v-pop, vinahouse",5cml547MByVlaVrKU2lJTg,0.0,0.0,0.0,1,
Anh Ơi Ở Lại,Chi Pu,56,2019,"v-pop, vinahouse, vietnam indie",0VBv6oyMgeEBOIysaSV9aE,0.0,0.0,0.0,1,
Bước Qua Nhau,Vũ.,59,2022-09-09,"v-pop, vietnam indie, vietnamese lo-fi",38rjRVqEHSlDRrDWDvjkqW,0.0,0.0,0.0,1,
Đếm Ngày Xa Em,Only C,56,2016-06-22,"v-pop, vietnamese hip hop, vinahouse",2hLg1Pbi7UFMGGBqOPY5Rb,0.0,0.0,0.0,1,
Yêu Là Tha Thứ,Only C,56,2017-04-12,"v-pop, vietnamese hip hop, vinahouse",4bQdhlDMDBwGEVYu6dLK9Z,0.0,0.0,0.0,1,
Muộn Màng Là Từ Lúc,Mỹ Tâm,50,2017-12-06,"v-pop, vietnamese bolero, vietnam indie",5UeD0rVFJXXl3HGjKiZbrt,0.0,0.0,0.0,1,
Rồi Người Thương Cũng Hóa Người Dưng,Hiền Hồ,50,2019-11-27,"v-pop, vinahouse, vietnam indie",4UywEG4eLYxb6YYuAPmKWH,0.0,0.0,0.0,1,
Mot Dem Say (X),Thịnh Suy,55,2019-06-11,"v-pop, vietnam indie, vietnamese lo-fi",4NjYMfjV1bonlQxQFUjE4Y,0.0,0.0,0.0,1,
Cưới Đi,2T,50,2020-08-28,"vietnamese lo-fi, v-pop, vietnamese hip hop, vietnam indie",2zrQ6CKJuLH8GFOPNqAxys,0.0,0.0,0.0,1,
Một Nhà,Da LAB,52,2015-08-17,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",3EuOQ0v6LxsNFSf3BF5wrw,0.0,0.0,0.0,1,
Hơn Cả Yêu,Đức Phúc,50,2022-05-05,"v-pop, vinahouse, vietnam indie",5YouPnnFSfNJPXgrWZ0P8C,0.0,0.0,0.0,1,
Ta Cứ Đi Cùng Nhau,Đen,51,2017-09-11,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",0cuVWvlDAn6IErlvsZYKZf,0.0,0.0,0.0,1,
Mười Năm (Lộn Xộn 3),Đen,57,2019-02-01,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",4FT18tLTmf3QNBzG5r6OTj,0.0,0.0,0.0,1,
Mamma Mia,HIEUTHUHAI,50,2022-05-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",4uZs35Zm7ivjQCM7v5nQj8,0.0,0.0,0.0,1,
Bóng Phù Hoa,Phương Mỹ Chi,50,2023-09-18,"v-pop, vietnamese bolero",3fw9v7CztM2mqu1jCtbg9f,0.0,0.0,0.0,1,
Thủy Triều,Quang Hùng MasterD,58,2024-02-12,"v-pop, vinahouse, vietnamese hip hop",2CFC7iLurCyDYuXQcfem2l,0.0,0.0,0.0,1,
Chưa Quên Người Yêu Cũ,Hà Nhi,51,2022-08-03,"v-pop, vinahouse, vietnam indie, vietnamese lo-fi",3yKzLSeR9NTwCTg9HvQkcJ,0.0,0.0,0.0,1,
Một Ngàn Nỗi Đau,Văn Mai Hương,52,2022-06-23,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",05X3a0YGmS1rbH50aL8lGF,0.0,0.0,0.0,1,
Exs Hate Me,B Ray,59,2023-04-15,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",170CNv2CAZn8wg6GxvHXYC,0.0,0.0,0.0,1,
Lửng Lơ,Masew,52,2019-04-01,"v-pop, vietnamese hip hop, vinahouse, vietnamese lo-fi",1m4BSQjgXAfoR4dBAapAr7,0.0,0.0,0.0,1,
Hạ Còn Vương Nắng,DatKaa,55,2021-04-04,"v-pop, vinahouse, vietnamese lo-fi",7sKeO4FYQzjMUCnoyTo3dh,0.0,0.0,0.0,1,
She Neva Knows,JustaTee,56,2012-01-21,"v-pop, vietnamese hip hop, vietnam indie",0NyrI1tMvqcK3vU5z9DMdI,0.0,0.0,0.0,1,
Chạm Đáy Nỗi Đau,ERIK,52,2018-04-27,"v-pop, vinahouse, vietnam indie",1P1dtPn7zaZzFahKYJnYfH,0.0,0.0,0.0,1,
Cause I Love You,Noo Phước Thịnh,56,2016-03-23,"v-pop, vinahouse",5vODf231esazyTFBRN6Tdc,0.0,0.0,0.0,1,
Họ Yêu Ai Mất Rồi,Doãn Hiếu,51,2021-01-20,"v-pop, vietnamese lo-fi, vinahouse",6gBWxXAK6LTkGAy0062LoV,0.0,0.0,0.0,1,
Dừng Lại Đây Thôi,Hoa Vinh,52,2019-09-25,"v-pop, vinahouse",4zJmtAph1ENoEnSFHO3tlk,0.0,0.0,0.0,1,
Yêu Em Dại Khờ,Lou Hoàng,54,2019-01-01,"v-pop, vinahouse",3lyI1YkYDjyJVueTsmo9qk,0.0,0.0,0.0,1,
Bài Này Chill Phết,Đen,59,2019,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",2nR51wakN5K3AJENqGaNg9,0.0,0.0,0.0,1,
Có Chàng Trai Viết Lên Cây,Phan Mạnh Quỳnh,56,2019-12-20,"v-pop, vietnam indie, vietnamese lo-fi",2NEzxeMKW0mk5pr7tcrvs2,0.0,0.0,0.0,1,
TRÌNH,HIEUTHUHAI,51,2024-11-07,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",0WjdaO545q9Qn4SQtzRQu9,0.0,0.0,0.0,1,
Dưới Những Cơn Mưa,Mr.Siro,55,2017-02-17,v-pop,1t6SwYMSGIvfX7OZ9RwFdN,0.0,0.0,0.0,1,
Lac Nhau Co Phai Muon Doi (Music From “Cho Em Den Ngay Mai”),ERIK,55,2017-01-16,"v-pop, vinahouse, vietnam indie",5m6oe6saYJkVSbouNrNfUw,0.0,0.0,0.0,1,
Crying Over You,JustaTee,56,2014-03-23,"v-pop, vietnamese hip hop, vietnam indie",2OSjnBrQQ0CNKxIUM2GQDk,0.0,0.0,0.0,1,
Em Của Ngày Hôm Qua,Sơn Tùng M-TP,56,2014-10-20,"v-pop, vinahouse, vietnamese hip hop",6NX2B1nLrulC8XogMQzVaI,0.0,0.0,0.0,1,
Kỵ Sĩ Và Ánh Sao,Đông Nhi,52,2025-04-19,v-pop,62oJI8qLl1kFx77NQiCFo7,0.0,0.0,0.0,1,
HONGKONG1,Nguyễn Trọng Tài,56,2018-10-28,"vietnamese hip hop, v-pop, vietnam indie",6UFvSmKzCZ16fxsybf4PhE,0.0,0.0,0.0,1,
ĐÃ XINH LẠI CÒN THÔNG MINH,EM XINH SAY HI,52,2025-06-02,v-pop,5dEzjwYpSq7LtHOGYU9iah,0.0,0.0,0.0,1,
CẦM KỲ THI HOẠ,EM XINH SAY HI,54,2025-06-09,v-pop,6sH3hTKs0DcZvHASR7cQ6F,0.0,0.0,0.0,1,
AAA,EM XINH SAY HI,52,2025-06-02,v-pop,2R1sqa3gaeCXkqwjNF6YLC,0.0,0.0,0.0,1,
E Là Không Thể (Chốn Tìm Show),Anh Quân Idol,61,2024-11-29,"vinahouse, vietnamese lo-fi, v-pop",0mcveJtBYTbLJa5dHvtxJJ,0.0,0.0,0.0,1,
Đánh Mất Em,Quang Đăng Trần,50,2020-09-23,"vietnamese lo-fi, v-pop, vinahouse",6PFJUHt3vJP3qApZG5QmPw,0.0,0.0,0.0,1,
HỀ,EM XINH SAY HI,53,2025-06-23,v-pop,7C0kNQRFtNhs7Ibx1Q4sLy,0.0,0.0,0.0,1,
Dont Côi,RPT Orijinn,59,2022,"vietnamese hip hop, v-pop",3ukrFH17Zl6iEZ2QJ1Zwiy,,,,1,
Nấu ăn cho em,Đen,55,2023-05-13,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",7td8DTWoGC9u9db37mGHX6,0,0,0,1
Đá tan,Ngọt,57,2022-11-25,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",6Wi18yv3aoO0ZF4uulguof,0,0,0,1
Em Không Khóc (feat. Vũ Phụng Tiên),buitruonglinh,61,2022-03-28,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",4N99EuIjwSSFFFMDfTeOLU,0,0,0,1
Em Không Hiểu,Changg,60,2021-06-28,"v-pop, vietnam indie, vietnamese hip hop, vietnamese lo-fi",1izPmgSW7FV6XFdEOiTvOY,0,0,0,1
Hướng Dương,Changg,55,2021-05-20,"v-pop, vietnam indie, vietnamese hip hop, vietnamese lo-fi",65uxT4ZGe6eOABj1g5V2Fj,0,0,0,1
