title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
"3107 4 (feat. Erik, Nâu)",W/N,nan,"new_hits_scraped, new_hits_scraped_old",59,2022-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",45PPoUgqs3JrhkZGEzSUHT,31074||wn,"('3107 4', 'n, w', 'erik, nan, nâu')"
4 Seasons,Puppy,nan,bsides_non_hit,18,2024-10-20,"v-pop, vietnamese hip hop",0A0VJ0baqBhaV8sUQMHn45,4seasons||puppy,"('4 seasons', 'puppy', 'nan')"
AAA,EM XINH SAY HI,nan,"new_hits_scraped, new_hits_scraped_old",52,2025-06-02,v-pop,2R1sqa3gaeCXkqwjNF6YLC,aaa||emxinhsayhi,"('aaa', 'em, hi, say, xinh', 'nan')"
AI YÊU ANH NHẤT,ANH TRAI SAY HI,"B Ray, Negav, VƯƠNG BÌNH, Gill","nct, zingmp3",47,2025-12-15,"v-pop, vietnamese hip hop",3RXXovDca76weiVIH4WZCS,aiyeuanhnhat||anhtraisayhi,"('ai yêu anh nhất', 'anh, hi, say, trai', 'b, bình, gill, negav, ray, vương')"
"AIRPLANE MODE (feat. HURRYKNG & Wean, antransax)",ANH TRAI SAY HI,nan,bsides_non_hit,39,2024-08-31,"v-pop, vietnamese hip hop",6GzFCUfBZPdmWXMDhVdJ2Z,airplanemode||anhtraisayhi,"('airplane mode', 'anh, hi, say, trai', 'antransax, hurrykng, nan, wean')"
ANH ĐÃ LÀM GÌ ĐÂU (feat. Nhật Hoàng & Thùy Chi),RAP VIỆT,nan,"new_hits_scraped, new_hits_scraped_old",52,2024-12-02,"vietnamese hip hop, v-pop",37ull7GiBZRLhWYDBIYZzW,anhdalamgidau||rapviet,"('anh đã làm gì đâu', 'rap, việt', 'chi, hoàng, nan, nhật, thùy')"
Ai Cho Anh Lương Thiện,Karik,nan,bsides_non_hit,28,2024-07-11,"v-pop, vietnamese hip hop, vietnam indie",0EZRO9aheeMjRXUZaOshre,aichoanhluongthien||karik,"('ai cho anh lương thiện', 'karik', 'nan')"
Ai Lớn Cũng Phải,CAPTAIN BOY,nan,"new_hits_scraped, new_hits_scraped_old",54,2025-06-11,"v-pop, vietnamese hip hop",5e21jDDiJOuoAMd2k8FNn2,ailoncungphai||captainboy,"('ai lớn cũng phải', 'boy, captain', 'nan')"
Ai Mà Biết Được,SOOBIN,nan,new_hits_scraped_old,51,2024-06-25,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",13s4FKMfyzDRFGsfTLAw81,aimabietduoc||soobin,"('ai mà biết được', 'soobin', 'nan')"
Ai muốn nghe không,Đen,nan,new_hits_scraped_old,41,2022-06-12,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",1WCAkmmTM06in2ojuQ9CK5,aimuonnghekhong||den,"('ai muốn nghe không', 'đen', 'nan')"
