track_id,track_name,artist_name,artist_id,release_date,spotify_popularity,duration_formatted
2YAoqItaAqarVVNN7L9r0Z,Cả Nhà Cô Đơn (buonhonmotchut) (feat. Goddy),Táo,23xCr75lKvnFvKi8ImHE7S,05/11/2025,17,5:14
5T4QdnJxl56ass81clyBnz,Mộng Mị (buonhonmotchut) (feat. Goddy),Táo,23xCr75lKvnFvKi8ImHE7S,05/11/2025,17,4:07
5NvEFd9sbI9ChWUVAS8ZYB,Xin (buonhonmotchut) (feat. Goddy),Táo,23xCr75lKvnFvKi8ImHE7S,05/11/2025,19,3:13
1K5v34E0XAJltl0ySiWCZc,Lầm Giấc Mơ,Việt Anh,0cf0oidLIQoNhGTp0SHzhU,10/27/2025,22,5:38
15eVTabKfMB67DeENz5S8F,Mưa Rơi Lặng Thầm,Việt Anh,0cf0oidLIQoNhGTp0SHzhU,06/11/2025,24,4:11
3IgjM5Z4xVZkTQvAQJYosk,Phố Không Em,Việt Anh,0cf0oidLIQoNhGTp0SHzhU,06/13/2025,31,5:08
5F99FNjWIkniddf9xExZzQ,Tiếc Nuối Năm Tháng Xuân Thì,Việt Anh,0cf0oidLIQoNhGTp0SHzhU,10/12/2025,24,4:56
4EABGgwQFe0NBdu49EhYDM,Đêm Lao Xao,Việt Anh,0cf0oidLIQoNhGTp0SHzhU,06/11/2025,24,4:32
1aTOEnRbXz6TJYKgZcW6Lg,Bên Nhau Mình Là Nhà,Vũ Cát Tường,7yquVKfxBuNFJbG9cy2R8A,05/29/2025,35,0:00
4ElFTH8hqX7XkzRbCtktfi,"Ngày Này, Người Con Gái Này",Vũ Cát Tường,7yquVKfxBuNFJbG9cy2R8A,02/14/2025,47,0:00
229P16G6GFOCDUNiUNusc4,Cứu Lấy Âm Nhạc,Wren Evans,5M3ffmRiOX9Q8Y4jNeR5wu,01/16/2025,36,0:00
0wZQeFW2ZcIbCTnxnKx5O9,Vấn Vương,buitruonglinh,7Cp2hGcriAaDUAWpXnSEwm,04/17/2025,42,2:54
4oKraqGaWN3qg37MqEd27A,ACT i: Yết,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,25,0:00
6vKGZjNM6dCEVyvAzqAW93,ACT iv: Kết Thúc,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,12,0:00
28ou00HjCUWKQI318NUeb7,ANH KHÔNG THIẾT,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,15,0:00
1xFh12giTLsXgM7Abl9vMI,AUYEM,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,25,0:00
23sYWCrSmJ6LlYb1yZx6wB,GIAYPHUT,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,14,0:00
5AGsqfnnw4v4si7cfaOs32,KOSAO,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,18,0:00
7j8Cn6JwRm76xGvnuLpBG0,LOVER BOY,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,17,0:00
1FGfydS2cZzWw6xKf7ELOC,NHỚ (ANH),kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,15,0:00
5DV4gm7bh9aFhbMkjRknwB,TALAGI,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,14,0:00
0aqp1aE5TF3Tdah3aDOUcU,TẠI SAO,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,17,0:00
1IUEBNyG1iyDfhMM6KHQhJ,VMA,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,17,0:00
6UzdSf9u3pTkiqotDMSopE,WANYU,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,18,0:00
3aH4FiGwEADxTLLXagXhd9,YÊU,kidsai,6kkA6laUMR0hzML9YY98CQ,11/13/2025,28,0:00
1LYF2h3PyfZRPwDTTGotWH,CÁI ĐẸP,tlinh,3diftVOq7aEIebXKkC34oR,01/23/2025,40,0:00
4hY2A4LfycGhdIKABHh6Nv,em biết ò!,Ánh Sáng AZA,0agWx6vy0Ss4FGafO8bEYc,09/10/2025,43,3:40
3m0HZdj4sDKWPeZxjIAEUg,Lãng đãng,Đen,1LEtM3AleYg1xabW6CRkpi,07/29/2025,44,0:00
0fy83aSwInNBE72Ajbocw8,Con Đường Mưa,Đặng Vĩnh Thịnh,5HoKHEC3OTaMgMDnCqc00B,02/16/2025,31,0:00
4uomzOPPcNtVQ8UJWMrjSm,Mượn Trăng,Đặng Vĩnh Thịnh,5HoKHEC3OTaMgMDnCqc00B,10/03/2025,20,0:00
1XTrtPInHMOu5oW4vDbozR,Tình Đang Farm,Đặng Vĩnh Thịnh,5HoKHEC3OTaMgMDnCqc00B,07/21/2025,6,0:00
3XMNQ51G4mDsSa7o7QLJiS,Anh Ở Đây Mà,Đức Phúc,5FWPIKz9czXWaiNtw45KQs,01/20/2025,28,4:06
1ahMIChLwnLRGDu5AhMWZI,Chăm Em Một Đời,Đức Phúc,5FWPIKz9czXWaiNtw45KQs,02/11/2025,45,3:22
67jiVyc7mvmHmxS9EEPNFU,Phù Đổng Thiên Vương,Đức Phúc,5FWPIKz9czXWaiNtw45KQs,09/19/2025,38,3:00
0tnXPMb5NR08pvh04wSnlC,Thương Em,Đức Phúc,5FWPIKz9czXWaiNtw45KQs,09/08/2025,17,3:58
1C3eD8wxdWwPDSYHQCOZwY,Tết Này Để Con Lo,Đức Phúc,5FWPIKz9czXWaiNtw45KQs,01/06/2025,12,2:51
2cneIo4vGuVHg1tTAlfjn4,Dưới Ánh Đèn Trong Thành Phố,Đức Trường,4R2engiAed6QeIV63PDAz0,03/01/2025,22,2:45
3LZYzC2BuOVru4HjixB1Cq,Không Thể Chạm,Đức Trường,4R2engiAed6QeIV63PDAz0,03/01/2025,4,3:42
4HqEiOEZy4YORsjjVghUT2,Kẻ Điên,Đức Trường,4R2engiAed6QeIV63PDAz0,03/01/2025,14,3:18
3ZkH8Vt9RxFVEX18ghXyhw,"Nếu Biết Đó ""Thật Sự"" Là Lần Cuối",Đức Trường,4R2engiAed6QeIV63PDAz0,03/01/2025,33,3:31
5Ybp7v0MDknovIKKoTkLdH,Đến Đây Được Rồi,Đức Trường,4R2engiAed6QeIV63PDAz0,03/01/2025,34,3:46
