artist_id,artist_name,genres,followers,popularity
6QfCxUkMNgOYA4dswW2ZWN,Reddy,"vietnamese lo-fi, v-pop, vietnam indie, lo-fi",56546,38
6qGNq5FsYFJdaHfKg1iK39,Katzilla,v-pop,10,8
6qlwhXaiTEdpHhwjfUZKJs,21 NOS,vietnamese hip hop,523,10
6qVGQ3dlKRvDEqJvnccWmw,KIDDIE,"v-pop, vietnamese hip hop",271,21
6QwHC6CRkFfpwGYEzFsTsK,Anh Rồng,"vinahouse, v-pop, vietnamese lo-fi",22190,33
6R5x0FCE48rOtZjazPbRyh,Kim Chi Sun,"vietnam indie, v-pop, vietnamese hip hop",5647,25
6rhM1w8bggeAxJ5pae0CiQ,Thuy MX,v-pop,363,23
6rjeIzqCIxVgbaMVmIrySW,Ban nhạc Hương Mùa Hè,"v-pop, vietnam indie",1094,31
6rLm6yMYaTHSlixXSpuPfw,Melomix,"v-pop, vietnamese hip hop",1451,29
6RrwDKf0zJNUHmY3ozD0op,Double Noize,"vinahouse, vietnam indie, bass house",929,14
6RUfMGubOnHT1p3nfeXpBl,Thiều Bảo Trâm,"v-pop, vietnamese lo-fi",145163,40
6RYfTf1zDRu9rnOzo8QRJD,Thanh Lan,"vietnamese bolero, bolero",27510,22
6S0JgJU2l6ds1EhZUJMQFk,LK,"vietnamese hip hop, v-pop, vietnam indie",36688,39
6s0n62AimhVflC6bqeSs4K,Kaity Nguyễn,"v-pop, vinahouse",173,7
6sB72O2Urftmd5xbC6AwjO,Cậu Phát,vietnamese hip hop,16482,44
6sEtWmBjLZwcB47ZHmD5mu,Cánh Cụt và Xích Sắt,v-pop,40,6
6sJBvMCAi9NuNCxI9RDYDW,Osad,"v-pop, vietnamese hip hop",294257,43
6Sz9jchJpz8HyBTtkPvYDT,Khánh Phương,"vinahouse, v-pop, vietnamese bolero",143598,38
6T2tebSVgZCSAquyv1nhwy,R.I.C.,"vietnamese hip hop, v-pop",66,1
6T32NeWffd4XiuX5H4JYwo,Xin Chào Entertainment,v-pop,82,8
6T66NqlxuXsffPPpQySdJ4,Gia Quý,vinahouse,157,12
6TITnFVRcl0AcZ4syE7Toe,Low G,"vietnamese hip hop, v-pop",2036370,64
6tLr8Y39P0VvaK5AN4UmOn,V2T Media,"vinahouse, v-pop",134,33
6trEYfLSuAd9CS8bCy4sOH,demxntia,"vietnamese lo-fi, emo rap",158031,48
6tTjTZERgIZFFiHxTVtKZl,Việt Quất,"vinahouse, v-pop",13,4
6tWaQSIL7reD85PKStNk28,Kha,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",192141,49
6u3vaaKw2RHp48KMUAxW1e,Khang Duy,v-pop,44,2
6uAa2LaYiWLsy8FlwtKvay,SIXTYUPTOWN,"vietnamese hip hop, v-pop, vietnam indie",9523,40
6uD33IUwz8hLdIjz6Afcrm,ViAM,"vinahouse, v-pop, vietnamese lo-fi",2091,44
6Ue0BbbTOdBjcO4QZB5sio,Trungg I.U,"v-pop",5798,43
6UiKZD9yB7Gxjol62s431k,Seachains,"v-pop, vietnamese hip hop, vinahouse",45356,44
6Um6sWmC0RAmFJYzcUinKX,bf_huNG,"v-pop, vietnam indie",806,26
6uPQqRyJMiXn3lHCh0oJIt,Cường Seven,v-pop,11258,38
6uT7bp7jeZwhkYkRVWfL8H,DucMinh,"v-pop, vietnamese hip hop, vietnam indie",7576,39
6uTygV8XJnO8OVlSvlIyJK,Dub P,,6938,23
6V2hxt1eky76f5uVIdGjVF,Redshine,"v-pop, vietnamese hip hop",131,3
6v3raSn2yZysYOjbmT4Ade,H2O Ballad,v-pop,358,26
6VLN4hTrGOZ5Le1TVTwDTg,Ngọc Dolil,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",106950,31
6w2AVIxXrI6y3N9yHi0u6s,Vinh Trịnh,"v-pop, vietnamese hip hop",139,14
6w4Cn8sKMa6PYhT91LoTTy,Sony Tran,"vietnamese hip hop, v-pop",2999,30
6WhZ9F4Zx45ATLyeKpQ5sT,TIEU SON,"vietnamese hip hop, vietnam indie",1325,24
6xaXA45aKi0Up6xbS8pfqO,Ngọc Liên,"vietnamese bolero, bolero",5789,24
6xDaSKkOUfOxR5HCf6Gmq7,Hồng Dương,"vinahouse, v-pop, vietnamese lo-fi",442,21
6XjvU9kELBUUYjW1QM68RT,Worm JB,vietnamese hip hop,442,8
6xovmKCOy9W1AFAkFSjPLO,A 'Namese,v-pop,21,16
6xQUSqDu9uizDib9Ww47yO,Hien Thuc,"v-pop, vietnamese bolero",59194,36
6xRZoWlE9twEkMC5NW4Z9f,Hoàng Tôn,"v-pop",308095,54
6YcWGOsleUSDSY8CQu6gPf,Bach Cong Khanh,"v-pop, vietnamese bolero",3517,30
6yFnBi6LGmjUBDpNUclIaN,Abbey Mai,v-pop,615,19
6Yn4MreaTnwOoahPtGExW4,RICK,vietnamese hip hop,5555,32
6YPDCDSpf6aF6WXVAeEpVI,Bàng Khánh Tùng Lâm,v-pop,272,12
6yzbDKj9tQCYUyhAvrDNHW,JUUN D,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",160604,36
6yZuJmKsA5bGl5z1UKsnyq,16 Rehtona,vietnamese hip hop,573,4
6ZmHJcmCcc9X2sAyz6cHng,Hiền Hồ,"v-pop, vinahouse",250645,43
6zUWZmyi5MLOEynQ5wCI5f,Da LAB,"v-pop, vietnamese hip hop",1263583,59
6Zx90B1VRgR4TB01S87duQ,Anh Phan,"vietnamese hip hop, v-pop",103092,40
70n8MDS81pSWtHMIlRoeaO,1967,"vinahouse, v-pop",799,14
70swmqj7c3SHkkdf2SrSUy,LYHAN,v-pop,76462,49
70ULEgr5A3zBL12foM4bnj,Vũ Phụng Tiên,"v-pop, vinahouse, vietnamese hip hop",64182,46
70VcRkAEFmkqvGjPegY2LU,Huyền Tranng,"vinahouse, v-pop",471,32
70xqUA23Q0PdxUOMqUCkqR,Bbynascar,"new wave, vietnamese hip hop, v-pop, vietnam indie",3641,33
718B4kCOANCJVSp8s3pmfG,MC 12,"vietnamese hip hop, v-pop",1516,25
718QENtLy8bL4xVoZPg5PP,YanBi,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",107796,42
71Cy7nzbfpuGJAS5FGxm93,Khoi Vu,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",85580,53
71jD7mheM5zAPYaHkS4FNo,Yeolan,v-pop,28909,37
71LQEF4uo08r9RIB7eTEAE,Chiennhatlang,"vietnamese hip hop, v-pop",7545,28
724vfcfvP6MYgoIBxgEXHf,Shorty Thang,"vietnamese hip hop, v-pop",2034,3
72EdJx99N3KfA9xrjLqO5c,Quoc-Bao,"vietnam indie, v-pop, vietnamese bolero",5424,20
72lhAORN3XQgtYADoggLRH,1 9 6 7,"vinahouse, vietnamese lo-fi, v-pop, lo-fi",180350,41
73AUXZbgPiHjPbv66nGVq7,Rtee,"v-pop, vietnamese hip hop, vietnam indie",8659,36
73elwmYraTE6eeTcipSELP,Thành Dũng,"v-pop, vietnamese hip hop",88,14
