artist_id,artist_name,total_followers,popularity,genres,spotify_url,image_url
0dBcEvEklr1jx4uZuhFX5e,Ronboogz,454964,61,"v-pop, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/0dBcEvEklr1jx4uZuhFX5e,https://i.scdn.co/image/ab6761610000e5eb8de0c8ed480aabd579520b48
1LEtM3AleYg1xabW6CRkpi,Đen,4556561,61,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",https://open.spotify.com/artist/1LEtM3AleYg1xabW6CRkpi,https://i.scdn.co/image/ab6761610000e5eb91d2d39877c13427a2651af5
2aQnC3DbZB9GbauvhAw7ve,AMEE,1695813,61,"v-pop, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/2aQnC3DbZB9GbauvhAw7ve,https://i.scdn.co/image/ab6761610000e5ebfd70279a04a9b3796e7dcd4d
51wGpVg4Z3lv1IjuZAQjXn,Juky San,165065,60,"v-pop, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/51wGpVg4Z3lv1IjuZAQjXn,https://i.scdn.co/image/ab6761610000e5eb6b2868cd823c288fb1b686b3
0slOzRzTQb1RBBVJbvRITP,Quang Hùng MasterD,580317,60,"v-pop, vinahouse, vietnamese hip hop",https://open.spotify.com/artist/0slOzRzTQb1RBBVJbvRITP,https://i.scdn.co/image/ab6761610000e5eb114e6e6e87d44db768bc8cea
6OzE2OdvV2tGAxSBsBuZ74,Hoàng Dũng,739209,60,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",https://open.spotify.com/artist/6OzE2OdvV2tGAxSBsBuZ74,https://i.scdn.co/image/ab6761610000e5eb737a9da0ddb330f242cf16d5
5lAfakPZgxFKgiJD6xAF1G,Orange,739040,60,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",https://open.spotify.com/artist/5lAfakPZgxFKgiJD6xAF1G,https://i.scdn.co/image/ab6761610000e5eb4fd642b5cb18ea447c5a6110
6d0dLenjy5CnR5ZMn2agiV,GREY D,478059,60,"v-pop, vietnam indie, vietnamese hip hop",https://open.spotify.com/artist/6d0dLenjy5CnR5ZMn2agiV,https://i.scdn.co/image/ab6761610000e5ebdaf8a5b12685e3f3deb33a29
0V2DfUrZvBuUReS1LFo5ZI,Ngọt,1066727,59,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",https://open.spotify.com/artist/0V2DfUrZvBuUReS1LFo5ZI,https://i.scdn.co/image/ab6761610000e5eb66e0a040a53996e8bf19f9b5
1y28JlO6rDMUB5rkcA4RAh,52Hz,326028,59,"v-pop, vietnam indie, vietnamese hip hop",https://open.spotify.com/artist/1y28JlO6rDMUB5rkcA4RAh,https://i.scdn.co/image/ab6761610000e5eb72856734dbbdac3027b447e3
6NF9Oa4ThQWCj6mogFSrVD,W/N,1797397,59,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/6NF9Oa4ThQWCj6mogFSrVD,https://i.scdn.co/image/ab6761610000e5eb316c0f0bc6cf3a29c203ab1e
2xvW7dgL1640K8exTcRMS4,Chillies,981747,59,"v-pop, vietnam indie, vietnamese hip hop",https://open.spotify.com/artist/2xvW7dgL1640K8exTcRMS4,https://i.scdn.co/image/ab6761610000e5ebdc19b29cb3109805bc4f6910
5Kh0ta0UY4uJ4g2CIdq9V9,Phương Ly,707642,59,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",https://open.spotify.com/artist/5Kh0ta0UY4uJ4g2CIdq9V9,https://i.scdn.co/image/ab6761610000e5ebd44b24dd66374b59c07e319e
2Bwp23pD4UVsSkchHDZw4F,Karik,537364,59,"v-pop, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/2Bwp23pD4UVsSkchHDZw4F,https://i.scdn.co/image/ab6761610000e5eb2ef6756afdf74f9b7e3a1861
351mBX7BjjI2plbfozIzqb,VƯƠNG BÌNH,14057,58,"v-pop, vietnam indie",https://open.spotify.com/artist/351mBX7BjjI2plbfozIzqb,https://i.scdn.co/image/ab6761610000e5eb455fdb7eec39ae5de6b47639
0gGd4WhPXBSgDX6fdOHcOw,Rhymastic,775145,58,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",https://open.spotify.com/artist/0gGd4WhPXBSgDX6fdOHcOw,https://i.scdn.co/image/ab6761610000e5eb925504351e48c2dbdcad135f
3y6Lfjkrdn5TgkbgDxbpvM,marzuz,39829,58,"v-pop, vietnam indie, vietnamese hip hop",https://open.spotify.com/artist/3y6Lfjkrdn5TgkbgDxbpvM,https://i.scdn.co/image/ab6761610000e5ebbcf522c762631180c74a355d
3Tehj7YghQc7zH0I1faGc6,BigDaddy,381159,58,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",https://open.spotify.com/artist/3Tehj7YghQc7zH0I1faGc6,https://i.scdn.co/image/ab6761610000e5ebd11431a2d0efb06cf912d920
2aMo0CYbTieTisS0BlWc59,VSTRA,402460,58,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/2aMo0CYbTieTisS0BlWc59,https://i.scdn.co/image/ab6761610000e5eb9612bebdf75dcc412722b8ea
4dH6uW4FU977FDuTcCHGUf,RIO,38892,58,"v-pop, vietnam indie, vietnamese hip hop",https://open.spotify.com/artist/4dH6uW4FU977FDuTcCHGUf,https://i.scdn.co/image/ab6761610000e5eb2a6d1ecedd4314fe14a06968
75Ki5hBCOpDtKGoFyTvLxP,Lou Hoàng,581738,58,"v-pop, vinahouse",https://open.spotify.com/artist/75Ki5hBCOpDtKGoFyTvLxP,https://i.scdn.co/image/ab6761610000e5eb1ecb294a0e1b2749d648f555
13c4ijEkXNvEFoxGxwp5Su,Pháp Kiều,315386,58,"v-pop, vietnamese hip hop",https://open.spotify.com/artist/13c4ijEkXNvEFoxGxwp5Su,https://i.scdn.co/image/ab6761610000e5eb26a712a3489480dbfa0853ae
23Gbd21nBxC1kCtcG2Cd0C,Phùng Khánh Linh,121153,57,"v-pop, vietnam indie",https://open.spotify.com/artist/23Gbd21nBxC1kCtcG2Cd0C,https://i.scdn.co/image/ab6761610000e5eb3d72fd994882153be8113e7d
1L1VfizWn4DkFt602yD80U,ERIK,1149066,57,"v-pop, vinahouse, vietnam indie",https://open.spotify.com/artist/1L1VfizWn4DkFt602yD80U,https://i.scdn.co/image/ab6761610000e5eb916407e907705dc1ab9010c3
1cPpd989kghzlZqfpP4KwL,RAP VIỆT,2108299,57,"vietnamese hip hop, v-pop",https://open.spotify.com/artist/1cPpd989kghzlZqfpP4KwL,https://i.scdn.co/image/ab6761610000e5eb9d2bdcb58736ac5fbd385d11
71Cy7nzbfpuGJAS5FGxm93,Khoi Vu,63966,56,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/71Cy7nzbfpuGJAS5FGxm93,https://i.scdn.co/image/ab6761610000e5eb6b6b3f17f2b401fa482c3f31
2NRcG7E1j2sSi8vnUzCcpi,Quân A.P,903106,56,"v-pop, vietnamese lo-fi",https://open.spotify.com/artist/2NRcG7E1j2sSi8vnUzCcpi,https://i.scdn.co/image/ab6761610000e5ebdcf9d96bc4ce9e0b4bd68fba
5FWPIKz9czXWaiNtw45KQs,Đức Phúc,1438997,56,"v-pop, vietnam indie, vinahouse",https://open.spotify.com/artist/5FWPIKz9czXWaiNtw45KQs,https://i.scdn.co/image/ab6761610000e5ebe4b06740e275331ee84c5a26
21trGUfOb8qkRjI4EyF1qm,Mỹ Mỹ,43694,56,v-pop,https://open.spotify.com/artist/21trGUfOb8qkRjI4EyF1qm,https://i.scdn.co/image/ab6761610000e5ebfc6f6ca391a4cfde17764f65
5kT9ftAJylK1roRMcdcsw2,LAMOON,45286,56,v-pop,https://open.spotify.com/artist/5kT9ftAJylK1roRMcdcsw2,https://i.scdn.co/image/ab6761610000e5eb013ad909746cfa5472f1e053
7at0gkjCnhOBrxwQlJPJ4s,Ngô Kiến Huy,184891,56,v-pop,https://open.spotify.com/artist/7at0gkjCnhOBrxwQlJPJ4s,https://i.scdn.co/image/ab6761610000e5eb5b9601a22bd6c59d0feed416
4R3mugkUqCALXgkwSptTbg,Đạt G,631661,56,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",https://open.spotify.com/artist/4R3mugkUqCALXgkwSptTbg,https://i.scdn.co/image/ab6761610000e5eb566c6bf623bf12f1a4979a05
30eFAXoU2kTjJPf2cq80B8,WEAN,512847,56,"v-pop, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/30eFAXoU2kTjJPf2cq80B8,https://i.scdn.co/image/ab6761610000e5eb040ce9d8a0ff0e237249a644
3HD3V1nGFPwepBO7064Ij0,PC,172785,55,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",https://open.spotify.com/artist/3HD3V1nGFPwepBO7064Ij0,https://i.scdn.co/image/ab6761610000e5eba89c4b57cc76f6d0fa7af15f
2xK6qcvfXuFFbU0NL95aeo,Thịnh Suy,787143,55,"v-pop, vietnam indie, vietnamese lo-fi",https://open.spotify.com/artist/2xK6qcvfXuFFbU0NL95aeo,https://i.scdn.co/image/ab6761610000e5eb30f9ed21d498b489f97a3dc6
35HU1GT1q797EwZsP8uduO,Mr.Siro,1283617,55,v-pop,https://open.spotify.com/artist/35HU1GT1q797EwZsP8uduO,https://i.scdn.co/image/ab6761610000e5eb4371fb198b011bb666a3bfde
1OIYKbmhG0RxPXvVPNj3NN,Madihu,295953,55,"v-pop, vietnam indie, vietnamese hip hop",https://open.spotify.com/artist/1OIYKbmhG0RxPXvVPNj3NN,https://i.scdn.co/image/ab6761610000e5eb3bcc23d31e8962897b7d3e2c
1oD9fKbb7qQ2nhn9JJC24F,Thắng,319724,55,"vietnam indie, v-pop, vietnamese hip hop",https://open.spotify.com/artist/1oD9fKbb7qQ2nhn9JJC24F,https://i.scdn.co/image/ab6761610000e5eb43adea396c358455ecc0e73f
04xz9bIBYTIqEpmRvQkfvu,Tyronee,16358,55,"v-pop, vietnam indie, vietnamese hip hop",https://open.spotify.com/artist/04xz9bIBYTIqEpmRvQkfvu,https://i.scdn.co/image/ab6761610000e5eb6162b401151ff8da80ac577a
3JkGKNawown8MgcJsDw1WT,Duongg,70186,55,"vietnamese lo-fi, v-pop, vietnam indie",https://open.spotify.com/artist/3JkGKNawown8MgcJsDw1WT,https://i.scdn.co/image/ab6761610000e5eb5f79cd0c11cd708d94bbdecc
7kBsX15IDun9YxuVmKCMYJ,Hngle,13531,55,v-pop,https://open.spotify.com/artist/7kBsX15IDun9YxuVmKCMYJ,https://i.scdn.co/image/ab6761610000e5eb705993fcf7f2724042850e8b
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,639928,55,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",https://open.spotify.com/artist/5M3ffmRiOX9Q8Y4jNeR5wu,https://i.scdn.co/image/ab6761610000e5eb170428492febf4a71ef1e08e
1pKPrziZw7C4GvOlBIXqP5,CAPTAIN BOY,314216,55,"v-pop, vietnamese hip hop",https://open.spotify.com/artist/1pKPrziZw7C4GvOlBIXqP5,https://i.scdn.co/image/ab6761610000e5eb07acd610dcd9331a409abe41
3KJopZ2uUclqEtLxQg0FNn,Jack - J97,683956,55,"v-pop, vinahouse, vietnamese lo-fi",https://open.spotify.com/artist/3KJopZ2uUclqEtLxQg0FNn,https://i.scdn.co/image/ab6761610000e5eb590faf0dfd50885b67186aab
6xRZoWlE9twEkMC5NW4Z9f,Hoàng Tôn,297035,55,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",https://open.spotify.com/artist/6xRZoWlE9twEkMC5NW4Z9f,https://i.scdn.co/image/ab6761610000e5ebedbcd6617c30e3c85939c8c1
2rVYwIYNEsMxtt8j5yemHb,T.R.I,276105,55,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",https://open.spotify.com/artist/2rVYwIYNEsMxtt8j5yemHb,https://i.scdn.co/image/ab6761610000e5eb5227b3b41e9e28c80ff488d8
6EybZ5zwPNEtEngfrEMevN,JSOL,310054,55,"v-pop, vietnamese hip hop, vietnamese lo-fi",https://open.spotify.com/artist/6EybZ5zwPNEtEngfrEMevN,https://i.scdn.co/image/ab6761610000e5eb715ebe01233a751b87f5f65b
4bPYvyUn1mWwUwIW57oST2,Emcee L (Da LAB),222175,55,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",https://open.spotify.com/artist/4bPYvyUn1mWwUwIW57oST2,https://i.scdn.co/image/ab6761610000e5eb92dc4a2cbffbddb59f825fe0
3oD2yI1g6aT3KawHD8ZYaU,TeuYungBoy,62240,55,"vietnamese hip hop, v-pop",https://open.spotify.com/artist/3oD2yI1g6aT3KawHD8ZYaU,https://i.scdn.co/image/ab6761610000e5ebf0d96b347abec2c6872333d4
4grjJqg7iwQ8RKHs8d9Snh,Andree Right Hand,447894,55,"vietnamese hip hop, v-pop, vinahouse",https://open.spotify.com/artist/4grjJqg7iwQ8RKHs8d9Snh,https://i.scdn.co/image/ab6761610000e5ebdfe57061d76082712e9c27ec
4usb4zmoHVcrvPPHHkKYaV,Nhâm Phương Nam,4207,54,v-pop,https://open.spotify.com/artist/4usb4zmoHVcrvPPHHkKYaV,https://i.scdn.co/image/ab67616d0000b2738ca5692bbb36bfdf1def6255
14W31zJumZnGDgZuPXclTJ,Thanh Hưng,294895,54,"v-pop, vinahouse",https://open.spotify.com/artist/14W31zJumZnGDgZuPXclTJ,https://i.scdn.co/image/ab6761610000e5eb394f4bba5e758ad7adc00a3c
0qkGQFUrj8ERPAZcdpa79j,Phuc Du,130747,54,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",https://open.spotify.com/artist/0qkGQFUrj8ERPAZcdpa79j,https://i.scdn.co/image/ab6761610000e5eb0f83264a3e7470996f394e0a
