file_name,spotify_track_id,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio
420chillnfree - wxrdie.mp3,1nd0gAP5GV8ZePjrNKiz8k,8.88,112.35,D:min,0.12354,3385.11,9.3337,8.8755,0.4988,10.3479,14.0673,8.9228,9.5585,8.3178,-170.2854,98.4071,69.8812,67.2789,24.6723,38.3297,12.5156,32.348,7.8001,16.528,1.2716,13.6534,-3.5307,16.4087,6.2272,11.6736,-11.0279,14.8384,0.123406,5915.76,21.34,16.91,21.69,20.06,20.57,19.95,47.12,0.046392,2.4825,4.62,0.9445,0.2734,0.3991,0.8317,0.4874,0.4072,0.3465,0.2581,0.2697,0.364,0.5044,0.3463,0.2783,0.3066,0.1617,-0.0792,-0.3516,-0.1453,-0.0599,1.5832
4010 - dfoxie37.mp3,5IfPPShpdaZ5YGk28Y4MVw,84.34,129.2,E:min,0.188667,1381.77,5.6323,10.7315,2.8242,8.7822,4.6893,9.0962,1.8547,9.5547,-150.7572,85.4026,143.9907,40.6081,29.0657,30.1442,12.606,17.1829,12.3852,14.592,14.6907,13.0122,1.7853,10.1277,6.293,10.3372,1.1417,9.3917,0.046428,2938.57,21.52,16.04,19.48,19.11,19.83,17.98,46.74,0.008681,1.432,4.17,0.9631,0.4303,0.4584,0.4026,0.3108,0.3415,0.347,0.5325,0.4212,0.3928,0.4177,0.4227,0.516,0.2633,-0.0977,0.1062,0.0545,0.0296,-0.0359,3.1371
chỉ buồn hôm nay - phùng khánh linh.mp3,038gJRr8zqXOMUFyKadVaw,275.82,136.0,G:maj,0.198383,1937.04,-3.9258,9.4205,-5.5768,8.6326,-2.3628,8.4475,-1.9411,8.7868,-120.1398,111.4361,112.304,45.7035,24.3803,23.1869,19.4348,15.7827,8.4092,13.4898,-1.6437,13.5809,5.7664,11.3931,-6.8722,10.6673,-1.165,9.7512,0.073781,4382.12,20.89,17.95,22.73,22.17,20.6,20.07,44.43,0.009856,1.0743,2.33,0.9401,0.3254,0.2128,0.3137,0.1879,0.3252,0.2569,0.2606,0.3837,0.2672,0.3768,0.1913,0.285,0.2656,0.15,0.0156,0.0431,0.0122,0.0049,4.5377
chỉ còn lại tình yêu - bùi anh tuấn.mp3,13oWTZuocqL7XmsBBgNiZk,315.99,66.26,F:maj,0.20709,1979.75,6.8173,12.8056,-4.9575,10.051,-7.2985,11.6602,-1.3046,10.7231,-146.1579,130.2155,98.0084,33.0685,21.6039,23.9935,18.0097,15.8265,4.3395,15.6799,5.473,11.7397,-3.5894,12.4961,4.3438,10.1047,-11.1213,13.9387,0.077914,4265.5,21.3,18.14,22.46,20.94,20.58,20.37,50.08,0.015351,1.1215,1.68,0.9603,0.306,0.2313,0.3116,0.2798,0.2949,0.3069,0.2138,0.2435,0.2033,0.3051,0.3207,0.2478,0.0374,0.2098,-0.0252,-0.0341,0.0016,0.0039,3.7184
chỉ còn một đêm (last dark) - quang hùng masterd.mp3,3b2YOwFIYi1IDLy4hBo1TA,264.86,112.35,A:maj,0.24488,1811.16,-1.6084,12.0504,-0.7057,11.0285,-4.751,11.0895,1.6905,10.5796,-115.5601,107.4444,106.904,37.5577,5.5385,29.81,22.4661,23.0259,-5.2108,18.5287,5.8082,15.0209,-4.7735,14.5595,-1.9894,13.9217,-6.9186,12.0416,0.067745,3877.51,20.86,16.79,20.61,19.24,18.74,18.32,48.62,0.011801,1.6063,3.12,0.9727,0.3436,0.4712,0.3573,0.3088,0.4078,0.2961,0.3202,0.2447,0.3364,0.4259,0.3392,0.4382,0.1149,-0.1365,-0.1004,-0.0132,0.0005,-0.0065,2.1297
chỉ còn những mùa nhớ - charmy pham.mp3,2jy0ZXCLtBBKqwmUjY0Rdq,328.24,112.35,F:maj,0.181777,1920.97,7.8334,12.4827,-7.5995,12.0804,0.0466,10.2801,-6.6435,10.0749,-170.7943,128.1254,98.1506,39.7455,16.2047,20.3113,21.5449,19.747,8.7698,15.4079,3.0076,15.8284,-0.2279,14.0014,-2.2288,11.8315,-5.2227,11.8723,0.072317,4154.45,22.0,19.26,22.39,21.1,20.75,19.92,49.26,0.021127,1.0961,2.47,0.9498,0.3001,0.2582,0.3269,0.2911,0.3734,0.3655,0.2177,0.2642,0.2297,0.2561,0.2015,0.211,0.0795,0.189,-0.0848,0.0532,-0.0237,0.0031,4.6465
chỉ có một người để yêu trên thế gian - mr.siro.mp3,1aDZCQzHUD7i0mbYCGYbRl,286.1,143.55,C#:maj,0.187429,1998.42,-3.8132,12.6417,-5.8969,10.9259,-4.7116,12.0444,-7.9719,10.4323,-130.1969,95.695,109.7467,33.9313,12.9202,22.5629,7.8533,19.5761,10.6993,12.934,1.6208,11.5425,-8.5283,12.8122,-0.1504,10.9823,-5.6274,10.3544,0.074214,4527.15,20.57,19.27,21.93,20.94,21.45,20.29,47.07,0.011008,1.1811,2.5,0.9583,0.221,0.2715,0.2012,0.3478,0.2129,0.3683,0.3362,0.2676,0.2973,0.1955,0.2648,0.1898,-0.294,-0.0492,-0.0169,-0.0272,-0.0086,0.0068,3.6457
chỉ là không có nhau - buitruonglinh.mp3,5al1yF14WwkqHbBxxMFoYN,241.71,69.84,C:maj,0.222983,1486.45,-1.1103,10.7255,-4.9081,9.509,-0.5035,9.8582,-4.724,9.5337,-113.8557,97.1539,128.2688,31.3576,5.9188,20.108,20.6621,15.2197,7.047,12.6536,0.1329,14.0046,-1.4164,11.122,-4.3648,11.6727,-6.8228,10.6087,0.05218,3017.82,21.39,17.39,19.84,19.93,19.74,19.63,48.58,0.00516,1.1894,2.9,0.9547,0.429,0.2975,0.3124,0.2627,0.3071,0.3914,0.2678,0.3403,0.286,0.4381,0.3598,0.2606,0.1,0.2449,-0.0841,0.0578,0.0001,0.0281,2.8402
chỉ muốn bên em lúc này - huy vạc.mp3,6XrrP0zzm8rLQQoWlqpxfx,243.09,103.36,A:maj,0.173668,1921.66,4.3693,14.1796,-15.1665,10.3839,-0.8,9.6585,-9.4249,9.9806,-126.0453,114.8604,114.108,36.7887,3.3492,20.0937,12.4501,15.9993,0.0274,14.7737,-6.764,13.283,-4.7434,11.423,-4.8146,9.5617,-17.8271,11.8458,0.081148,4015.95,20.02,17.7,21.68,21.46,20.53,20.82,50.42,0.012459,1.1593,3.16,0.9692,0.2677,0.3036,0.2166,0.156,0.2807,0.2607,0.2316,0.1706,0.2347,0.3748,0.3055,0.3976,0.1119,-0.1165,-0.0806,-0.0047,-0.0133,-0.0116,3.0201
chỉ một câu - thịnh suy.mp3,1KYzMkUw6S96hsShPnMWhx,239.63,172.27,G:maj,0.128599,1271.79,-2.9599,11.6785,-12.4058,10.3031,-8.9328,9.9498,-7.6053,11.5734,-240.091,107.9627,141.2724,47.354,18.0548,24.7561,7.891,20.1378,5.7487,13.6833,-12.5273,13.167,-6.5332,12.9823,-4.5938,11.8842,-14.6101,13.5909,0.050961,2390.07,20.93,20.64,24.11,23.6,22.62,21.38,47.57,0.004397,0.9832,2.17,0.9415,0.2603,0.1886,0.4063,0.1823,0.1715,0.0884,0.1625,0.2847,0.1959,0.3664,0.1946,0.2647,0.4195,0.1348,0.0628,-0.0927,-0.0244,0.0036,6.839
