file_name,spotify_track_id,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio
"(từng là) boyfriend, girlfriend - min.mp3",7B2UpgEZe68OdfKzBb8JZq,242.87,117.45,F:maj,0.255455,2268.43,6.1221,9.3141,-4.8049,11.7006,3.6076,8.6912,-5.0133,9.1842,-82.0684,108.9603,92.9484,36.2936,19.7115,19.3063,14.5109,17.7615,-4.9555,13.9246,-1.0277,16.5835,-3.2225,10.5499,-1.2005,10.5927,0.3735,9.1103,0.078685,5084.14,20.33,15.52,19.64,21.65,19.23,18.01,48.64,0.017066,1.3606,3.71,0.9643,0.4779,0.2427,0.2278,0.1979,0.3783,0.5206,0.2633,0.3358,0.2703,0.4324,0.2892,0.2599,0.0686,0.1368,-0.1211,0.0288,-0.0048,0.005,2.5187
0 ai nghĩ - wxrdie.mp3,2kt7udEZmN2kj1Jsl118zY,190.5,83.35,E:maj,0.142932,1944.38,-0.8146,10.2558,-9.1436,10.4065,-4.7837,9.8848,-14.1595,9.5974,-151.7183,107.7088,114.3328,43.8597,6.4291,39.4178,4.2425,19.8711,-10.2559,20.5601,-18.6409,17.2866,-10.1879,15.8121,-13.4966,13.7244,-10.4727,12.5858,0.084545,3767.46,24.35,16.8,18.37,20.01,19.95,21.92,46.65,0.015447,1.8012,4.08,0.9618,0.3144,0.4056,0.2409,0.3731,0.4587,0.2586,0.3104,0.2679,0.4439,0.2702,0.2862,0.4273,0.003,-0.2793,0.0316,0.1502,0.0172,-0.0404,1.3129
01 chuyện dở dang - ngọt.mp3,3vWCRttEOSRmXZs8jfAPSX,213.95,99.38,C#:min,0.153492,2066.91,5.5295,8.5249,1.7404,8.2571,1.2986,8.3364,-4.4034,7.8463,-107.7313,95.5259,91.0411,25.5409,-8.0738,20.3464,36.4624,16.7403,10.6602,12.0592,7.4697,12.5844,-0.5042,10.6498,7.9447,8.9663,-3.1439,9.4176,0.093681,4345.07,17.83,16.58,19.9,18.99,18.95,18.09,47.68,0.024081,1.2296,2.62,0.9559,0.3116,0.447,0.3237,0.3315,0.4583,0.3505,0.3784,0.2703,0.3589,0.4354,0.3225,0.35,0.1008,-0.0766,-0.1288,0.009,0.0089,0.0069,1.699
01 ngoại lệ - jack - j97.mp3,1EqPUY3R6WoMSog6Y0pmm6,183.91,92.29,G#:maj,0.202494,2668.81,7.0399,10.6647,2.8313,8.8825,-1.1006,8.4517,2.1107,8.1712,-73.8803,91.5792,72.5138,27.4957,2.5806,19.0801,25.1202,14.3129,3.5805,15.0383,7.5535,11.377,4.0685,10.2043,5.3105,9.9974,-2.4808,9.7582,0.10358,5808.79,21.21,16.95,20.1,19.38,19.11,18.63,47.87,0.024448,1.3866,4.17,0.966,0.3458,0.4367,0.3811,0.4906,0.2687,0.253,0.3083,0.3376,0.5202,0.3527,0.391,0.4026,-0.2048,-0.1142,-0.0062,0.0661,0.0086,-0.0214,3.326
04 thắp hương 05 hoá vàng - ngọt.mp3,6e7oHe23DEca4sEOgu5bPd,228.86,172.27,F#:min,0.187703,1747.95,1.5869,11.3182,-1.4747,8.8933,0.4805,10.1774,-3.3635,9.2775,-146.5307,100.3711,101.1308,34.8636,13.4689,22.443,24.9081,18.4663,6.9818,13.6857,11.6334,14.2168,0.6334,13.5459,4.1127,11.3325,-0.578,10.7043,0.054824,3883.84,21.41,16.71,20.45,20.15,19.36,17.68,47.08,0.016896,1.6576,4.0,0.9658,0.2757,0.3469,0.3032,0.3439,0.4376,0.4307,0.4944,0.3608,0.334,0.3323,0.2581,0.3524,0.0522,-0.1668,-0.0267,0.0032,0.0169,0.0181,2.4088
06 quen lắm - ngọt.mp3,24YjMHwrN1di1vXrpj4z3C,247.79,117.45,F#:min,0.213783,2162.51,5.8378,8.4838,0.0459,7.7332,4.4051,8.3447,-4.4461,7.4324,-66.1655,100.8527,92.1582,26.6853,-22.8639,22.9145,26.1396,18.5366,-1.6725,12.2457,3.5196,11.2781,1.9556,11.4977,9.8843,10.4102,2.0491,9.6637,0.101284,4368.29,21.5,16.17,19.52,19.03,18.72,19.23,47.42,0.016705,1.1622,3.43,0.9691,0.2638,0.3225,0.4297,0.3344,0.4103,0.3145,0.3927,0.2867,0.3033,0.4454,0.325,0.3606,0.1563,-0.0464,-0.0158,-0.0785,-0.0217,0.0012,2.1331
07 leo đèo - ngọt.mp3,1oTgxAlDRyPpwDD2tAx4VG,260.0,123.05,A:min,0.201558,2168.25,3.287,9.3785,-5.7326,9.2186,-1.7838,8.2808,-4.5871,8.3011,-114.6644,129.971,86.3784,32.8147,7.3727,20.6091,34.2147,16.4528,3.4445,12.5814,14.0259,11.5863,3.916,10.1812,7.9829,9.3052,-1.9793,8.8811,0.078142,4648.24,21.82,18.61,20.13,19.7,18.66,18.58,46.87,0.058194,1.143,2.63,0.9598,0.3578,0.2903,0.251,0.2664,0.4737,0.3318,0.2269,0.3396,0.3447,0.4959,0.3724,0.2748,0.2459,0.0669,-0.0708,0.132,0.0374,0.0313,3.4271
1 mũi tên trúng 2 con tim - miina.mp3,0kcbXWB5jS9b1KSinLWYp1,182.4,103.36,E:maj,0.165652,2450.27,-0.4974,11.8717,-12.9019,15.3259,-2.0503,13.765,-7.1257,12.3791,-122.2465,124.4746,80.4637,39.5396,-5.5205,28.8291,2.9411,21.3661,-12.7339,16.9182,-11.543,18.8753,-8.5839,15.4107,-9.6143,14.8991,-5.6038,12.8868,0.103737,5030.55,21.55,17.89,20.86,20.68,19.86,20.08,48.19,0.024914,1.7486,3.82,0.9687,0.2626,0.2392,0.2172,0.2936,0.3464,0.2525,0.3194,0.2747,0.3932,0.3166,0.2512,0.3462,0.0281,-0.1265,0.0176,0.0973,-0.0237,0.0082,1.8593
+1 ngày bên em - trungg i.u.mp3,0oQW0vIRkcL8gunHPGyIJL,217.14,123.05,F:maj,0.075842,1778.97,0.3515,11.5927,-3.0172,9.6322,-1.9052,9.5333,-6.5925,9.5079,-235.4981,120.6009,106.9935,34.7881,8.3741,21.9099,15.3948,17.7838,4.0109,11.1051,1.6023,10.4268,-6.6052,9.3407,-3.9924,10.3752,-4.2284,10.4331,0.07353,3700.38,18.85,18.35,21.76,20.87,20.72,20.5,49.63,0.008383,1.0155,2.67,0.9454,0.3561,0.183,0.2111,0.1448,0.3059,0.4837,0.2478,0.3438,0.2043,0.2923,0.2361,0.1912,0.0808,0.32,-0.1135,0.0666,-0.0025,-0.0111,3.7208
1 phút - andiez.mp3,79bSb2Ilugozn6VygdplEZ,375.99,136.0,C#:maj,0.312623,1345.03,-4.1431,11.8168,-11.6634,9.1799,-3.7058,9.8171,-7.1766,8.721,-103.4765,79.0081,134.6535,32.2927,10.1165,19.8767,27.098,13.3521,7.7048,12.1488,-11.5799,10.6432,-3.8414,11.7194,-3.1372,9.517,-15.445,9.4106,0.052467,2571.04,22.13,20.05,24.04,23.44,21.79,22.77,48.63,0.004839,1.1408,1.34,0.9511,0.2683,0.4199,0.2147,0.3331,0.174,0.2398,0.177,0.1787,0.34,0.1685,0.1736,0.108,-0.3912,-0.0476,-0.1257,0.0806,-0.0119,-0.007,6.0198
10 mất 1 còn không - lê gia bảo.mp3,4NksYk8JJnriSPy5eVj5MW,290.23,86.13,A#:min,0.184694,1574.49,4.6399,10.7916,-1.1391,9.6198,-1.8096,9.8302,-1.8873,8.5662,-139.165,112.4934,117.9275,34.9281,7.8111,21.406,25.9214,18.2702,10.3339,12.922,1.8458,11.6076,0.6332,11.4372,2.6487,9.98,-4.406,11.4187,0.060755,3235.78,20.48,17.97,21.22,20.43,21.22,21.1,45.81,0.008427,1.0539,2.47,0.9654,0.2179,0.3327,0.2719,0.3912,0.2962,0.4565,0.4457,0.2628,0.3026,0.2548,0.3731,0.2449,-0.2617,-0.0487,0.0109,-0.1619,0.0243,0.019,4.2769
10 ngàn năm - pc.mp3,2pm7K14nHj2fLrpU8j9bit,240.0,123.05,B:min,0.153054,1346.14,-3.573,12.277,-15.0615,11.6099,-6.0798,12.202,-11.8736,10.6835,-169.769,83.075,158.4801,43.7562,-1.9189,28.0533,3.4727,24.4167,-4.433,16.6088,-21.8571,15.6558,-15.4173,14.0186,-4.7369,14.1814,-14.6494,14.9434,0.070287,2421.79,21.67,15.62,20.54,22.93,19.51,22.13,47.97,0.006743,1.3705,3.78,0.9527,0.2334,0.2693,0.1821,0.2604,0.288,0.2339,0.4528,0.2861,0.2813,0.186,0.2954,0.3975,0.0478,-0.0214,0.0851,0.012,0.0114,-0.0051,2.5511
1000 ánh mắt - shiki.mp3,5XfGQZA0ioQAWUjlyJRcHc,152.0,143.55,G#:maj,0.210682,1727.87,9.7551,12.0594,-9.143,9.1937,-3.6026,9.0602,-6.1132,8.8305,-104.908,95.5226,120.2682,36.3017,-0.5638,23.9361,19.9746,17.0419,6.2186,13.6329,-6.1174,16.3424,0.9208,12.4062,-0.1558,13.1277,-12.6923,12.1789,0.068566,3491.3,24.45,18.38,21.73,20.89,18.7,20.9,47.27,0.008494,1.3399,2.53,0.9638,0.2159,0.3876,0.2442,0.4122,0.2656,0.3512,0.2257,0.2624,0.5225,0.2593,0.2278,0.1264,-0.3168,-0.0525,-0.0655,0.1279,-0.0092,-0.0305,3.1728
123 ngôi sao - minh đinh.mp3,6gpxCkfzKZvYrbaoakZHpb,190.77,117.45,A:min,0.160021,2523.67,-3.7334,12.2026,-5.844,9.907,-2.9511,10.4423,-8.0597,10.2584,-122.0378,110.9282,82.1966,36.4363,11.3989,25.4462,-0.0528,19.4343,-0.5213,16.7397,-3.0833,15.2009,-10.0857,14.6508,-5.3784,12.7608,-15.4681,14.2561,0.097204,5811.51,22.44,16.41,19.33,19.2,19.13,18.37,47.37,0.023449,1.5838,2.97,0.9578,0.383,0.3135,0.4009,0.3836,0.5131,0.3316,0.2758,0.2861,0.3637,0.4349,0.333,0.4262,0.1303,-0.0252,-0.0271,0.0679,-0.0155,0.0039,1.5387
1900 hồi đó. - jun phạm.mp3,3tpfnaMz1u8fM6dBu8YQXj,248.52,117.45,F:maj,0.094553,1678.4,3.2923,10.2858,-0.1008,9.8176,-7.2905,10.3439,-0.6215,10.5801,-188.0086,105.1621,118.7667,30.2833,7.8119,20.1682,23.2726,14.3959,4.4597,13.3658,-2.3547,11.1378,3.1163,12.1541,1.8046,10.8008,-7.9176,9.5604,0.063742,3538.2,21.83,17.44,20.7,20.05,19.37,19.99,46.98,0.009005,1.2847,3.23,0.9663,0.3502,0.2204,0.2446,0.1775,0.3347,0.4618,0.3378,0.4226,0.2752,0.3897,0.3385,0.236,0.0291,0.3031,-0.099,0.0141,-0.0028,-0.0232,2.965
1tinhyeu (feat. hustlang robber) - rap việt.mp3,3MlvHVRytWiXpSHEeZVF0I,220.74,80.75,F#:min,0.281573,2218.68,-0.5086,11.1411,-4.8948,12.3183,3.2842,11.7814,-0.7981,10.6494,-64.4775,88.2082,91.5469,33.61,2.0208,24.6433,12.4096,19.8683,6.0427,16.1836,10.9845,17.261,-0.3848,14.3041,-0.9689,13.7199,-1.7115,12.4893,0.084289,4886.96,20.99,16.6,20.58,19.81,20.78,19.56,48.61,0.014174,1.6864,3.91,0.9524,0.3492,0.423,0.337,0.2786,0.3206,0.2817,0.3765,0.2811,0.3366,0.4076,0.3374,0.4526,0.0889,-0.1359,-0.0476,-0.0865,-0.0095,0.0085,2.1512
2 4 - wn.mp3,6r5o9yIc16ZvymXUKJQ1yy,198.61,136.0,G:maj,0.206087,1571.73,-4.6791,11.0701,-12.8121,11.2333,-7.6706,10.6595,-6.5424,10.7428,-157.2515,93.2034,135.7931,49.2836,23.9406,37.0223,3.0643,19.8411,-3.2424,17.5415,-12.5083,15.5856,-10.3643,12.8388,-12.3991,14.919,-10.8399,11.1702,0.060585,3317.03,22.4,17.45,22.25,22.41,21.37,20.57,44.66,0.012079,1.5036,3.83,0.9686,0.3362,0.1581,0.2018,0.137,0.2185,0.1425,0.3045,0.468,0.2419,0.328,0.2242,0.4056,0.2829,0.0771,0.1106,0.0106,0.0224,0.0179,2.7682
2 5 - táo.mp3,4PfJ5TfA8niTcVbPGmkspN,302.0,107.67,C:maj,0.145656,1363.21,5.4155,12.8034,-7.3597,10.3674,-0.5945,10.0175,-7.2033,9.2424,-171.5121,81.2489,150.7655,42.6399,7.3955,32.5386,10.1615,17.9835,7.4471,14.1135,-10.7164,14.7587,-4.4266,12.8692,2.6668,12.88,-15.674,14.2472,0.054454,2741.12,22.07,16.99,20.86,19.31,20.31,21.34,47.86,0.004866,1.5561,3.45,0.954,0.3951,0.2554,0.3427,0.3039,0.4921,0.3665,0.2714,0.328,0.2249,0.277,0.2366,0.359,0.1865,0.0783,0.0293,0.0936,-0.0046,-0.0111,2.3941
2 giờ chiều - isaac.mp3,0fSy1B6IjJm1Njij3YesGH,232.26,152.0,F:min,0.322153,2619.68,9.9038,14.1591,-0.2419,12.7132,-0.3558,11.0771,-0.4855,11.1979,-66.2233,99.4598,75.9076,39.938,16.4141,35.1871,12.0286,22.2407,7.2806,21.2628,0.9071,18.5179,4.4939,17.1437,7.7321,15.3599,-8.4804,13.3555,0.088048,5894.04,20.73,15.36,18.79,18.09,17.83,18.67,47.57,0.022045,2.112,4.83,0.9635,0.4337,0.3238,0.3194,0.4016,0.4366,0.5619,0.4615,0.5146,0.533,0.4418,0.4035,0.3739,-0.0804,0.132,-0.1507,0.0363,-0.0623,-0.0181,2.0136
20 phút - (s)trong.mp3,6N9GzbUV7BMIL6luxnNfig,218.0,117.45,A#:min,0.238084,2785.57,2.8615,8.8917,-2.4251,7.9752,2.7116,8.4954,-3.5675,8.2407,-38.85,83.228,80.7508,34.9799,3.2601,22.6194,9.7122,16.248,3.6607,13.3416,9.6388,10.9776,3.5021,10.1026,6.9572,9.364,-3.8929,9.6773,0.114704,6142.9,22.17,16.22,17.5,16.79,16.91,16.93,48.21,0.03798,1.506,3.33,0.9639,0.4975,0.5021,0.3581,0.4162,0.3755,0.4917,0.4101,0.393,0.4464,0.4029,0.5844,0.3918,-0.1604,0.0167,-0.0407,-0.0838,0.0148,0.0168,1.9925
2000 câu hỏi vì sao - amee.mp3,3rxbssNItXaXyqc0wJUsYC,216.5,123.05,E:maj,0.21384,1684.89,-4.5329,13.4471,-9.8182,12.816,0.8516,10.4334,-5.7405,11.2131,-149.1501,103.4572,114.3927,38.2887,10.9604,34.2315,11.4395,26.8144,-6.8061,18.1284,1.7549,21.6699,-4.2203,17.9881,-10.3072,17.6316,-2.9806,16.131,0.065687,3430.16,23.1,18.08,21.66,21.09,20.94,20.05,47.36,0.007238,1.6137,3.9,0.9549,0.2651,0.2137,0.196,0.415,0.4818,0.2304,0.2345,0.2301,0.4876,0.33,0.2511,0.4274,0.0566,-0.1618,0.0408,0.1827,-0.0072,0.0075,2.2527
2014 - ronboogz.mp3,5juq95pMEYdSzCXKYR5J69,214.46,92.29,E:maj,0.123595,1693.79,-0.5391,13.4482,-6.7269,11.8663,-3.6231,10.227,-7.7767,8.5579,-199.1412,120.1031,108.9818,46.0574,12.9193,26.4935,1.0001,19.4089,-6.1066,17.0923,7.9856,13.5112,-17.5845,14.3933,-11.5474,11.4852,-10.0137,13.9526,0.06802,3460.93,27.08,17.9,22.23,21.78,25.04,19.93,45.18,0.025813,1.5863,3.77,0.9272,0.1973,0.1913,0.142,0.2773,0.3924,0.2485,0.3641,0.2358,0.3917,0.32,0.2989,0.433,0.1182,-0.3036,0.0008,0.1006,0.0077,0.0107,2.0473
2025 - richie d. icy.mp3,3H0crn1dmj1leEzTCws5SW,189.94,143.55,E:min,0.228878,2621.03,6.5424,12.1691,-1.381,11.6083,5.2277,10.9397,-2.5738,11.1776,-69.3753,87.7457,74.36,37.0949,-0.4444,26.2866,15.4501,19.0872,2.0401,21.3675,2.4945,16.1386,4.6327,15.0805,4.0501,13.2352,-2.4116,11.903,0.100164,5620.42,22.67,14.69,17.7,17.64,18.16,20.03,46.09,0.039653,1.7537,4.46,0.9698,0.4748,0.3804,0.383,0.4343,0.5622,0.4831,0.5144,0.4457,0.4461,0.4931,0.4591,0.5903,0.0745,-0.0221,-0.0228,0.0903,-0.0178,-0.0184,2.566
24h - lyly.mp3,4inMQ83GNpQ2OHDredH5hW,257.0,117.45,D#:maj,0.20604,1724.07,2.7297,13.4659,-10.5158,10.9081,0.3982,11.7464,-6.8816,10.1529,-140.7612,111.8322,114.8831,37.5967,18.4477,23.6644,17.4065,16.7025,3.8116,14.1592,4.2412,13.6848,-1.0211,12.9478,-4.346,13.5916,-7.7806,12.7027,0.055412,3750.25,25.08,17.57,22.22,21.02,20.24,20.38,49.44,0.008739,1.4085,3.28,0.9528,0.33,0.2578,0.3694,0.4908,0.3292,0.3844,0.2606,0.3282,0.2849,0.3096,0.4413,0.3121,-0.1408,0.1914,0.1059,-0.0206,-0.027,0.029,3.3227
258 - pc.mp3,5phC3U5ofvJzPZMaJbCl7M,231.53,86.13,G:min,0.242541,1449.88,11.1173,16.1771,-2.709,8.2778,7.3746,11.1928,-2.0546,8.4578,-113.2513,89.8195,130.4494,31.8599,18.1035,23.1146,21.571,17.0371,10.4497,13.3014,3.9939,11.8873,-0.0225,12.5624,6.171,10.2442,-7.4929,10.4966,0.043858,3087.45,23.26,16.34,20.78,19.88,19.86,20.69,49.98,0.002971,1.5003,4.21,0.9687,0.5372,0.2829,0.2836,0.194,0.2938,0.3352,0.2994,0.4998,0.4053,0.48,0.3823,0.3654,0.1518,0.2674,0.0043,-0.0501,0.0934,0.0002,3.2145
29 - wxrdie.mp3,5AsZiMkbxLlR68WM3HHKWZ,158.15,172.27,F:min,0.2677,2362.74,10.42,11.3864,-3.5111,12.0204,8.0531,10.9563,2.0739,9.964,-66.71,87.4508,100.3618,48.8452,9.9801,33.8283,11.1421,22.7822,2.5892,20.8297,-3.8065,16.8805,1.2887,15.5396,5.8015,13.6163,-7.6869,14.6657,0.08509,5118.55,23.6,15.68,19.48,18.77,18.47,19.59,47.97,0.019542,2.2517,5.27,0.9685,0.4914,0.3984,0.2734,0.2521,0.3161,0.5635,0.4375,0.4191,0.3604,0.3248,0.3951,0.3908,-0.0985,0.1721,-0.2493,0.08,-0.079,-0.0412,2.2144
2am - justatee.mp3,3DLtPObflLQBodZN8qGODT,258.28,129.2,D#:maj,0.180898,2089.29,-1.9951,13.3501,-7.0804,13.7046,-0.1648,10.8421,-7.6296,10.2287,-110.6463,105.1083,102.3288,37.6087,-7.4093,22.3761,13.2377,19.136,-8.7476,16.408,-1.6822,13.5264,-6.5279,14.1418,-4.7286,11.899,-9.635,13.2505,0.092052,4324.01,22.64,17.56,21.46,20.94,19.26,19.32,47.63,0.014673,1.3698,1.66,0.9739,0.2748,0.1749,0.3113,0.454,0.2663,0.4211,0.238,0.3237,0.1805,0.2468,0.5384,0.2363,-0.1878,0.2315,0.0817,-0.0317,0.0225,0.0101,2.3329
2goilays - teuyungboy.mp3,4TQ0Jgrhe4V9MMqjKViub5,260.25,152.0,C#:min,0.204089,2200.13,5.4272,12.4399,2.1665,11.2226,14.8079,11.7872,0.7882,10.06,-138.9595,90.4661,95.249,36.4665,16.3645,29.1521,5.6255,21.3548,6.0187,18.2547,4.0081,16.1758,3.4245,13.6317,4.565,13.6778,-2.4331,13.231,0.062603,4981.03,21.52,13.9,16.94,17.21,17.75,17.97,47.68,0.019586,1.9512,4.54,0.9653,0.5192,0.5545,0.504,0.6145,0.6186,0.5361,0.5655,0.4874,0.5518,0.4934,0.4647,0.5074,-0.1076,-0.1934,-0.251,-0.0339,0.062,-0.0675,3.4956
3 bích - pháp kiều.mp3,3yrqazrdlrmvti4dn9ftic,228.17,143.55,C#:maj,0.271124,2018.28,4.8244,11.6506,2.565,9.5878,3.6328,9.7332,3.3912,9.3565,-72.6734,104.2651,99.485,36.2662,4.3614,29.105,21.8307,19.9085,3.1216,17.6607,4.5773,14.7529,5.921,13.5551,-0.1588,14.3573,3.9165,13.0244,0.065343,4302.68,20.05,16.08,18.49,18.33,18.56,18.89,45.88,0.012784,1.6675,3.66,0.9678,0.3923,0.5209,0.3836,0.4617,0.4957,0.3809,0.3746,0.3645,0.4607,0.4172,0.3967,0.3981,-0.0746,-0.1453,-0.1192,0.0029,0.0323,0.0071,2.3249
3 chìm 7 nổi - anh trai say hi.mp3,3UQouvdHGIq4CZokiahPYv,245.28,136.0,G:min,0.164415,2664.44,9.2678,10.1676,-0.0727,9.2818,6.0244,9.5629,0.0912,8.1926,-100.469,101.1226,73.9282,32.7541,-4.6047,22.9191,12.3918,16.6416,6.298,13.8391,8.5865,12.0738,3.2521,12.0791,9.0335,10.9747,-0.6282,9.8618,0.103149,5803.11,21.11,15.49,18.85,18.01,18.25,18.02,48.36,0.030418,1.3851,3.22,0.965,0.5226,0.3598,0.415,0.3685,0.3161,0.3952,0.3622,0.536,0.3836,0.3911,0.402,0.41,0.0,0.1286,0.0524,0.0345,-0.0047,0.0028,2.8763
3 nhịp tim - minh huy.mp3,6NBoKEfIDYhQp5ihq0yK67,215.22,92.29,D#:maj,0.153639,1814.66,-1.8428,10.6322,-7.6482,11.2722,-0.4191,10.3469,-7.6202,10.3814,-165.3249,111.4816,99.7149,41.4631,-0.4511,26.4322,24.6079,20.1299,7.7158,15.9593,-4.0182,17.6949,-0.8635,14.1605,-2.2624,13.4407,-3.5758,12.0432,0.0747,3778.76,21.69,16.99,19.83,18.98,18.57,20.61,45.8,0.0274,1.8945,4.04,0.9687,0.3446,0.2996,0.3843,0.4984,0.3495,0.4042,0.3352,0.4519,0.3568,0.3265,0.405,0.2989,-0.105,0.1297,0.1008,-0.0262,0.0121,0.0081,1.1655
3107 3 - wn.mp3,1EmMFSLRVkOszCa4ul9z0F,240.0,68.0,G:maj,0.137018,1515.33,-6.1636,10.6371,-13.3337,11.6557,-4.9227,10.3009,-9.7994,14.3203,-208.0545,98.991,122.3393,40.8855,20.1535,25.0741,10.8304,17.2472,0.2211,15.0536,-9.854,16.9757,-8.3921,13.3203,-13.6632,18.1704,-8.6086,11.3423,0.058335,2899.75,26.52,17.86,22.26,21.16,19.2,20.21,47.22,0.007651,1.2437,2.92,0.9435,0.4024,0.2095,0.2668,0.1755,0.2976,0.3062,0.2293,0.4184,0.2287,0.2343,0.1898,0.2933,0.1797,0.1933,0.0421,0.0827,0.0036,-0.01,3.5892
4 seasons - puppy.mp3,0A0VJ0baqBhaV8sUQMHn45,193.22,117.45,A#:maj,0.195592,2331.88,-0.0302,10.3541,-6.4172,10.0431,-0.5308,8.2628,-5.8903,8.6329,-72.0095,92.1369,91.4306,32.8988,10.0675,21.0794,18.7704,15.9018,3.6458,12.1923,2.1026,14.0905,1.3976,10.4276,-0.3119,12.2378,-2.728,11.2256,0.090647,5298.75,22.65,16.62,20.28,19.47,18.04,18.07,46.68,0.033941,1.3658,4.11,0.9661,0.3531,0.2566,0.3631,0.3818,0.2914,0.4438,0.2948,0.4311,0.2876,0.2603,0.3818,0.2622,-0.0889,0.1926,0.0275,-0.0208,0.0008,-0.0214,1.9624
40 độ - wxrdie.mp3,2ovdRoyydcBuggCaVdz6Mn,171.08,99.38,G:maj,0.2557,1982.39,12.0751,12.985,-2.9163,10.2818,7.4911,10.1981,1.7037,10.3131,-116.0157,107.0124,111.5823,49.9736,15.2043,38.9131,12.1751,26.1315,0.5165,19.635,3.0036,18.6218,14.6611,17.5783,7.0678,13.5216,-7.3408,13.005,0.067994,4163.71,23.61,15.69,18.49,18.63,19.05,20.54,47.4,0.017125,2.0679,4.71,0.9726,0.425,0.4331,0.3682,0.3516,0.3917,0.4173,0.5203,0.472,0.4882,0.5064,0.4922,0.5541,0.077,-0.0637,0.1655,-0.0883,0.0209,-0.0012,2.3263
60 năm cuộc đời - miu lê.mp3,3g26gTFB1RNrIZOdMAruLJ,160.57,143.55,G:maj,0.180221,2353.53,1.6449,7.5991,-3.9878,7.1399,4.5378,7.0789,-0.1449,6.9119,-81.7848,93.9573,88.7114,31.0821,-2.4244,19.8488,22.9514,13.9464,-0.8764,10.7261,2.7674,10.767,3.1334,8.6204,4.5042,8.9957,-0.4703,8.8001,0.106851,4920.27,18.22,14.92,17.97,19.53,17.94,18.18,47.72,0.021909,1.3968,2.79,0.9594,0.2923,0.3177,0.4588,0.3049,0.2921,0.2849,0.341,0.4814,0.3776,0.3254,0.2878,0.3533,0.1124,0.0706,0.0951,-0.0396,0.0085,-0.0264,2.0636
"7 lần vấp ngã, 8 lần đứng lên - miina.mp3",4tEPSQEDcZR8vAxKgfmiwz,218.21,83.35,G#:maj,0.177736,2034.41,5.7822,13.6094,-10.2613,12.6114,0.8426,11.0394,0.3002,10.7801,-145.6202,115.7883,99.655,34.0328,15.3202,18.7358,9.2039,18.09,5.5593,13.4859,-1.3036,15.257,0.4576,12.9929,-7.8547,13.7221,-5.9699,11.4049,0.070081,4547.57,21.73,18.4,22.09,21.47,20.65,19.59,47.75,0.012596,1.3526,3.49,0.9657,0.35,0.289,0.2248,0.317,0.2333,0.2794,0.2161,0.3821,0.3954,0.2461,0.2968,0.2297,-0.2066,0.1322,0.013,0.1484,0.0045,-0.0172,2.7493
808 dollar bills - low g.mp3,1Pkh3r9oPKy34C1JteOrHK,199.27,103.36,G#:min,0.066338,2155.23,3.7107,11.3097,-4.7814,9.5987,-0.8325,11.4299,-3.7024,10.7229,-217.666,105.0654,100.6409,41.3422,14.699,20.8041,17.7456,17.5653,7.8707,16.9156,-3.5694,14.5211,-1.4216,12.0405,1.342,11.8886,-9.5957,11.3479,0.085944,4463.96,22.58,15.86,19.04,19.62,18.24,17.56,47.13,0.021184,1.5685,3.61,0.9403,0.3259,0.3885,0.3323,0.4346,0.3602,0.294,0.3498,0.3395,0.5056,0.4214,0.3987,0.3989,-0.053,-0.162,-0.0253,0.0091,-0.0036,-0.0089,1.8735
9 tầng mây - miina.mp3,3XSW8oRNwe4G5ZlFQkfaXV,174.75,95.7,E:maj,0.169114,2645.59,8.1746,12.3913,-12.0073,12.5802,2.6048,10.3582,-5.6623,11.2167,-95.0923,78.1248,80.8012,29.764,6.4632,21.4715,8.8659,15.9088,1.2716,12.8549,-4.1028,15.2162,-0.0624,12.6374,-2.3214,12.6546,-5.2185,10.6728,0.102201,5960.66,24.62,17.82,20.76,20.72,20.05,21.08,49.04,0.024569,1.5667,3.93,0.9773,0.2741,0.2927,0.2304,0.3531,0.437,0.2315,0.265,0.2026,0.3848,0.3225,0.2705,0.3904,0.0791,-0.2567,-0.0216,0.1624,-0.0224,-0.0076,2.3591
