Date,Rank,Title,Artist,Featured_Artists,Source,Duration,URL,Total_Likes,Total_Plays,chart_date
2025-10-31,25.0,ĐA NGHI,ANH TRAI SAY HI,"Negav, Hải Nam, CODYNAMVO, Dillan Hoàng Phan",ZINGMP3,04:18,https://zingmp3.vn/bai-hat/DA-NGHI-ANH-TRAI-SAY-HI-Negav-Hai-Nam-CODYNAMVO-Dillan-Hoang-Phan/Z89CZ8IO.html,13000.0,692000.0,2025-12-09
2025-10-31,26.0,In Love,Low G,JustaTee,ZINGMP3,03:21,https://zingmp3.vn/bai-hat/In-Love-Low-G-JustaTee/Z89EBCDW.html,5000.0,383000.0,2025-12-09
2025-10-31,27.0,Hoa Bất Tử,Thành Đạt,,ZINGMP3,04:51,https://zingmp3.vn/bai-hat/Hoa-Bat-Tu-Thanh-Dat/Z8UUZDZ8.html,236000.0,17200000.0,2025-12-09
2025-10-31,28.0,Say Một Đời Vì Em,Nguyên Vũ,,ZINGMP3,04:22,https://zingmp3.vn/bai-hat/Say-Mot-Doi-Vi-Em-Nguyen-Vu/Z89UDD8F.html,42000.0,1600000.0,2025-12-09
2025-10-31,29.0,DẪU CÓ ĐẾN ĐÂU,ANH TRAI SAY HI,"CONGB, VƯƠNG BÌNH, Lohan, Nhâm Phương Nam",ZINGMP3,04:02,https://zingmp3.vn/bai-hat/DAU-CO-DEN-DAU-ANH-TRAI-SAY-HI-CONGB-VUONG-BINH-Lohan-Nham-Phuong-Nam/Z89CZ8II.html,10000.0,879000.0,2025-12-09
2025-10-31,30.0,Người Đầu Tiên,Juky San,buitruonglinh,ZINGMP3,03:36,https://zingmp3.vn/bai-hat/Nguoi-Dau-Tien-Juky-San-buitruonglinh/Z8AOOBCA.html,7000.0,224000.0,2025-12-09
2025-10-31,31.0,ĐOẠN KỊCH CÂM,ANH TRAI SAY HI,"CONGB, Negav, B Ray, CODYNAMVO, Phạm Đình Thái Ngân",ZINGMP3,04:02,https://zingmp3.vn/bai-hat/DOAN-KICH-CAM-ANH-TRAI-SAY-HI-CONGB-Negav-B-Ray-CODYNAMVO-Pham-Dinh-Thai-Ngan-My-My/Z8AZU6ID.html,4000.0,119000.0,2025-12-09
2025-10-31,32.0,Không Thời Gian,Dương Domic,,ZINGMP3,03:38,https://zingmp3.vn/bai-hat/Khong-Thoi-Gian-Duong-Domic/Z890F6ZE.html,39000.0,1900000.0,2025-12-09
2025-10-31,34.0,Lệ Ngang Trời,Hồ Nhi,A Tuân,ZINGMP3,05:29,https://zingmp3.vn/bai-hat/Le-Ngang-Troi-Ho-Nhi-A-Tuan/Z86DB6FC.html,117000.0,4099999.0,2025-12-09
2025-10-31,35.0,Muốn Cua Anh Làm Bồ,Dương Ái Vy,HTM,ZINGMP3,02:34,https://zingmp3.vn/bai-hat/Muon-Cua-Anh-Lam-Bo-Duong-Ai-Vy-HTM/Z8709ADD.html,155000.0,6700000.0,2025-12-09
2025-10-31,36.0,MAKE UP,ANH TRAI SAY HI,"Dillan Hoàng Phan, buitruonglinh, Đỗ Nam Sơn, Lohan, Ryn Lee",ZINGMP3,04:18,https://zingmp3.vn/bai-hat/MAKE-UP-ANH-TRAI-SAY-HI-Dillan-Hoang-Phan-buitruonglinh-Do-Nam-Son-Lohan-Ryn-Lee-Bao-Thy/Z8AZU6IF.html,2000.0,59000.0,2025-12-09
2025-10-31,37.0,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),Nguyễn Hùng,,ZINGMP3,04:42,https://zingmp3.vn/bai-hat/Con-Gi-Dep-Hon-Mua-Do-Original-Soundtrack-Nguyen-Hung/Z8796CZO.html,122000.0,7000000.0,2025-12-09
2025-10-31,38.0,Mảnh Tình Sai Đôi,Thành Đạt,,ZINGMP3,04:33,https://zingmp3.vn/bai-hat/Manh-Tinh-Sai-Doi-Thanh-Dat/Z89AEIEE.html,11000.0,469000.0,2025-12-09
2025-10-31,39.0,Vừa Lòng Nhau Chưa,Thành Đạt,"DICKSON, Lê Chí Trung",ZINGMP3,04:47,https://zingmp3.vn/bai-hat/Vua-Long-Nhau-Chua-Thanh-Dat-DICKSON-Le-Chi-Trung/Z8776A7D.html,33000.0,2400000.0,2025-12-09
2025-10-31,40.0,Sự Ưu Tiên Của Em,Lê Gia Bảo,,ZINGMP3,04:57,https://zingmp3.vn/bai-hat/Su-Uu-Tien-Cua-Em-Le-Gia-Bao/Z8O8B7BF.html,231000.0,15100000.0,2025-12-09
2025-10-31,41.0,Kết Thúc Và Chia Tay,Nguyễn Kiều Oanh,,ZINGMP3,04:57,https://zingmp3.vn/bai-hat/Ket-Thuc-Va-Chia-Tay-Nguyen-Kieu-Oanh/Z8AIW9CO.html,2000.0,87000.0,2025-12-09
2025-10-31,42.0,Cưới Chính,Nal,CT,ZINGMP3,04:04,https://zingmp3.vn/bai-hat/Cuoi-Chinh-Nal-CT/Z88EODCD.html,33000.0,906000.0,2025-12-09
2025-10-31,43.0,Chẳng Thể Cảm Hóa,Lương Quý Tuấn,An Clock,ZINGMP3,05:03,https://zingmp3.vn/bai-hat/Chang-The-Cam-Hoa-Luong-Quy-Tuan-An-Clock/Z8ZI8BAB.html,148000.0,5300000.0,2025-12-09
2025-10-31,44.0,ẢO ẢNH,ANH TRAI SAY HI,"Vũ Cát Tường, Gill, Ryn Lee",ZINGMP3,04:22,https://zingmp3.vn/bai-hat/AO-ANH-ANH-TRAI-SAY-HI-Vu-Cat-Tuong-Gill-Ryn-Lee/Z89F9E07.html,7000.0,363000.0,2025-12-09
2025-10-31,45.0,Nắng Ấm Trong Tim,Duongg,Dadeon,ZINGMP3,04:08,https://zingmp3.vn/bai-hat/Nang-Am-Trong-Tim-Duongg-Dadeon/Z886I7IU.html,10000.0,277000.0,2025-12-09
2025-10-31,46.0,Đừng Đóng Vai Nạn Nhân,Wendy Thảo,V2T Media,ZINGMP3,05:49,https://zingmp3.vn/bai-hat/Dung-Dong-Vai-Nan-Nhan-Thao-Wendy-V2T-Media/Z89A0IE8.html,17000.0,509000.0,2025-12-09
2025-10-31,47.0,Mảnh Tình Sai Đôi,Quang Hà,,ZINGMP3,04:37,https://zingmp3.vn/bai-hat/Manh-Tinh-Sai-Doi-Quang-Ha/Z88C6FWW.html,25000.0,1400000.0,2025-12-09
2025-10-31,48.0,CỨ ĐỔ TẠI CƠN MƯA,EM XINH SAY HI,"Phương Ly, Orange, Châu Bùi, 52Hz, Vũ Thảo My",ZINGMP3,04:15,https://zingmp3.vn/bai-hat/CU-DO-TAI-CON-MUA-EM-XINH-SAY-HI-Phuong-Ly-Orange-Chau-Bui-52Hz/Z87EBIEC.html,30000.0,3200000.0,2025-12-09
2025-10-31,49.0,Phong Sương Tửu (Ca Si Thiên Đình),THIÊN ĐÌNH,,ZINGMP3,03:43,https://zingmp3.vn/bai-hat/Phong-Suong-Tuu-Ca-Si-Thien-Dinh-THIEN-DINH/Z8AIWBI9.html,5000.0,300000.0,2025-12-09
2025-10-31,50.0,Trái Tim Không Có Tội,Châu Khải Phong,,ZINGMP3,05:33,https://zingmp3.vn/bai-hat/Trai-Tim-Khong-Co-Toi-Chau-Khai-Phong/Z88DZW6U.html,29000.0,1600000.0,2025-12-09
2025-10-31,51.0,ẾCH NGOÀI ĐÁY GIẾNG,EM XINH SAY HI,Phương Mỹ Chi,ZINGMP3,03:53,https://zingmp3.vn/bai-hat/ECH-NGOAI-DAY-GIENG-EM-XINH-SAY-HI-Phuong-My-Chi/Z88IAO9D.html,78000.0,4000000.0,2025-12-09
2025-10-31,52.0,HƠN LÀ BẠN,ANH TRAI SAY HI,"Ngô Kiến Huy, Vũ Cát Tường, Karik, VƯƠNG BÌNH, Sơn.K",ZINGMP3,03:48,https://zingmp3.vn/bai-hat/HON-LA-BAN-ANH-TRAI-SAY-HI-Ngo-Kien-Huy-Vu-Cat-Tuong-Karik-VUONG-BINH-Son-K-MIN/Z8AZU6W0.html,4000.0,102000.0,2025-12-09
2025-10-31,53.0,Bắt Con Bướm Vàng,DanhKa,,ZINGMP3,03:45,https://zingmp3.vn/bai-hat/Bat-Con-Buom-Vang-DanhKa/Z87AU6ED.html,33000.0,1500000.0,2025-12-09
2025-10-31,54.0,Có Mình Và Ta,Nguyễn Vĩ,,ZINGMP3,04:18,https://zingmp3.vn/bai-hat/Co-Minh-Va-Ta-Nguyen-Vi/Z88EZDW6.html,19000.0,755000.0,2025-12-09
2025-10-31,55.0,Ngàn Năm Ánh Sáng,Đặng Vĩnh Thịnh,BMZ,ZINGMP3,03:34,https://zingmp3.vn/bai-hat/Ngan-Nam-Anh-Sang-Dang-Vinh-Thinh-BMZ/Z87997D8.html,38000.0,2400000.0,2025-12-09
2025-10-31,57.0,Kho Báu,STRONG,,ZINGMP3,03:17,https://zingmp3.vn/bai-hat/Kho-Bau-S-TRONG/Z87IZ08U.html,62000.0,6200000.0,2025-12-09
2025-10-31,58.0,HERMOSA,ANH TRAI SAY HI,"Sơn.K, buitruonglinh, Tez, Mason Nguyen, CONGB",ZINGMP3,04:06,https://zingmp3.vn/bai-hat/HERMOSA-ANH-TRAI-SAY-HI-Son-K-buitruonglinh-Tez-Mason-Nguyen-CONGB/Z89ZDF69.html,17000.0,1100000.0,2025-12-09
2025-10-31,59.0,Kẻ Say Tình,Quốc Thiên,,ZINGMP3,05:08,https://zingmp3.vn/bai-hat/Ke-Say-Tinh-Quoc-Thien/Z87AA6ZA.html,22000.0,2400000.0,2025-12-09
2025-10-31,60.0,KHÔNG ĐAU NỮA RỒI,EM XINH SAY HI,"Orange, Mỹ Mỹ, 52Hz, Châu Bùi, Pháp Kiều",ZINGMP3,04:51,https://zingmp3.vn/bai-hat/KHONG-DAU-NUA-ROI-EM-XINH-SAY-HI-Orange-My-My-52Hz-Chau-Bui/Z869676I.html,86000.0,7100000.0,2025-12-09
2025-10-31,61.0,Em Không Cần,Hannie,,ZINGMP3,04:10,https://zingmp3.vn/bai-hat/Em-Khong-Can-Hannie/Z89A0IZE.html,6000.0,278000.0,2025-12-09
2025-10-31,62.0,Cơ Hội Cuối,An Vũ,,ZINGMP3,04:40,https://zingmp3.vn/bai-hat/Co-Hoi-Cuoi-An-Vu/Z8U96AD8.html,184000.0,11000000.0,2025-12-09
2025-10-31,63.0,Hoa,Chung Thanh Duy,,ZINGMP3,03:30,https://zingmp3.vn/bai-hat/Hoa-Chung-Thanh-Duy/Z86AC6D8.html,45000.0,3000000.0,2025-12-09
2025-10-31,64.0,TIẾC CHO EM,RHYDER,,ZINGMP3,04:16,https://zingmp3.vn/bai-hat/TIEC-CHO-EM-RHYDER/Z89D0FCI.html,7000.0,453000.0,2025-12-09
2025-10-31,65.0,Chẳng Nợ Ai Ngoài Em,Lê Gia Bảo,,ZINGMP3,04:56,https://zingmp3.vn/bai-hat/Chang-No-Ai-Ngoai-Em-Le-Gia-Bao/Z89OZOZI.html,15000.0,745000.0,2025-12-09
2025-10-31,66.0,Thấu Tình,Trung Hiếu,,ZINGMP3,05:06,https://zingmp3.vn/bai-hat/Thau-Tinh-Trung-Hieu/Z897F0UZ.html,9000.0,293000.0,2025-12-09
2025-10-31,67.0,Đừng Bất Công Với Em Mà,Inso,ViAM,ZINGMP3,04:06,https://zingmp3.vn/bai-hat/Dung-Bat-Cong-Voi-Em-Ma-Inso-ViAM/Z87I90A0.html,33000.0,2200000.0,2025-12-09
2025-10-31,68.0,Anh Thua Người Ta Nhiều Lắm,NB3 Hoài Bảo,CT,ZINGMP3,05:02,https://zingmp3.vn/bai-hat/Anh-Thua-Nguoi-Ta-Nhieu-Lam-NB3-Hoai-Bao-CT/Z88W9WWF.html,38000.0,1500000.0,2025-12-09
2025-10-31,69.0,NGƯỜI YÊU CHƯA SINH RA,ANH TRAI SAY HI,"OgeNus, BigDaddy, Phúc Du, HUSTLANG Robber, Dillan Hoàng Phan",ZINGMP3,03:54,https://zingmp3.vn/bai-hat/NGUOI-YEU-CHUA-SINH-RA-ANH-TRAI-SAY-HI-OgeNus-BigDaddy-Phuc-Du-HUSTLANG-Robber-Dillan-Hoang-Phan/Z89ZDF68.html,14000.0,813000.0,2025-12-09
2025-10-31,70.0,Sau Ngần Ấy Năm,Hà Nhi,,ZINGMP3,04:40,https://zingmp3.vn/bai-hat/Sau-Ngan-Ay-Nam-Ha-Nhi/Z8Z9UE6A.html,76000.0,6500000.0,2025-12-09
