match_key,spotify_track_id,spotify_release_date,spotify_genres,spotify_popularity,best_peak_rank,total_platforms,total_appearances,Total_Streams,Total_Plays,score_rank,score_sustain,score_platform,score_historical,Base_Score,label
thangdien||justatee,,,,,40.0,1,4,34775280.0,,1,0,0,3,4,1
em||binz,,,,,2.0,3,31,1813158.0,,3,1,0,0,4,1
sauconmua||coolkid,,,,,46.0,1,1,51183599.0,,1,0,0,3,4,1
10ngannam||pc,,,,,43.0,1,6,33068398.0,,1,0,0,3,4,1
bandoi||karik,,,,,45.0,1,10,34358079.0,,1,0,0,3,4,1
nhannhu||ronboogz,,,,,33.0,1,4,36948689.0,,1,0,0,3,4,1
2am||justatee,,,,,39.0,1,3,35692767.0,,1,0,0,3,4,1
duaemvenhaa||greyd,,,,,29.0,1,9,36489800.0,,1,0,0,3,4,1
coem||madihu,,,,,26.0,1,7,42572194.0,,1,0,0,3,4,1
nhungloihuaboquen||vu,,,,,31.0,1,10,41009967.0,,1,0,0,3,4,1
id072019||wn,,,,,39.0,1,4,45322790.0,,1,0,0,3,4,1
lalung||vu,,,,,49.0,1,1,40599038.0,,1,0,0,3,4,1
thucgiac||dalab,,,,,39.0,1,5,44290253.0,,1,0,0,3,4,1
emcuoiroia||thanhhung,,,,,inf,0,0,,14900000.0,0,0,0,3,3,0
moiem||dangrangto,,,,,inf,0,0,15181783.0,,0,0,0,3,3,0
leduong||kaidinh,,,,,inf,0,0,15139606.0,,0,0,0,3,3,0
candonguotmi||deetran,,,,,7.0,1,7,,59000.0,3,0,0,0,3,0
chungtacuahientai||sontungmtp,,,,,inf,0,0,58446788.0,,0,0,0,3,3,0
khobaurockver||strong,,,,,6.0,1,1,,,3,0,0,0,3,0
doi||52hz,,,,,inf,0,0,15456357.0,,0,0,0,3,3,0
cohoicuoi||anvu,,,,,inf,0,0,,11500000.0,0,0,0,3,3,0
tinhyeubatdiet||hoviettrung,,,,,inf,0,0,,8600000.0,0,0,0,3,3,0
hengapemduoianhtrang||manbo,,,,,inf,0,0,29566028.0,,0,0,0,3,3,0
tinhyeuchamtre||monstar,,,,,inf,0,0,29303961.0,,0,0,0,3,3,0
hukhong||kha,,,,,inf,0,0,26241217.0,,0,0,0,3,3,0
chotoilangthang||ngot,,,,,inf,0,0,23265159.0,,0,0,0,3,3,0
khiemlon||orange,,,,,inf,0,0,24984814.0,,0,0,0,3,3,0
duongtoichoemve||buitruonglinh,,,,,inf,0,0,19010832.0,,0,0,0,3,3,0
daloyeuemnhieu||justatee,,,,,inf,0,0,15962169.0,,0,0,0,3,3,0
danhdoi||obito,,,,,inf,0,0,17580986.0,,0,0,0,3,3,0
chantinh||lyhan,,,,,7.0,1,1,,46000.0,3,0,0,0,3,0
ngaymaiemdi||lehieu,,,,,inf,0,0,15857549.0,,0,0,0,3,3,0
hienthucphuphang||phungkhanhlinh,,,,,10.0,1,9,,,3,0,0,0,3,0
quamuon||min,,,,,6.0,1,9,,,3,0,0,0,3,0
chedoimlang||min,,,,,9.0,1,9,,,3,0,0,0,3,0
laaicotoi||legiabao,,,,,1.0,1,2,,,3,0,0,0,3,0
anhtranggiadoi||quocthien,,,,,7.0,1,1,,,3,0,0,0,3,0
emthuacota||minquynhanh,,,,,1.0,1,17,,3300000.0,3,0,0,0,3,0
khobauwithrhymastic||strong,,,,,6.0,2,23,,5700000.0,3,0,0,0,3,0
anhlathangtoi||phungkhanhlinh,,,,,5.0,3,21,1153671.0,,3,0,0,0,3,0
myvicuocdoi||trungquan,,,,,3.0,1,17,,276000.0,3,0,0,0,3,0
emdau||phungkhanhlinh,,,,,7.0,2,10,,316000.0,3,0,0,0,3,0
canhbachonnhan||lalatran,,,,,5.0,1,17,,535000.0,3,0,0,0,3,0
thiephongsaiten||nguyenthanhdat,,,,,4.0,2,19,,581000.0,3,0,0,0,3,0
xinloividaxuathien||thanhhung,,,,,9.0,1,17,,439000.0,3,0,0,0,3,0
nangamtrongtim||duongg,,,,,18.0,3,32,726950.0,,2,1,0,0,3,0
emkhongcan||hannie,,,,,1.0,2,15,708993.0,,3,0,0,0,3,0
tudungthanhnguoila||quocthien,,,,,6.0,1,17,,805000.0,3,0,0,0,3,0
thamphuphuban||nguyenvi,,,,,inf,0,0,,14600000.0,0,0,0,3,3,0
muchavonhan||soobin,,,,,10.0,3,6,95012.0,,3,0,0,0,3,0
dondauvocung||datkaa,,,,,4.0,1,4,,145000.0,3,0,0,0,3,0
thatkhonggiongaifromthacodon||vickynhung,,,,,1.0,1,8,,68000.0,3,0,0,0,3,0
thoithethethoi||nguyenvi,,,,,inf,0,0,,14800000.0,0,0,0,3,3,0
simpgai808||lowg,,,,,inf,0,0,35241506.0,,0,0,0,3,3,0
3107||wn,,,,,inf,0,0,34403488.0,,0,0,0,3,3,0
duchomaivesau||buitruonglinh,,,,,inf,0,0,33158072.0,,0,0,0,3,3,0
dubaothoitiethomnaymua||greyd,,,,,inf,0,0,35713066.0,,0,0,0,3,3,0
tungla||vucattuong,,,,,inf,0,0,36412234.0,,0,0,0,3,3,0
baotienmotmobinhyen||14casper,,,,,inf,0,0,43027046.0,,0,0,0,3,3,0
thichquaruina||tlinh,,,,,inf,0,0,40004963.0,,0,0,0,3,3,0
nghenhutinhyeu||hieuthuhai,,,,,inf,0,0,39104108.0,,0,0,0,3,3,0
muonroimasaocon||sontungmtp,,,,,inf,0,0,49244172.0,,0,0,0,3,3,0
saigonhomnaymua||jsol,,,,,inf,0,0,47008713.0,,0,0,0,3,3,0
anthan||lowg,,,,,inf,0,0,44190203.0,,0,0,0,3,3,0
conguoi||phungkhanhlinh,,,,,12.0,1,9,,,2,0,0,0,2,0
loser||min,,,,,16.0,1,9,,,2,0,0,0,2,0
uocanhtannatcontim||phungkhanhlinh,,,,,14.0,1,9,,,2,0,0,0,2,0
phepmaudancagooriginalsoundtrack||maydays,,,,,16.0,1,9,,,2,0,0,0,2,0
coemlanha||min,,,,,11.0,1,9,,,2,0,0,0,2,0
phaivietbaonhieubantinhca||min,,,,,11.0,1,9,,,2,0,0,0,2,0
daiduong||phapkieu,,,,,17.0,1,1,,,2,0,0,0,2,0
daucodendau||anhtraisayhi,,,,,13.0,2,24,,1100000.0,2,0,0,0,2,0
noidaugiuahoabinh||hoaminzy,,,,,13.0,1,17,,6700000.0,2,0,0,0,2,0
ngannamanhsang||dangvinhthinh,,,,,14.0,3,27,6371566.0,,2,0,0,0,2,0
hermosa||anhtraisayhi,,,,,20.0,2,11,,1300000.0,2,0,0,0,2,0
panorama||richiedicy,,,,,12.0,2,19,1529968.0,,2,0,0,0,2,0
saymotdoiviem||nguyenvu,,,,,15.0,1,17,,1900000.0,2,0,0,0,2,0
lovegame||lowg,,,,,19.0,2,19,3652886.0,,2,0,0,0,2,0
phongsuongtuucasithiendinh||thiendinh,,,,,11.0,1,15,,472000.0,2,0,0,0,2,0
luoitinh||jade,,,,,14.0,1,8,,93000.0,2,0,0,0,2,0
vetthuong||fishy,,,,,13.0,1,12,9591166.0,,2,0,0,0,2,0
vungantoan||bray,,,,,12.0,1,9,7801369.0,,2,0,0,0,2,0
nangduoichanmay||nguyenhuukha,,,,,16.0,1,10,,,2,0,0,0,2,0
polite||sonaone,,,,,18.0,1,4,,,2,0,0,0,2,0
linhcam||phungkhanhlinh,,,,,20.0,1,5,,,2,0,0,0,2,0
lydonaodequaylaivoinhau||parsg,,,,,14.0,1,10,11709797.0,,2,0,0,0,2,0
danghi||anhtraisayhi,,,,,15.0,2,25,1028166.0,,2,0,0,0,2,0
honlaban||anhtraisayhi,,,,,13.0,2,15,342279.0,,2,0,0,0,2,0
ketthucvachiatay||nguyenkieuoanh,,,,,14.0,1,7,,117000.0,2,0,0,0,2,0
vongxoaycuabachungta||thanhdat,,,,,15.0,1,7,,243000.0,2,0,0,0,2,0
vualongnhauchua||thanhdat,,,,,17.0,1,15,,2700000.0,2,0,0,0,2,0
cudotaiconmua||emxinhsayhi,,,,,17.0,2,18,,3400000.0,2,0,0,0,2,0
nuhondau||dautatdat,,,,,31.0,1,2,,,1,0,0,0,1,0
thanhxuan||dalab,,,,,46.0,1,6,,,1,0,0,0,1,0
manhtinhsaidoi||quangha,,,,,38.0,1,15,,1600000.0,1,0,0,0,1,0
batconbuomvang||danhka,,,,,42.0,1,11,,1700000.0,1,0,0,0,1,0
lengangtroi||honhi,,,,,26.0,1,17,,4500000.0,1,0,0,0,1,0
echngoaidaygieng||emxinhsayhi,,,,,23.0,1,7,,4300000.0,1,0,0,0,1,0
kichban||tao,,,,,38.0,1,1,759672.0,,1,0,0,0,1,0
anhlaisayroi||phanduyanh,,,,,27.0,1,1,,841000.0,1,0,0,0,1,0
nguoiyeuchuasinhra||anhtraisayhi,,,,,32.0,1,10,,926000.0,1,0,0,0,1,0
thuong||bichphuong,,,,,48.0,1,1,,372000.0,1,0,0,0,1,0
dungyeumotnguoinhu||duuyen,,,,,31.0,1,2,,206000.0,1,0,0,0,1,0
makeup||anhtraisayhi,,,,,36.0,2,13,,176000.0,1,0,0,0,1,0
ngaynaynamaymetalrock||vietanh,,,,,27.0,1,10,,116000.0,1,0,0,0,1,0
anhthuaanhta||giahuysinger,,,,,40.0,1,4,,124000.0,1,0,0,0,1,0
aoanh||anhtraisayhi,,,,,22.0,2,7,,467000.0,1,0,0,0,1,0
tamsuvoidemmotminh||phungkhanhlinh,,,,,28.0,1,8,,261000.0,1,0,0,0,1,0
manhtinhsaidoi||thanhdat,,,,,25.0,1,17,,652000.0,1,0,0,0,1,0
