Title,Artist,Appearance_Count,Platform_Count,Platforms,Date_Count,First_Seen,Last_Seen,Best_Rank,Avg_Rank,Best_Platform,Total_Hit_Score,Avg_Hit_Score,Spotify_Peak_Position,Spotify_Total_Streams,Spotify_Days_On_Chart,Spotify_Peak_Count,AppleMusic_Peak_Position,AppleMusic_Days_On_Chart,AppleMusic_Peak_Count,ZingMP3_Total_Plays,ZingMP3_Total_Likes,NCT_Total_Likes,YouTube_Total_Views,YouTube_Total_Likes,Duration,Spotify_URL,ZingMP3_URL,NCT_URL,YouTube_URL
vết thương,Fishy,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,13,48.05263157894737,SPOTIFY,999.8,52.62105263157895,10.0,9528801.0,178.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Có Đôi Điều,Shiki,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,39,47.31578947368421,APPLE_MUSIC,998.1,52.53157894736842,9.0,21048734.0,316.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Nắng có mang em về,Shartnuss,11,1,SPOTIFY,11,2025-10-31,2025-11-11,8,10.818181818181818,SPOTIFY,992.0,90.18181818181819,4.0,27347024.0,636.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
CỨ ĐỔ TẠI CƠN MƯA,EM XINH SAY HI,21,3,"APPLE_MUSIC, NCT, ZINGMP3",14,2025-10-31,2025-11-13,17,49.904761904761905,ZINGMP3,958.65,45.65,0.0,0.0,0.0,0.0,,,,3400000.0,31000.0,42683.0,0,0,,,https://zingmp3.vn/bai-hat/CU-DO-TAI-CON-MUA-EM-XINH-SAY-HI-Phuong-Ly-Orange-Chau-Bui-52Hz/Z87EBIEC.html,https://www.nhaccuatui.com/song/EemTHbrT7zsG,
Tháng Năm,SOOBIN,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,23,49.10526315789474,APPLE_MUSIC,956.0999999999999,50.321052631578944,5.0,19993189.0,1070.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Mo,Vũ Cát Tường,11,1,SPOTIFY,11,2025-10-31,2025-11-11,9,14.545454545454545,SPOTIFY,951.0,86.45454545454545,4.0,38396242.0,1142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Muốn Cua Anh Làm Bồ,Dương Ái Vy,15,1,ZINGMP3,14,2025-10-31,2025-11-13,23,30.6,ZINGMP3,950.4,63.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,158000.0,0.0,0,0,02:34,,https://zingmp3.vn/bai-hat/Muon-Cua-Anh-Lam-Bo-Duong-Ai-Vy-HTM/Z8709ADD.html,,
Đừng Làm Trái Tim Anh Đau,Sơn Tùng M-TP,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,15,49.78947368421053,APPLE_MUSIC,941.6,49.55789473684211,1.0,50335672.0,522.0,20.0,,,,0.0,0.0,0.0,0,0,,,,,
Lệ Ngang Trời,Hồ Nhi,15,1,ZINGMP3,14,2025-10-31,2025-11-13,26,31.933333333333334,ZINGMP3,932.4,62.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4400000.0,124000.0,0.0,0,0,05:29,,https://zingmp3.vn/bai-hat/Le-Ngang-Troi-Ho-Nhi-A-Tuan/Z86DB6FC.html,,
GÃ SĂN CÁ,EM XINH SAY HI,28,3,"APPLE_MUSIC, NCT, ZINGMP3",14,2025-10-31,2025-11-13,34,63.142857142857146,NCT,928.4000000000001,33.15714285714286,0.0,0.0,0.0,0.0,,,,6900000.0,113000.0,111507.0,0,0,,,https://zingmp3.vn/bai-hat/GA-SAN-CA-EM-XINH-SAY-HI-Lam-Bao-Ngoc-Quynh-Anh-Shyn-MAIQUINN-Saabirose/Z86C6CEA.html,https://www.nhaccuatui.com/song/8fBWGX9hPFRW,
NGƯỜI YÊU CHƯA SINH RA,ANH TRAI SAY HI,31,3,"APPLE_MUSIC, NCT, ZINGMP3",14,2025-10-31,2025-11-13,32,67.03225806451613,NCT,921.5,29.725806451612904,0.0,0.0,0.0,0.0,,,,914000.0,15000.0,27163.0,0,0,,,https://zingmp3.vn/bai-hat/NGUOI-YEU-CHUA-SINH-RA-ANH-TRAI-SAY-HI-OgeNus-BigDaddy-Phuc-Du-HUSTLANG-Robber-Dillan-Hoang-Phan/Z89ZDF68.html,https://www.nhaccuatui.com/song/OO3SZc0RTLlf,
Từng Ngày Yêu Em,buitruonglinh,11,1,SPOTIFY,11,2025-10-31,2025-11-11,10,17.545454545454547,SPOTIFY,918.0,83.45454545454545,8.0,20769306.0,311.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Vừa Lòng Nhau Chưa,Thành Đạt,15,1,ZINGMP3,14,2025-10-31,2025-11-13,17,34.53333333333333,ZINGMP3,897.3,59.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600000.0,35000.0,0.0,0,0,04:47,,https://zingmp3.vn/bai-hat/Vua-Long-Nhau-Chua-Thanh-Dat-DICKSON-Le-Chi-Trung/Z8776A7D.html,,
Vùng An Toàn,B Ray,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,12,52.36842105263158,APPLE_MUSIC,890.25,46.85526315789474,3.0,7762477.0,127.0,8.0,,,,0.0,0.0,0.0,0,0,,,,,
Mảnh Tình Sai Đôi,Thành Đạt,15,1,ZINGMP3,14,2025-10-31,2025-11-13,25,36.0,ZINGMP3,877.5,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628000.0,13000.0,0.0,0,0,04:33,,https://zingmp3.vn/bai-hat/Manh-Tinh-Sai-Doi-Thanh-Dat/Z89AEIEE.html,,
Sự Ưu Tiên Của Em,Lê Gia Bảo,15,1,ZINGMP3,14,2025-10-31,2025-11-13,28,36.266666666666666,ZINGMP3,873.9000000000001,58.260000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15700000.0,236000.0,0.0,0,0,04:57,,https://zingmp3.vn/bai-hat/Su-Uu-Tien-Cua-Em-Le-Gia-Bao/Z8O8B7BF.html,,
vạn vật như muốn ta bên nhau,RIO,11,1,SPOTIFY,11,2025-10-31,2025-11-11,18,22.454545454545453,SPOTIFY,864.0,78.54545454545455,4.0,15179887.0,215.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Cưới Chính,Nal,15,1,ZINGMP3,14,2025-10-31,2025-11-13,29,37.333333333333336,ZINGMP3,859.5,57.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,38000.0,0.0,0,0,04:04,,https://zingmp3.vn/bai-hat/Cuoi-Chinh-Nal-CT/Z88EODCD.html,,
MAKE UP,ANH TRAI SAY HI,18,2,"NCT, ZINGMP3",13,2025-10-31,2025-11-12,36,47.611111111111114,ZINGMP3,853.2,47.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153000.0,4000.0,6636.0,0,0,04:18,,https://zingmp3.vn/bai-hat/MAKE-UP-ANH-TRAI-SAY-HI-Dillan-Hoang-Phan-buitruonglinh-Do-Nam-Son-Lohan-Ryn-Lee-Bao-Thy/Z8AZU6IF.html,https://www.nhaccuatui.com/song/qWmc2x35NHEk,
Hà Nội,Obito,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,28,56.578947368421055,APPLE_MUSIC,816.35,42.96578947368421,11.0,23158219.0,490.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Chẳng Thể Cảm Hóa,Lương Quý Tuấn,15,1,ZINGMP3,14,2025-10-31,2025-11-13,37,41.733333333333334,ZINGMP3,800.1000000000003,53.34000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700000.0,156000.0,0.0,0,0,05:03,,https://zingmp3.vn/bai-hat/Chang-The-Cam-Hoa-Luong-Quy-Tuan-An-Clock/Z8ZI8BAB.html,,
Đừng Đóng Vai Nạn Nhân,Wendy Thảo,15,1,ZINGMP3,14,2025-10-31,2025-11-13,36,42.666666666666664,ZINGMP3,787.5000000000001,52.50000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655000.0,20000.0,0.0,0,0,05:49,,https://zingmp3.vn/bai-hat/Dung-Dong-Vai-Nan-Nhan-Thao-Wendy-V2T-Media/Z89A0IE8.html,,
Nói Dối,Ronboogz,11,1,SPOTIFY,11,2025-10-31,2025-11-11,22,29.545454545454547,SPOTIFY,786.0,71.45454545454545,3.0,28560416.0,737.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
ẢO ẢNH,ANH TRAI SAY HI,19,2,"NCT, ZINGMP3",14,2025-10-31,2025-11-13,22,55.0,NCT,773.1999999999999,40.69473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455000.0,8000.0,12921.0,0,0,04:22,,https://zingmp3.vn/bai-hat/AO-ANH-ANH-TRAI-SAY-HI-Vu-Cat-Tuong-Gill-Ryn-Lee/Z89F9E07.html,https://www.nhaccuatui.com/song/qEDID98P9dOt,
Trái Tim Không Có Tội,Châu Khải Phong,15,1,ZINGMP3,14,2025-10-31,2025-11-13,26,45.06666666666667,ZINGMP3,755.1,50.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,30000.0,0.0,0,0,05:33,,https://zingmp3.vn/bai-hat/Trai-Tim-Khong-Co-Toi-Chau-Khai-Phong/Z88DZW6U.html,,
Lý Do Nào Để Quay Lại Với Nhau,PAR SG,10,1,SPOTIFY,10,2025-10-31,2025-11-10,14,25.8,SPOTIFY,752.0,75.2,8.0,11709797.0,398.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Lạ Lùng,Vũ.,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,49,60.473684210526315,APPLE_MUSIC,750.85,39.51842105263158,12.0,40559400.0,2749.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Mảnh Tình Sai Đôi,Quang Hà,15,1,ZINGMP3,14,2025-10-31,2025-11-13,38,45.46666666666667,ZINGMP3,749.7,49.980000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,26000.0,0.0,0,0,04:37,,https://zingmp3.vn/bai-hat/Manh-Tinh-Sai-Doi-Quang-Ha/Z88C6FWW.html,,
Những Lời Hứa Bỏ Quên,Vũ.,19,3,"APPLE_MUSIC, NCT, SPOTIFY",12,2025-10-31,2025-11-13,31,56.31578947368421,NCT,746.2,39.27368421052632,1.0,41009967.0,694.0,9.0,,,,0.0,0.0,295303.0,0,0,,,,https://www.nhaccuatui.com/song/cJ6lXsQLONjC,
ẾCH NGOÀI ĐÁY GIẾNG,EM XINH SAY HI,15,1,ZINGMP3,14,2025-10-31,2025-11-13,23,47.2,ZINGMP3,726.3,48.419999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300000.0,79000.0,0.0,0,0,03:53,,https://zingmp3.vn/bai-hat/ECH-NGOAI-DAY-GIENG-EM-XINH-SAY-HI-Phuong-My-Chi/Z88IAO9D.html,,
Phong Sương Tửu (Ca Si Thiên Đình),THIÊN ĐÌNH,15,1,ZINGMP3,14,2025-10-31,2025-11-13,31,47.4,ZINGMP3,723.6000000000001,48.24000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448000.0,7000.0,0.0,0,0,03:43,,https://zingmp3.vn/bai-hat/Phong-Suong-Tuu-Ca-Si-Thien-Dinh-THIEN-DINH/Z8AIWBI9.html,,
Nếu Ngày Ấy,SOOBIN,11,1,SPOTIFY,11,2025-10-31,2025-11-11,25,35.36363636363637,SPOTIFY,722.0,65.63636363636364,25.0,10200491.0,320.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
EM ĐAU,Phùng Khánh Linh,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,7,7.625,APPLE_MUSIC,709.65,88.70625,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Bắt Con Bướm Vàng,DanhKa,15,1,ZINGMP3,14,2025-10-31,2025-11-13,42,48.666666666666664,ZINGMP3,706.5,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000.0,36000.0,0.0,0,0,03:45,,https://zingmp3.vn/bai-hat/Bat-Con-Buom-Vang-DanhKa/Z87AU6ED.html,,
Vì Anh Đâu Có Biết,Madihu,11,1,SPOTIFY,11,2025-10-31,2025-11-11,22,37.36363636363637,SPOTIFY,700.0,63.63636363636363,2.0,57608948.0,1196.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Quá Muộn,MIN,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,6,9.625,APPLE_MUSIC,694.4499999999999,86.80624999999999,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Chế Độ Im Lặng,MIN,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,9,11.75,APPLE_MUSIC,678.3,84.7875,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
một bài hát không vui mấy - Extended Version,T.R.I,11,1,SPOTIFY,11,2025-10-31,2025-11-11,29,39.63636363636363,SPOTIFY,675.0,61.36363636363637,17.0,16341458.0,311.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Có Mình Và Ta,Nguyễn Vĩ,15,1,ZINGMP3,14,2025-10-31,2025-11-13,41,51.733333333333334,ZINGMP3,665.1,44.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924000.0,23000.0,0.0,0,0,04:18,,https://zingmp3.vn/bai-hat/Co-Minh-Va-Ta-Nguyen-Vi/Z88EZDW6.html,,
Thằng Điên,JustaTee,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,40,66.15789473684211,SPOTIFY,648.65,34.13947368421052,18.0,34735196.0,1132.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Ngày Này Năm Ấy (Metal Rock),Việt Anh,12,2,"NCT, ZINGMP3",9,2025-10-31,2025-11-13,27,39.416666666666664,NCT,633.8499999999999,52.820833333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116000.0,3000.0,10250.0,0,0,03:50,,https://zingmp3.vn/bai-hat/Ngay-Nay-Nam-Ay-Metal-Rock-Viet-Anh/Z89FCIDO.html,https://www.nhaccuatui.com/song/6NeIeeSFl4y3,
Có Em Là Nhà,MIN,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,11,17.75,APPLE_MUSIC,632.7,79.0875,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Nắng Dưới Chân Mây,Nguyễn Hữu Kha,9,1,NCT,8,2025-10-31,2025-11-13,16,18.77777777777778,NCT,628.9999999999999,69.88888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84693.0,0,0,3:39,,,https://www.nhaccuatui.com/song/F2v0Z9WBlCMV,
Thật Không Giống Ai (From Thà Cô Đơn),Vicky Nhung,7,1,ZINGMP3,7,2025-10-31,2025-11-06,1,2.0,ZINGMP3,623.7,89.10000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20000.0,0.0,0,0,04:07,,https://zingmp3.vn/bai-hat/That-Khong-Giong-Ai-From-Tha-Co-Don-Vicky-Nhung/Z8A6IOWO.html,,
Phép Màu [Đàn Cá Gỗ Original Soundtrack],MAYDAYs,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,16,19.875,APPLE_MUSIC,616.55,77.06875,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Love is,Dangrangto,11,1,SPOTIFY,11,2025-10-31,2025-11-11,35,45.27272727272727,SPOTIFY,613.0,55.72727272727273,7.0,23902845.0,382.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
ƯỚC ANH TAN NÁT CON TIM,Phùng Khánh Linh,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,14,21.875,APPLE_MUSIC,601.3499999999999,75.16874999999999,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Chuyện Đôi Ta,Emcee L (Da LAB),9,2,"APPLE_MUSIC, SPOTIFY",7,2025-10-31,2025-11-07,13,34.22222222222222,SPOTIFY,600.5,66.72222222222223,2.0,68512977.0,1437.0,7.0,,,,0.0,0.0,0.0,0,0,,,,,
HIỆN THỰC PHŨ PHÀNG,Phùng Khánh Linh,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,10,22.375,APPLE_MUSIC,597.55,74.69375,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Sinh Ra Đã Là Thứ Đối Lập Nhau,Emcee L,11,1,SPOTIFY,11,2025-10-31,2025-11-11,28,47.0,SPOTIFY,594.0,54.0,16.0,52576041.0,1517.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Lưới Tình,J.ADE,8,1,ZINGMP3,8,2025-10-31,2025-11-12,14,19.0,ZINGMP3,590.4000000000001,73.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93000.0,66000.0,0.0,0,0,04:14,,https://zingmp3.vn/bai-hat/Luoi-Tinh-J-ADE/Z8AOF0ZC.html,,
Có Em,Madihu,11,1,SPOTIFY,11,2025-10-31,2025-11-11,27,47.36363636363637,SPOTIFY,590.0,53.63636363636363,2.0,42507412.0,1286.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
E Là Không Thể,Anh Quân,9,1,NCT,8,2025-10-31,2025-11-13,21,24.0,NCT,589.05,65.44999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186252.0,0,0,5:09,,,https://www.nhaccuatui.com/song/r27tf4MELOuA,
Nếu Những Tiếc Nuối,Vũ.,17,2,"APPLE_MUSIC, SPOTIFY",11,2025-11-01,2025-11-12,33,65.23529411764706,APPLE_MUSIC,582.4499999999999,34.26176470588235,34.0,7310397.0,202.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Bước Qua Mùa Cô Đơn,Vũ.,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,47,69.78947368421052,SPOTIFY,580.5,30.55263157894737,1.0,37264802.0,1691.0,8.0,,,,0.0,0.0,0.0,0,0,,,,,
nếu lúc đó,tlinh,17,2,"APPLE_MUSIC, SPOTIFY",10,2025-11-03,2025-11-12,49,65.70588235294117,APPLE_MUSIC,580.25,34.13235294117647,1.0,59690975.0,986.0,17.0,,,,0.0,0.0,0.0,0,0,,,,,
phải viết bao nhiêu bản tình ca,MIN,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,11,24.875,APPLE_MUSIC,578.55,72.31875,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Cạn Dòng Ướt Mi,Dee Trần,7,1,ZINGMP3,7,2025-10-31,2025-11-06,7,9.857142857142858,ZINGMP3,574.2,82.02857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,1000.0,0.0,0,0,04:33,,https://zingmp3.vn/bai-hat/Can-Dong-Uot-Mi-Dee-Tran/Z8AUA078.html,,
1000 Ánh Mắt,Shiki,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,50,70.21052631578948,SPOTIFY,573.45,30.181578947368422,8.0,24278150.0,502.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
CỜ NGƯỜI,Phùng Khánh Linh,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,12,26.125,APPLE_MUSIC,569.05,71.13125,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Kết Thúc Và Chia Tay,Nguyễn Kiều Oanh,10,1,ZINGMP3,9,2025-10-31,2025-11-08,14,39.0,ZINGMP3,558.0000000000001,55.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117000.0,2000.0,0.0,0,0,04:57,,https://zingmp3.vn/bai-hat/Ket-Thuc-Va-Chia-Tay-Nguyen-Kieu-Oanh/Z8AIW9CO.html,,
Cơ Hội Cuối,An Vũ,15,1,ZINGMP3,14,2025-10-31,2025-11-13,52,59.666666666666664,ZINGMP3,558.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11500000.0,188000.0,0.0,0,0,04:40,,https://zingmp3.vn/bai-hat/Co-Hoi-Cuoi-An-Vu/Z8U96AD8.html,,
tâm trí lang thang,Ánh Sáng AZA,11,1,SPOTIFY,11,2025-10-31,2025-11-11,40,51.09090909090909,SPOTIFY,549.0,49.90909090909091,7.0,7775190.0,161.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Anh Nhớ Ra,Vũ.,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,22,28.875,APPLE_MUSIC,548.1499999999999,68.51874999999998,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
10 Ngàn Năm,PC,11,1,SPOTIFY,11,2025-10-31,2025-11-11,43,51.54545454545455,SPOTIFY,544.0,49.45454545454545,25.0,33022520.0,1246.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
SỚM MUỘN THÌ,ANH TRAI SAY HI,7,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",3,2025-11-11,2025-11-13,2,16.714285714285715,NCT,541.0,77.28571428571429,15.0,77039.0,1.0,0.0,,,,85000.0,3000.0,8771.0,0,0,,,https://zingmp3.vn/bai-hat/SOM-MUON-THI-ANH-TRAI-SAY-HI-HUSTLANG-Robber-Nham-Phuong-Nam-Mason-Nguyen-Jaysonlei-Khoi-Vu-LAMOON/Z8A987I6.html,https://www.nhaccuatui.com/song/ZGqkPWpPCsBH,
Đừng Bất Công Với Em Mà,Inso,15,1,ZINGMP3,14,2025-10-31,2025-11-13,44,62.4,ZINGMP3,521.1,34.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,35000.0,0.0,0,0,04:06,,https://zingmp3.vn/bai-hat/Dung-Bat-Cong-Voi-Em-Ma-Inso-ViAM/Z87I90A0.html,,
Tràn Bộ Nhớ,Dương Domic,11,1,SPOTIFY,11,2025-10-31,2025-11-11,35,53.90909090909091,SPOTIFY,518.0,47.09090909090909,5.0,22992508.0,354.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
LOSER,MIN,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,16,32.875,APPLE_MUSIC,517.75,64.71875,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Dù Cho Tận Thế,ERIK,9,1,NCT,8,2025-10-31,2025-11-13,31,33.333333333333336,NCT,517.65,57.516666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243059.0,0,0,3:53,,,https://www.nhaccuatui.com/song/szDsaurUCtvX,
Vòng Xoay Của Ba Chúng Ta,Thành Đạt,7,1,ZINGMP3,7,2025-10-31,2025-11-06,15,19.0,ZINGMP3,516.6,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243000.0,2000.0,0.0,0,0,05:39,,https://zingmp3.vn/bai-hat/Vong-Xoay-Cua-Ba-Chung-Ta-Thanh-Dat/Z89U7E6O.html,,
2AM,JustaTee,11,1,SPOTIFY,11,2025-10-31,2025-11-11,39,54.18181818181818,SPOTIFY,515.0,46.81818181818182,14.0,35656346.0,1278.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Bầu Trời Mới,Da LAB,11,1,SPOTIFY,11,2025-10-31,2025-11-11,39,55.27272727272727,SPOTIFY,503.0,45.72727272727273,6.0,28859421.0,405.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Anh Thua Người Ta Nhiều Lắm,NB3 Hoài Bảo,15,1,ZINGMP3,14,2025-10-31,2025-11-13,40,63.8,ZINGMP3,502.19999999999993,33.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000.0,40000.0,0.0,0,0,05:02,,https://zingmp3.vn/bai-hat/Anh-Thua-Nguoi-Ta-Nhieu-Lam-NB3-Hoai-Bao-CT/Z88W9WWF.html,,
id 072019,W/N,11,1,SPOTIFY,11,2025-10-31,2025-11-11,39,55.72727272727273,SPOTIFY,498.0,45.27272727272727,3.0,45284631.0,834.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
nhắn nhủ,Ronboogz,11,1,SPOTIFY,11,2025-10-31,2025-11-11,33,55.81818181818182,SPOTIFY,497.0,45.18181818181818,9.0,36902652.0,698.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Anh Đã Quen Với Cô Đơn,SOOBIN,12,2,"APPLE_MUSIC, SPOTIFY",8,2025-11-05,2025-11-12,43,57.833333333333336,APPLE_MUSIC,496.94999999999993,41.412499999999994,47.0,9003535.0,373.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Không Yêu Em Thì Yêu Ai?,Vũ.,11,1,SPOTIFY,11,2025-10-31,2025-11-11,49,56.09090909090909,SPOTIFY,494.0,44.90909090909091,14.0,21813432.0,411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
Hoa,Chung Thanh Duy,15,1,ZINGMP3,14,2025-10-31,2025-11-13,57,64.46666666666667,ZINGMP3,493.2,32.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200000.0,46000.0,0.0,0,0,03:30,,https://zingmp3.vn/bai-hat/Hoa-Chung-Thanh-Duy/Z86AC6D8.html,,
ANH VUI,Phạm Kỳ,9,1,NCT,8,2025-10-31,2025-11-13,33,36.666666666666664,NCT,492.15,54.68333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91704.0,0,0,3:17,,,https://www.nhaccuatui.com/song/bWu6k1VPJCO6,
Kẻ Say Tình,Quốc Thiên,15,1,ZINGMP3,14,2025-10-31,2025-11-13,55,64.66666666666667,ZINGMP3,490.49999999999994,32.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600000.0,23000.0,0.0,0,0,05:08,,https://zingmp3.vn/bai-hat/Ke-Say-Tinh-Quoc-Thien/Z87AA6ZA.html,,
đưa em về nhàa,GREY D,9,2,"APPLE_MUSIC, SPOTIFY",8,2025-11-05,2025-11-12,29,43.77777777777778,APPLE_MUSIC,489.35,54.37222222222223,3.0,36376703.0,928.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Bạn Đời,Karik,16,2,"NCT, SPOTIFY",12,2025-10-31,2025-11-13,45,66.1875,NCT,485.75,30.359375,5.0,34320443.0,769.0,1.0,0.0,0.0,0.0,0.0,0.0,270392.0,0,0,,,,https://www.nhaccuatui.com/song/mX8e5tI588ih,
"(từng là) Boyfriend, Girlfriend",MIN,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,22,37.625,APPLE_MUSIC,481.65,60.20625,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
Thấu Tình,Trung Hiếu,15,1,ZINGMP3,14,2025-10-31,2025-11-13,56,65.73333333333333,ZINGMP3,476.1,31.740000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418000.0,12000.0,0.0,0,0,05:06,,https://zingmp3.vn/bai-hat/Thau-Tinh-Trung-Hieu/Z897F0UZ.html,,
TÂM SỰ VỚI ĐÊM MỘT MÌNH,Phùng Khánh Linh,8,1,APPLE_MUSIC,8,2025-11-05,2025-11-12,28,39.5,APPLE_MUSIC,467.4,58.425,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,,,,,
