title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,APPLE_MUSIC_avg_rank,APPLE_MUSIC_first_date,APPLE_MUSIC_last_date,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_avg_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,SPOTIFY_first_date,SPOTIFY_last_date,NCT_appearances,NCT_peak_rank,NCT_avg_rank,NCT_total_likes,NCT_first_date,NCT_last_date,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_avg_rank,ZINGMP3_total_likes,ZINGMP3_total_plays,ZINGMP3_first_date,ZINGMP3_last_date
xin lỗi vì đã xuất hiện,thanh hưng,,zingmp3,43.0,2025-10-19,"v-pop, vinahouse",1yeHV8EVa4BgrXy6bYQuT3,1,9.0,24.13,15.0,53.28,,,,,,,,,,,,,,,,,,,,15.0,9.0,24.13,10000.0,415000.0,2025-10-31,2025-11-13
nếu những tiếc nuối,vũ.,,"apple, spotify",59.0,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",2dPJtlvoa3GDowCh035M8P,2,33.0,63.67,17.0,52.42,8.0,33.0,37.12,2025-11-05,2025-11-12,9.0,78.0,90.22,202.0,7310397.0,34.0,2025-11-01,2025-11-11,,,,,,,,,,,,,
thật không giống ai (from thà cô đơn),vicky nhung,,zingmp3,25.0,2025-11-05,"vinahouse, v-pop, vietnamese lo-fi",72iR6dKZlk5BMUhvOeE8Lp,1,1.0,8.0,8.0,52.1,,,,,,,,,,,,,,,,,,,,8.0,1.0,8.0,20000.0,68000.0,2025-10-31,2025-11-13
make up,anh trai say hi,"dillan hoàng phan, buitruonglinh, đỗ nam sơn, lohan, ryn lee, bảo thy","nct, zingmp3",48.0,2025-11-03,"v-pop, vietnamese hip hop",4jXsORpwH2lE52E0Md8u7y,2,36.0,45.78,18.0,51.85,,,,,,,,,,,,,,4.0,36.0,42.5,6636.0,2025-11-07,2025-11-12,14.0,36.0,49.07,4000.0,153000.0,2025-10-31,2025-11-12
ngày này năm ấy (metal rock),việt anh,,"nct, zingmp3",48.0,2025-10-19,"vinahouse, v-pop",3vCLYX5igpqSYXbFrbw9a9,2,27.0,47.28,12.0,51.7,,,,,,,,,,,,,,9.0,27.0,31.56,10250.0,2025-10-31,2025-11-13,3.0,53.0,63.0,3000.0,116000.0,2025-11-07,2025-11-08
nỗi đau giữa hòa bình,hòa minzy,nguyễn văn chung,zingmp3,55.0,2025-08-22,"v-pop, vinahouse",0S1uRwIQF1AWR6gp4iXntl,1,13.0,16.33,15.0,51.68,,,,,,,,,,,,,,,,,,,,15.0,13.0,16.33,160000.0,6700000.0,2025-10-31,2025-11-13
có đôi điều,shiki,,"apple, spotify",65.0,2024-06-27,"vietnamese hip hop, v-pop, vietnam indie",2Pwou3Q2Cf59RxdX2V6MgV,2,39.0,47.17,19.0,51.28,8.0,39.0,46.25,2025-11-05,2025-11-12,11.0,42.0,48.09,316.0,21048734.0,9.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
nắng có mang em về,shartnuss,"tr.d, phankeo",spotify,68.0,2023-10-21,"v-pop, vietnam indie",6kCU6i8iRrAAmJJ8Sj4JYC,1,8.0,10.82,11.0,51.18,,,,,,11.0,8.0,10.82,636.0,27347024.0,4.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
thằng điên,justatee,phương ly,"apple, spotify",63.0,2022-07-11,"v-pop, vietnamese hip hop, vietnam indie",27Z9T0mSWHYWSj9SNOGvyt,2,40.0,66.36,19.0,50.88,8.0,58.0,67.62,2025-11-05,2025-11-12,11.0,40.0,65.09,1132.0,34735196.0,18.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
say một đời vì em,nguyên vũ,,zingmp3,32.0,2025-09-26,"v-pop, vinahouse",7BEPNEzZYMQp7I5XNrIMcY,1,15.0,23.33,15.0,50.88,,,,,,,,,,,,,,,,,,,,15.0,15.0,23.33,46000.0,1800000.0,2025-10-31,2025-11-13
mo,vũ cát tường,,spotify,68.0,2016-01-01,"v-pop, vietnam indie",2a5hng9yXtbjtTVVm9UviC,1,9.0,14.55,11.0,50.78,,,,,,11.0,9.0,14.55,1142.0,38396242.0,4.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
hóa giải bằng nước mắt,cao thái sơn,lê chí trung,zingmp3,36.0,2024-10-25,"v-pop, vinahouse, vietnamese bolero",3OQiIsw7pY51x5OXtuD7qm,1,16.0,16.0,15.0,50.48,,,,,,,,,,,,,,,,,,,,15.0,16.0,16.0,275000.0,24500000.0,2025-10-31,2025-11-13
từng ngày yêu em,buitruonglinh,,spotify,67.0,2024-12-12,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",3Ids3RXurYBgySph53qWnB,1,10.0,17.55,11.0,50.38,,,,,,11.0,10.0,17.55,311.0,20769306.0,8.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
quá muộn,min,,apple,57.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",1rT8AzuWBXNbB6BFrGmxYV,1,6.0,9.62,8.0,50.1,8.0,6.0,9.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
vừa lòng nhau chưa,thành đạt,"dickson, lê chí trung",zingmp3,21.0,2025-08-06,"vinahouse, v-pop",1f9ysIXLURcvP6eTnHsgXu,1,17.0,34.53,15.0,50.08,,,,,,,,,,,,,,,,,,,,15.0,17.0,34.53,35000.0,2600000.0,2025-10-31,2025-11-13
em đau,phùng khánh linh,thành luke,apple,55.0,2025-10-18,"v-pop, vietnam indie",317Lh6QCAz9JpWbV3oxrCf,1,7.0,7.62,8.0,49.7,8.0,7.0,7.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
cạn dòng ướt mi,dee trần,,zingmp3,5.0,2025-11-01,"v-pop, vinahouse",3Jpf0TLSWmlDt4v9L3ck78,1,7.0,9.86,7.0,49.08,,,,,,,,,,,,,,,,,,,,7.0,7.0,9.86,1000.0,59000.0,2025-10-31,2025-11-06
đưa em về nhàa,grey d,chillies,"apple, spotify",61.0,2023-04-24,"v-pop, vietnam indie, vietnamese hip hop",5LQpQ6SDeaz6SIkR0lvsoC,2,29.0,67.94,9.0,49.02,8.0,29.0,36.88,2025-11-05,2025-11-12,1.0,99.0,99.0,928.0,36376703.0,3.0,2025-11-08,2025-11-08,,,,,,,,,,,,,
chế độ im lặng,min,,apple,56.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",44XA6tVReCIX8T1c3l9f75,1,9.0,11.75,8.0,48.9,8.0,9.0,11.75,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
hoa bất tử,thành đạt,,zingmp3,38.0,2025-04-18,"vinahouse, v-pop",3lotckWqqycAqYCGan0zZe,1,20.0,25.13,15.0,48.88,,,,,,,,,,,,,,,,,,,,15.0,20.0,25.13,240000.0,17800000.0,2025-10-31,2025-11-13
hiện thực phũ phàng,phùng khánh linh,,apple,56.0,2025-10-18,"v-pop, vietnam indie",28X9PA12ANiyb1qExK6AEG,1,10.0,22.38,8.0,48.5,8.0,10.0,22.38,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
đớn đau vô cùng,datkaa,,zingmp3,16.0,2025-11-08,"v-pop, vinahouse, vietnamese lo-fi, vietnamese hip hop",6LdHGrdjMMGcaHFKfyOfQy,1,4.0,40.75,4.0,48.4,,,,,,,,,,,,,,,,,,,,4.0,4.0,40.75,18000.0,121000.0,2025-11-10,2025-11-13
lý do nào để quay lại với nhau,par sg,new$oulz,spotify,66.0,2022-05-20,"vietnamese lo-fi, vietnamese hip hop, v-pop, vietnam indie",11OxuU5y7ebAJyKaY8dOl0,1,14.0,25.8,10.0,48.15,,,,,,10.0,14.0,25.8,398.0,11709797.0,8.0,2025-10-31,2025-11-10,,,,,,,,,,,,,
kết thúc và chia tay,nguyễn kiều oanh,,zingmp3,34.0,2025-10-21,v-pop,7wnIhOc840NgqG4xEbcWvu,1,14.0,39.0,10.0,48.15,,,,,,,,,,,,,,,,,,,,10.0,14.0,39.0,2000.0,117000.0,2025-10-31,2025-11-08
có em là nhà,min,,apple,55.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4ZIJScWMgbLgM0hhfY19Oy,1,11.0,17.75,8.0,48.1,8.0,11.0,17.75,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
phải viết bao nhiêu bản tình ca,min,,apple,55.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5D7MGNckkAAGAiDqUDFclP,1,11.0,24.88,8.0,48.1,8.0,11.0,24.88,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
bước qua mùa cô đơn,vũ.,,"apple, spotify",63.0,2022-09-09,"v-pop, vietnam indie, vietnamese lo-fi",6uxuJ8Fr1AAfSPJUF9N1yr,2,47.0,69.78,19.0,48.08,8.0,65.0,69.75,2025-11-05,2025-11-12,11.0,47.0,69.82,1691.0,37264802.0,1.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
cờ người,phùng khánh linh,,apple,56.0,2025-10-18,"v-pop, vietnam indie",0IjFragIGhZPPhaF8HzJqo,1,12.0,26.12,8.0,47.7,8.0,12.0,26.12,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
ếch ngoài đáy giếng,em xinh say hi,phương mỹ chi,zingmp3,53.0,2025-08-18,v-pop,3ZX71GsU4YKr4ZsAMty3i0,1,23.0,47.2,15.0,47.68,,,,,,,,,,,,,,,,,,,,15.0,23.0,47.2,79000.0,4300000.0,2025-10-31,2025-11-13
muốn cua anh làm bồ,dương ái vy,htm,zingmp3,41.0,2025-07-08,"vinahouse, v-pop, vietnamese hip hop",5dCbl3Jx20Yx65YN6bmXU0,1,23.0,30.6,15.0,47.68,,,,,,,,,,,,,,,,,,,,15.0,23.0,30.6,158000.0,7000000.0,2025-10-31,2025-11-13
lạ lùng,vũ.,,"apple, spotify",64.0,2016-12-24,"v-pop, vietnam indie, vietnamese lo-fi",5Bti0azlFhMattVY76qFr9,2,49.0,59.47,19.0,47.28,8.0,49.0,53.12,2025-11-05,2025-11-12,11.0,51.0,65.82,2749.0,40559400.0,12.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
vạn vật như muốn ta bên nhau,rio,,spotify,67.0,2025-04-10,"v-pop, vietnam indie, vietnamese hip hop",5WkuMbkHX7yR7nnBKCn7tV,1,18.0,22.45,11.0,47.18,,,,,,11.0,18.0,22.45,215.0,15179887.0,4.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
bạn đời,karik,gducky,"nct, spotify",58.0,2023-10-04,"v-pop, vietnamese hip hop, vietnam indie",0kHgteR4TV4LO80wrasDSR,2,45.0,68.76,16.0,47.0,,,,,,7.0,72.0,89.29,769.0,34320443.0,5.0,2025-11-05,2025-11-11,9.0,45.0,48.22,270392.0,2025-10-31,2025-11-13,,,,,,,
ước anh tan nát con tim,phùng khánh linh,,apple,54.0,2025-10-18,"v-pop, vietnam indie",7dDbzI8ZchvQbrTHrpOUAA,1,14.0,21.88,8.0,46.9,8.0,14.0,21.88,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
lưới tình,j.ade,,zingmp3,28.0,2025-10-30,"v-pop, vietnam indie",2Fxyo0hUNokG0pIGFlTWII,1,14.0,19.0,8.0,46.9,,,,,,,,,,,,,,,,,,,,8.0,14.0,19.0,66000.0,93000.0,2025-10-31,2025-11-12
mảnh tình sai đôi,thành đạt,,zingmp3,34.0,2025-10-08,"vinahouse, v-pop",2cY72eGi5dHcjRgKijHFFu,1,25.0,36.0,15.0,46.88,,,,,,,,,,,,,,,,,,,,15.0,25.0,36.0,13000.0,628000.0,2025-10-31,2025-11-13
1000 ánh mắt,shiki,obito,"apple, spotify",64.0,2024-06-27,"vietnamese hip hop, v-pop, vietnam indie",5XfGQZA0ioQAWUjlyJRcHc,2,50.0,70.47,19.0,46.88,8.0,61.0,72.12,2025-11-05,2025-11-12,11.0,50.0,68.82,502.0,24278150.0,8.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
nắng dưới chân mây,nguyễn hữu kha,,nct,54.0,2025-06-18,"vinahouse, v-pop",0rpypmIyrvM4ORUt8SYSdP,1,16.0,18.78,9.0,46.72,,,,,,,,,,,,,,9.0,16.0,18.78,84693.0,2025-10-31,2025-11-13,,,,,,,
sau cơn suy,rhyder,,"nct, zingmp3",62.0,2025-09-18,"v-pop, vietnamese hip hop",3VFb1YDFdoS6vRYW9n0egd,2,41.0,66.28,13.0,46.72,,,,,,,,,,,,,,8.0,41.0,43.75,25784.0,2025-10-31,2025-11-12,5.0,81.0,88.8,15000.0,1100000.0,2025-11-08,2025-11-13
lệ ngang trời,hồ nhi,a tuân,zingmp3,28.0,2025-06-27,,0efBHrS8V1AcHTDRynEG5g,1,26.0,31.93,15.0,46.48,,,,,,,,,,,,,,,,,,,,15.0,26.0,31.93,124000.0,4400000.0,2025-10-31,2025-11-13
trái tim không có tội,châu khải phong,,zingmp3,27.0,2025-09-10,"vinahouse, v-pop, vietnamese lo-fi, vietnamese bolero",6aET4QkbSqgaJsK1A7Nwnj,1,26.0,45.07,15.0,46.48,,,,,,,,,,,,,,,,,,,,15.0,26.0,45.07,30000.0,1800000.0,2025-10-31,2025-11-13
loser,min,chillies,apple,54.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",30iU0Hny521RxJVtDq2LH9,1,16.0,32.88,8.0,46.1,8.0,16.0,32.88,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
nếu lúc đó,tlinh,2pillz,"apple, spotify",63.0,2023-08-16,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5ouxRyInSdRBQubu3KTd97,2,49.0,64.92,17.0,46.02,8.0,49.0,51.62,2025-11-05,2025-11-12,9.0,61.0,78.22,986.0,59690975.0,1.0,2025-11-03,2025-11-11,,,,,,,,,,,,,
vòng xoay của ba chúng ta,thành đạt,,zingmp3,19.0,2025-09-26,"vinahouse, v-pop",2L8K5OZzBQf5Oxx7iHIiZG,1,15.0,19.0,7.0,45.88,,,,,,,,,,,,,,,,,,,,7.0,15.0,19.0,2000.0,243000.0,2025-10-31,2025-11-06
kho báu (rock ver.),(s)trong,,zingmp3,30.0,2025-11-06,"v-pop, vietnam indie",55ZbetqAcpX94GDFvtuN1G,1,6.0,6.0,1.0,45.72,,,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,24000.0,,2025-11-08,2025-11-08
sự ưu tiên của em,lê gia bảo,,zingmp3,41.0,2025-03-27,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",4lMkHeFnrucJ1vRhWaPKlD,1,28.0,36.27,15.0,45.68,,,,,,,,,,,,,,,,,,,,15.0,28.0,36.27,236000.0,15700000.0,2025-10-31,2025-11-13
nói dối,ronboogz,,spotify,66.0,2022-12-12,"v-pop, vietnamese hip hop, vietnam indie",3ET3xHCLMGd57u06A9RjJ0,1,22.0,29.55,11.0,45.58,,,,,,11.0,22.0,29.55,737.0,28560416.0,3.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
vì anh đâu có biết,madihu,vũ.,spotify,64.0,2022-08-04,"v-pop, vietnam indie, vietnamese hip hop",6VXVYATpQXEIoZ97NnWCmn,1,22.0,37.36,11.0,45.58,,,,,,11.0,22.0,37.36,1196.0,57608948.0,2.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
chằn tinh,lyhan,,zingmp3,,,,,1,7.0,7.0,1.0,45.32,,,,,,,,,,,,,,,,,,,,1.0,7.0,7.0,1000.0,24000.0,2025-11-13,2025-11-13
ánh trăng giả dối,quốc thiên,,zingmp3,,,,,1,7.0,7.0,1.0,45.32,,,,,,,,,,,,,,,,,,,,1.0,7.0,7.0,30000.0,,2025-11-12,2025-11-12
anh đã quen với cô đơn,soobin,,"apple, spotify",61.0,2017-03-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",39KWnPNEvbXt423CzjvBfA,2,43.0,62.56,12.0,45.3,8.0,43.0,48.38,2025-11-05,2025-11-12,4.0,47.0,76.75,373.0,9003535.0,47.0,2025-11-05,2025-11-08,,,,,,,,,,,,,
cưới chính,nal,ct,zingmp3,41.0,2025-09-30,"vinahouse, vietnamese bolero, bolero, v-pop",5MKyEfqhXnasPDIwmD0Dgi,1,29.0,37.33,15.0,45.28,,,,,,,,,,,,,,,,,,,,15.0,29.0,37.33,38000.0,1100000.0,2025-10-31,2025-11-13
quyền yếu đuối (piano version),miina,"rin9, dreamer","nct, zingmp3",48.0,2025-10-15,v-pop,18TMr4J8tDBenrgDfuGWvy,2,38.0,69.16,8.0,44.8,,,,,,,,,,,,,,6.0,38.0,39.83,11228.0,2025-10-31,2025-11-13,2.0,98.0,98.5,7000.0,235000.0,2025-10-31,2025-11-01
e là không thể,anh quân,,"nct, spotify",61.0,2024-11-29,"vinahouse, vietnamese lo-fi, v-pop",0mcveJtBYTbLJa5dHvtxJJ,1,21.0,24.0,9.0,44.72,,,,,,,,,,,,,,9.0,21.0,24.0,186252.0,2025-10-31,2025-11-13,,,,,,,
polite,sonaone,tlinh,zingmp3,48.0,2025-11-04,"malay rap, malay, malay pop, malaysian pop",3EfychxMku3sRuso0jkGis,1,18.0,45.86,7.0,44.68,,,,,,,,,,,,,,,,,,,,7.0,18.0,45.86,,,2025-10-31,2025-11-06
linh cảm,phùng khánh linh,,apple,55.0,2025-10-18,"v-pop, vietnam indie",2EnTkrLXgoGQ1S9atYZu2F,1,20.0,40.5,8.0,44.5,8.0,20.0,40.5,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
phong sương tửu (ca si thiên đình),thiên đình,,zingmp3,29.0,2025-10-22,"vinahouse, v-pop",6QAFJqZCOZ6ctgdA1tyGZ8,1,31.0,47.4,15.0,44.47,,,,,,,,,,,,,,,,,,,,15.0,31.0,47.4,7000.0,448000.0,2025-10-31,2025-11-13
nếu ngày ấy,soobin,,spotify,63.0,2019-07-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4BdB08vuS9r4HOoY7GkAxT,1,25.0,35.36,11.0,44.38,,,,,,11.0,25.0,35.36,320.0,10200491.0,25.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
"(từng là) boyfriend, girlfriend",min,,apple,51.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7B2UpgEZe68OdfKzBb8JZq,1,22.0,37.62,8.0,43.7,8.0,22.0,37.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
anh nhớ ra,vũ.,trang,apple,,,,,1,22.0,28.88,8.0,43.7,8.0,22.0,28.88,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
có em,madihu,low g,spotify,65.0,2022-04-22,"v-pop, vietnam indie, vietnamese hip hop",6Hs2xIgB8nzyGFDvVA8lFa,1,27.0,47.36,11.0,43.58,,,,,,11.0,27.0,47.36,1286.0,42507412.0,2.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
chúng ta của hiện tại,sơn tùng m-tp,,"apple, spotify",63.0,2020-12-20,"v-pop, vinahouse, vietnamese hip hop",1J3SmWwlYAG68LGKr86MVH,2,52.0,88.35,15.0,43.58,5.0,94.0,97.2,2025-11-05,2025-11-11,10.0,52.0,79.5,1788.0,58404206.0,1.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
chuyện đôi ta,emcee l,muộii (starry night),"apple, spotify",,,,,1,17.0,18.75,4.0,43.2,,,,,,4.0,17.0,18.75,1441.0,68800393.0,2.0,2025-11-08,2025-11-11,,,,,,,,,,,,,
sinh ra đã là thứ đối lập nhau,emcee l,"da lab, badbies",spotify,65.0,2020-12-29,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",5BTzf3doGTigDIYUFtbkI9,1,28.0,47.0,11.0,43.18,,,,,,11.0,28.0,47.0,1517.0,52576041.0,16.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
một bài hát không vui mấy - extended version,t.r.i,"dangrangto, donal",spotify,65.0,2024-12-24,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",36fgG6NiEuQXznNgf5y2Ck,1,29.0,39.64,11.0,42.78,,,,,,11.0,29.0,39.64,311.0,16341458.0,17.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
đừng đóng vai nạn nhân,wendy thảo,v2t media,zingmp3,31.0,2025-10-03,"v-pop, vinahouse",4zUu2z3zh1Swd5kKbjm9DG,1,36.0,42.67,15.0,42.48,,,,,,,,,,,,,,,,,,,,15.0,36.0,42.67,20000.0,655000.0,2025-10-31,2025-11-13
chẳng thể cảm hóa,lương quý tuấn,an clock,zingmp3,43.0,2025-05-14,"vinahouse, v-pop",7GeFFX8J17502ne4TRDVSi,1,37.0,41.73,15.0,42.08,,,,,,,,,,,,,,,,,,,,15.0,37.0,41.73,156000.0,5700000.0,2025-10-31,2025-11-13
rơi tự do,em xinh say hi,lyhan,zingmp3,58.0,2025-08-18,v-pop,2xxneabRzrlVgHRv0HtHxl,1,39.0,77.19,16.0,41.9,,,,,,,,,,,,,,,,,,,,16.0,39.0,77.19,30000.0,2200000.0,2025-10-31,2025-11-13
mảnh tình sai đôi,quang hà,,zingmp3,36.0,2025-08-18,"vinahouse, v-pop, vietnamese bolero",4CbfBM3cqdXilXNSat7mnP,1,38.0,45.47,15.0,41.68,,,,,,,,,,,,,,,,,,,,15.0,38.0,45.47,26000.0,1600000.0,2025-10-31,2025-11-13
đại dương,pháp kiều,,zingmp3,,,,,1,17.0,17.0,1.0,41.32,,,,,,,,,,,,,,,,,,,,1.0,17.0,17.0,35000.0,,2025-11-13,2025-11-13
tâm sự với đêm một mình,phùng khánh linh,,apple,54.0,2025-10-18,"v-pop, vietnam indie",5JkQq7lTADn7UR4AzAQsnz,1,28.0,39.5,8.0,41.3,8.0,28.0,39.5,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
nhắn nhủ,ronboogz,,spotify,64.0,2023-12-12,"v-pop, vietnamese hip hop, vietnam indie",2uZmeuNAxSm7XfVIwLkhCx,1,33.0,55.82,11.0,41.18,,,,,,11.0,33.0,55.82,698.0,36902652.0,9.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
dự báo thời tiết hôm nay mưa,grey d,,"apple, spotify",62.0,2022-11-22,"v-pop, vietnam indie, vietnamese hip hop",65cM1nyMf9pFDZVV8xmPX9,2,55.0,73.13,13.0,41.12,3.0,65.0,74.67,2025-11-08,2025-11-12,10.0,55.0,71.6,1085.0,35672814.0,5.0,2025-11-01,2025-11-11,,,,,,,,,,,,,
anh thua người ta nhiều lắm,nb3 hoài bảo,ct,zingmp3,28.0,2025-08-17,"vinahouse, vietnamese lo-fi, v-pop, lo-fi",38I9WxdCEH2nlKAHsAayyI,1,40.0,63.8,15.0,40.88,,,,,,,,,,,,,,,,,,,,15.0,40.0,63.8,40000.0,1700000.0,2025-10-31,2025-11-13
dù cho tận thế,erik,,nct,60.0,2025-02-06,"v-pop, vinahouse, vietnam indie",0oSc7X1uRQGuEqNRtXEeQL,1,31.0,33.33,9.0,40.72,,,,,,,,,,,,,,9.0,31.0,33.33,243059.0,2025-10-31,2025-11-13,,,,,,,
có mình và ta,nguyễn vĩ,,zingmp3,40.0,2025-09-16,"vinahouse, vietnamese lo-fi, v-pop",00aePbGy0OSKVotPHGQlT2,1,41.0,51.73,15.0,40.47,,,,,,,,,,,,,,,,,,,,15.0,41.0,51.73,23000.0,924000.0,2025-10-31,2025-11-13
độc nhất vô nhị,anh trai say hi,"karik, vũ cát tường, gill, tez","nct, zingmp3",57.0,2025-09-22,"v-pop, vietnamese hip hop",3nglEHRDn1MEy3vmMNfLl5,2,49.0,69.85,8.0,40.4,,,,,,,,,,,,,,1.0,49.0,49.0,25775.0,2025-10-31,2025-10-31,7.0,86.0,90.71,15000.0,856000.0,2025-11-03,2025-11-10
tràn bộ nhớ,dương domic,,spotify,64.0,2024-11-22,"v-pop, vietnamese hip hop",0669gFIK8dYK9GGQ0K0QNF,1,35.0,53.91,11.0,40.38,,,,,,11.0,35.0,53.91,354.0,22992508.0,5.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
love is,dangrangto,,spotify,64.0,2023-06-27,"vietnamese hip hop, v-pop",226ljdOTLM2clGpm4mZvAm,1,35.0,45.27,11.0,40.38,,,,,,11.0,35.0,45.27,382.0,23902845.0,7.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
bắt con bướm vàng,danhka,,zingmp3,37.0,2025-08-05,"vinahouse, v-pop",1UlLetlR4rH6zU3azbU55V,1,42.0,48.67,15.0,40.08,,,,,,,,,,,,,,,,,,,,15.0,42.0,48.67,36000.0,1700000.0,2025-10-31,2025-11-13
anh vui,phạm kỳ,,nct,57.0,2023-03-10,"vinahouse, v-pop, vietnamese lo-fi",7asicziv1NB49eEA1ZPp2O,1,33.0,36.67,9.0,39.92,,,,,,,,,,,,,,9.0,33.0,36.67,91704.0,2025-10-31,2025-11-13,,,,,,,
hãy trao cho anh,sơn tùng m-tp,snoop dogg,nct,55.0,2019-07-02,"v-pop, vinahouse, vietnamese hip hop",5x5Vx0Musv3LSUKzjY73mA,1,34.0,43.11,9.0,39.53,,,,,,,,,,,,,,9.0,34.0,43.11,927390.0,2025-10-31,2025-11-13,,,,,,,
điều em khó nói,min,,apple,53.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",1i8XBFqEFIGbzLXvqu9c3b,1,33.0,54.0,8.0,39.3,8.0,33.0,54.0,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
đừng bất công với em mà,inso,viam,zingmp3,28.0,2025-07-11,"vinahouse, v-pop",0J3MfbyMKPSkhnxdU63XAJ,1,44.0,62.4,15.0,39.28,,,,,,,,,,,,,,,,,,,,15.0,44.0,62.4,35000.0,2400000.0,2025-10-31,2025-11-13
kịch bản,táo,hoàng yến chibi,spotify,58.0,2025-10-23,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",0gxXkhbz8x0P0GNN2Pc3lm,1,38.0,68.91,11.0,39.17,,,,,,11.0,38.0,68.91,17.0,722223.0,38.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
nhiều hơn,low g,,"apple, spotify",59.0,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",3PvxUf6vng5MtK1xDtbmFh,2,59.0,80.91,12.0,38.9,6.0,59.0,76.0,2025-11-05,2025-11-10,6.0,73.0,85.83,18.0,655055.0,53.0,2025-10-31,2025-11-08,,,,,,,,,,,,,
id 072019,w/n,,spotify,64.0,2023-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",1o6cYDMHvKOfizi4d9Lqxr,1,39.0,55.73,11.0,38.78,,,,,,11.0,39.0,55.73,834.0,45284631.0,3.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
bầu trời mới,da lab,minh tốc & lam,spotify,63.0,2024-10-05,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",7fCeYpR02Q8JVuD88hJZVT,1,39.0,55.27,11.0,38.78,,,,,,11.0,39.0,55.27,405.0,28859421.0,6.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
2am,justatee,bigdaddy,spotify,64.0,2022-05-10,"v-pop, vietnamese hip hop",3DLtPObflLQBodZN8qGODT,1,39.0,54.18,11.0,38.78,,,,,,11.0,39.0,54.18,1278.0,35656346.0,14.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
