title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
ảo ảnh,anh trai say hi,"vũ cát tường, gill, ryn lee","nct, zingmp3",55,2025-10-20,"v-pop, vietnamese hip hop",2BKhVHyxHjbIAFVMfR4T3b,aoanh||anhtraisayhi,"('ảo ảnh', 'anh, hi, say, trai', 'cát, gill, lee, ryn, tường, vũ')"
bắc thang lên hỏi ông trời,em xinh say hi,"bích phương, juky san, lamoon, mỹ mỹ, quỳnh anh shyn",zingmp3,56,2025-08-04,v-pop,15YePdrwoWzDN68BanP7r4,bacthanglenhoiongtroi||emxinhsayhi,"('bắc thang lên hỏi ông trời', 'em, hi, say, xinh', 'anh, bích, juky, lamoon, mỹ, phương, quỳnh, san, shyn')"
bạn đời,karik,gducky,"nct, spotify",58,2023-10-04,"v-pop, vietnamese hip hop, vietnam indie",0kHgteR4TV4LO80wrasDSR,bandoi||karik,"('bạn đời', 'karik', 'gducky')"
bao tiền một mớ bình yên?,14 casper,bon nghiêm,spotify,59,2023-03-03,"v-pop, vietnamese lo-fi, vietnam indie",7kgzRBNkBRArtTPkYjWLYT,baotienmotmobinhyen||14casper,"('bao tiền một mớ bình yên?', '14, casper', 'bon, nghiêm')"
bắt con bướm vàng,danhka,nan,zingmp3,37,2025-08-05,"vinahouse, v-pop",1UlLetlR4rH6zU3azbU55V,batconbuomvang||danhka,"('bắt con bướm vàng', 'danhka', 'nan')"
bầu trời mới,da lab,minh tốc & lam,spotify,63,2024-10-05,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",7fCeYpR02Q8JVuD88hJZVT,bautroimoi||dalab,"('bầu trời mới', 'da, lab', 'lam, minh, tốc')"
bình yên,vũ.,binz,"apple, nct, spotify",64,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",41DlPJXKTCypXdf2eSqa03,binhyen||vu,"('bình yên', 'vũ', 'binz')"
bông hoa đẹp nhất,quân a.p,nan,spotify,60,2020-09-07,"v-pop, vietnamese lo-fi",4TyQKEifYDWTfTSRwpxlYI,bonghoadepnhat||quanap,"('bông hoa đẹp nhất', 'a, p, quân', 'nan')"
bóng tối yêu đời,lyhan,nan,zingmp3,27,2025-11-11,v-pop,3b95RXhPw2BBufUMhTzPPw,bongtoiyeudoi||lyhan,"('bóng tối yêu đời', 'lyhan', 'nan')"
bước qua mùa cô đơn,vũ.,nan,"apple, spotify",63,2022-09-09,"v-pop, vietnam indie, vietnamese lo-fi",6uxuJ8Fr1AAfSPJUF9N1yr,buocquamuacodon||vu,"('bước qua mùa cô đơn', 'vũ', 'nan')"
buồn thật đấy,sofia,nguyễn thương,zingmp3,26,2025-09-29,"vietnamese hip hop, v-pop, vietnam indie",6LmOwhZnpkZmGyS737d9mH,buonthatday||sofia,"('buồn thật đấy', 'sofia', 'nguyễn, thương')"
