title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
gã săn cá,em xinh say hi,"lâm bảo ngọc, quỳnh anh shyn, maiquinn, saabirose, quang hùng masterd","apple, nct, zingmp3",61,2025-06-30,v-pop,34FhBswjcDbFzGx8zcPqoj,gasanca||emxinhsayhi,"('gã săn cá', 'em, hi, say, xinh', 'anh, bảo, hùng, lâm, maiquinn, masterd, ngọc, quang, quỳnh, saabirose, shyn')"
ghé qua,pc,"dick, tofutns",spotify,62,2018-03-17,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",6Q2oEdOhRjZ1DTv2a7j0lN,ghequa||pc,"('ghé qua', 'pc', 'dick, tofutns')"
giá mà anh,captain boy,nan,spotify,58,2025-10-23,"v-pop, vietnamese hip hop",7hF5DFtzMER5KzHA1nCTYq,giamaanh||captainboy,"('giá mà anh', 'boy, captain', 'nan')"
giá như,soobin,nan,"apple, spotify",61,2024-04-10,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",1LxaXT8hwdBWSNpOqTjF8R,gianhu||soobin,"('giá như', 'soobin', 'nan')"
giờ thì,buitruonglinh,nan,"apple, nct, spotify",65,2024-12-12,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",7mblTCdc14ylJ1JW71MODb,giothi||buitruonglinh,"('giờ thì', 'buitruonglinh', 'nan')"
giữ anh cho ngày hôm qua,hoàng dũng,"rhymastic, lelarec",apple,61,2025-07-09,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",5wYQC7AuxV8ROALWcbVNxc,giuanhchongayhomqua||hoangdung,"('giữ anh cho ngày hôm qua', 'dũng, hoàng', 'lelarec, rhymastic')"
grief is the price you pay for love,phùng khánh linh,nan,apple,52,2025-10-18,"v-pop, vietnam indie",0No0rqyK0KIsesiwrnnhaf,griefisthepriceyoupayforlove||phungkhanhlinh,"('grief is the price you pay for love', 'khánh, linh, phùng', 'nan')"
hà nội,obito,"shiki, vstra","apple, spotify",64,2023-10-10,"v-pop, vietnamese hip hop, vietnam indie",5PGh9MyKry8slG5AfvD1eD,hanoi||obito,"('hà nội', 'obito', 'shiki, vstra')"
hai thế giới,hoàng thống,trang hàn,zingmp3,18,2025-10-16,"vietnam indie, v-pop",0fXxzf54BMzKQjFSYIpSH5,haithegioi||hoangthong,"('hai thế giới', 'hoàng, thống', 'hàn, trang')"
hải trình tan vỡ,trungg i.u,phạm anh duy,zingmp3,50,2025-09-15,"v-pop, vinahouse, vietnam indie",5teXF6aAKNuZSSpaP7Bjbo,haitrinhtanvo||trunggiu,"('hải trình tan vỡ', 'i, trungg, u', 'anh, duy, phạm')"
hãy nói anh sai rồi,phùng khánh linh,nan,apple,53,2025-10-18,"v-pop, vietnam indie",1mZCfyJVxvkqkKd3xlOk2H,haynoianhsairoi||phungkhanhlinh,"('hãy nói anh sai rồi', 'khánh, linh, phùng', 'nan')"
hãy trao cho anh,sơn tùng m-tp,snoop dogg,nct,55,2019-07-02,"v-pop, vinahouse, vietnamese hip hop",5x5Vx0Musv3LSUKzjY73mA,haytraochoanh||sontungmtp,"('hãy trao cho anh', 'm-tp, sơn, tùng', 'dogg, snoop')"
hẹn gặp em dưới ánh trăng,manbo,"hieuthuhai, hurrykng",spotify,63,2020-09-25,"vietnamese hip hop, v-pop, vietnam indie",0s7RyyUlQfd8mnnboHe18n,hengapemduoianhtrang||manbo,"('hẹn gặp em dưới ánh trăng', 'manbo', 'hieuthuhai, hurrykng')"
hermosa,anh trai say hi,"sơn.k, buitruonglinh, tez, mason nguyen, congb","nct, zingmp3",60,2025-09-29,"v-pop, vietnamese hip hop",7tDEWTNvUrVDCWdOrJWATZ,hermosa||anhtraisayhi,"('hermosa', 'anh, hi, say, trai', 'buitruonglinh, congb, k, mason, nguyen, sơn, tez')"
hiện thực phũ phàng,phùng khánh linh,nan,apple,56,2025-10-18,"v-pop, vietnam indie",28X9PA12ANiyb1qExK6AEG,hienthucphuphang||phungkhanhlinh,"('hiện thực phũ phàng', 'khánh, linh, phùng', 'nan')"
hoa,chung thanh duy,nan,zingmp3,32,2025-06-26,"vinahouse, v-pop, vietnamese hip hop, vietnamese lo-fi",5Dn0JXPDrBrYW3CXEaAnRl,hoa||chungthanhduy,"('hoa', 'chung, duy, thanh', 'nan')"
hoa bất tử,thành đạt,nan,zingmp3,38,2025-04-18,"vinahouse, v-pop",3lotckWqqycAqYCGan0zZe,hoabattu||thanhdat,"('hoa bất tử', 'thành, đạt', 'nan')"
hoa đỗ quyên,khả hiệp,nan,zingmp3,13,2025-09-22,"vinahouse, v-pop, vietnamese lo-fi",683tqruHrjbdocY4cJtCW5,hoadoquyen||khahiep,"('hoa đỗ quyên', 'hiệp, khả', 'nan')"
hóa giải bằng nước mắt,cao thái sơn,lê chí trung,zingmp3,36,2024-10-25,"v-pop, vinahouse, vietnamese bolero",3OQiIsw7pY51x5OXtuD7qm,hoagiaibangnuocmat||caothaison,"('hóa giải bằng nước mắt', 'cao, sơn, thái', 'chí, lê, trung')"
họa sĩ tồi,thái học,nan,zingmp3,49,2025-08-10,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",112QD7xBOqcYhe4eFrGlxu,hoasitoi||thaihoc,"('họa sĩ tồi', 'học, thái', 'nan')"
hơn là bạn,anh trai say hi,"ngô kiến huy, vũ cát tường, karik, vương bình, sơn.k, min","apple, nct, spotify, zingmp3",52,2025-11-03,"v-pop, vietnamese hip hop",6HfodJwwVoCsygZqZ2xKYN,honlaban||anhtraisayhi,"('hơn là bạn', 'anh, hi, say, trai', 'bình, cát, huy, k, karik, kiến, min, ngô, sơn, tường, vũ, vương')"
hư không,kha,nan,spotify,61,2023-12-14,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",3A9A7mfVDVm3rrS9SMGhg5,hukhong||kha,"('hư không', 'kha', 'nan')"
id 072019,w/n,nan,spotify,64,2023-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",1o6cYDMHvKOfizi4d9Lqxr,id072019||wn,"('id 072019', 'n, w', 'nan')"
ilysmbihtlyg (interlude),min,nan,apple,49,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3To9alnOgQ0abb9odA1C74,ilysmbihtlyginterlude||min,"('ilysmbihtlyg interlude', 'min', 'nan')"
in love,low g,justatee,"apple, nct, spotify, zingmp3",66,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",7uUuftbcr94tzGOCJSM25u,inlove||lowg,"('in love', 'g, low', 'justatee')"
kệ nhắm mắt yêu luôn,hana cẩm tiên,tuệ ny,zingmp3,32,2025-08-05,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",1tteKpc4fNBOmx9kjORyeH,kenhammatyeuluon||hanacamtien,"('kệ nhắm mắt yêu luôn', 'cẩm, hana, tiên', 'ny, tuệ')"
kẻ say tình,quốc thiên,nan,zingmp3,40,2025-07-30,"v-pop, vietnamese bolero",6a5IEsMgdzImE9cYLAQ900,kesaytinh||quocthien,"('kẻ say tình', 'quốc, thiên', 'nan')"
kết thúc và chia tay,nguyễn kiều oanh,nan,zingmp3,34,2025-10-21,v-pop,7wnIhOc840NgqG4xEbcWvu,ketthucvachiatay||nguyenkieuoanh,"('kết thúc và chia tay', 'kiều, nguyễn, oanh', 'nan')"
khi em lớn,orange,hoàng dũng,spotify,59,2021-04-20,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3J06iY9IRWKr1H0zIxrUby,khiemlon||orange,"('khi em lớn', 'orange', 'dũng, hoàng')"
kho báu,(s)trong,nan,"apple, nct, spotify, zingmp3",64,2025-08-14,"v-pop, vietnam indie",2qrpmvkxE0oz78ym1LEvXd,khobau||strong,"('kho báu', 's, trong', 'nan')"
kho báu (rock ver.),(s)trong,nan,zingmp3,30,2025-11-06,"v-pop, vietnam indie",55ZbetqAcpX94GDFvtuN1G,khobaurockver||strong,"('kho báu rock ver.', 's, trong', 'nan')"
kho báu (with rhymastic),(s)trong,rhymastic,"apple, nct, zingmp3",64,2025-08-14,"v-pop, vietnam indie",2qrpmvkxE0oz78ym1LEvXd,khobauwithrhymastic||strong,"('kho báu with rhymastic', 's, trong', 'rhymastic')"
khóa ly biệt,the masked singer,voi bản đôn,nct,51,2023-11-05,v-pop,3BlB5wlzdbgCJGkuPcNVIW,khoalybiet||themaskedsinger,"('khóa ly biệt', 'masked, singer, the', 'bản, voi, đôn')"
khóc blóck,phùng khánh linh,nan,apple,51,2025-10-18,"v-pop, vietnam indie",7D7Atev6IsLXMvO7Z5MnL0,khocblock||phungkhanhlinh,"('khóc blóck', 'khánh, linh, phùng', 'nan')"
không buông,hngle,ari,"apple, nct, spotify, zingmp3",70,2025-08-25,v-pop,1ApIGNgp1azc0qB61x4GzG,khongbuong||hngle,"('không buông', 'hngle', 'ari')"
không đau nữa rồi,em xinh say hi,"orange, châu bùi, mỹ mỹ, pháp kiều, 52hz","apple, nct, spotify, zingmp3",67,2025-06-23,v-pop,1uiqiUzPn2EJpvHDy84PEZ,khongdaunuaroi||emxinhsayhi,"('không đau nữa rồi', 'em, hi, say, xinh', '52hz, bùi, châu, kiều, mỹ, orange, pháp')"
không thể say,hieuthuhai,nan,"apple, spotify",67,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",1K0HQ30Wc11okzlcnFA7Ub,khongthesay||hieuthuhai,"('không thể say', 'hieuthuhai', 'nan')"
không thời gian,dương domic,nan,"apple, nct, spotify, zingmp3",67,2025-09-20,"v-pop, vietnamese hip hop",6GUKRhIsWxA7VuZW8MKQLG,khongthoigian||duongdomic,"('không thời gian', 'domic, dương', 'nan')"
không yêu em thì yêu ai?,vũ.,low g,spotify,64,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",0e6fZkLArSmDIHnZcIua7t,khongyeuemthiyeuai||vu,"('không yêu em thì yêu ai?', 'vũ', 'g, low')"
kịch bản,táo,hoàng yến chibi,spotify,58,2025-10-23,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",0gxXkhbz8x0P0GNN2Pc3lm,kichban||tao,"('kịch bản', 'táo', 'chibi, hoàng, yến')"
là ai có tội,lê gia bảo,t.a.p entertainment (producer t.a),zingmp3,0,2025-11-12,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",5As0A07tKPUb0Cj6EIMSJ8,laaicotoi||legiabao,"('là ai có tội', 'bảo, gia, lê', 'a, entertainment, p, producer, t')"
lạ lùng,vũ.,nan,"apple, spotify",64,2016-12-24,"v-pop, vietnam indie, vietnamese lo-fi",5Bti0azlFhMattVY76qFr9,lalung||vu,"('lạ lùng', 'vũ', 'nan')"
lễ đường,kai đinh,nan,"spotify, zingmp3",62,2025-03-09,"v-pop, vietnamese lo-fi, vietnam indie",3y66li7DIrH7HLKIZzxR5H,leduong||kaidinh,"('lễ đường', 'kai, đinh', 'nan')"
lệ ngang trời,hồ nhi,a tuân,zingmp3,28,2025-06-27,none,0efBHrS8V1AcHTDRynEG5g,lengangtroi||honhi,"('lệ ngang trời', 'hồ, nhi', 'a, tuân')"
linh cảm,phùng khánh linh,nan,"apple, zingmp3",55,2025-10-18,"v-pop, vietnam indie",2EnTkrLXgoGQ1S9atYZu2F,linhcam||phungkhanhlinh,"('linh cảm', 'khánh, linh, phùng', 'nan')"
lo người ướt áo,nguyễn thạc bảo ngọc,nan,zingmp3,0,2025-11-11,"vinahouse, v-pop",5XnkbEgL1vKoor7Us9YLTr,longuoiuotao||nguyenthacbaongoc,"('lo người ướt áo', 'bảo, nguyễn, ngọc, thạc', 'nan')"
loser,min,chillies,apple,54,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",30iU0Hny521RxJVtDq2LH9,loser||min,"('loser', 'min', 'chillies')"
love game,low g,tlinh,"apple, nct, spotify, zingmp3",63,2025-09-11,"vietnamese hip hop, v-pop, vietnam indie",0x7rhEP1Tak1guiTYODlic,lovegame||lowg,"('love game', 'g, low', 'tlinh')"
love is,dangrangto,nan,spotify,64,2023-06-27,"vietnamese hip hop, v-pop",226ljdOTLM2clGpm4mZvAm,loveis||dangrangto,"('love is', 'dangrangto', 'nan')"
love my friend,shayda,nan,"apple, spotify",59,2025-10-10,"v-pop, vietnamese hip hop",6CjmlnDoRepubCwg3hFO1H,lovemyfriend||shayda,"('love my friend', 'shayda', 'nan')"
lưới tình,j.ade,nan,zingmp3,28,2025-10-30,"v-pop, vietnam indie",2Fxyo0hUNokG0pIGFlTWII,luoitinh||jade,"('lưới tình', 'ade, j', 'nan')"
lý do nào để quay lại với nhau,par sg,new$oulz,spotify,66,2022-05-20,"vietnamese lo-fi, vietnamese hip hop, v-pop, vietnam indie",11OxuU5y7ebAJyKaY8dOl0,lydonaodequaylaivoinhau||parsg,"('lý do nào để quay lại với nhau', 'par, sg', 'new$oulz')"
make up,anh trai say hi,"dillan hoàng phan, buitruonglinh, đỗ nam sơn, lohan, ryn lee, bảo thy","nct, zingmp3",48,2025-11-03,"v-pop, vietnamese hip hop",4jXsORpwH2lE52E0Md8u7y,makeup||anhtraisayhi,"('make up', 'anh, hi, say, trai', 'buitruonglinh, bảo, dillan, hoàng, lee, lohan, nam, phan, ryn, sơn, thy, đỗ')"
mảnh tình sai đôi,quang hà,nan,zingmp3,36,2025-08-18,"vinahouse, v-pop, vietnamese bolero",4CbfBM3cqdXilXNSat7mnP,manhtinhsaidoi||quangha,"('mảnh tình sai đôi', 'hà, quang', 'nan')"
mảnh tình sai đôi,thành đạt,nan,zingmp3,34,2025-10-08,"vinahouse, v-pop",2cY72eGi5dHcjRgKijHFFu,manhtinhsaidoi||thanhdat,"('mảnh tình sai đôi', 'thành, đạt', 'nan')"
mảnh tình sai đôi,yến nhi,nan,zingmp3,29,2025-10-02,"v-pop, vinahouse",2ik6v5h2sXSiUjfbchPRtb,manhtinhsaidoi||yennhi,"('mảnh tình sai đôi', 'nhi, yến', 'nan')"
mất kết nối,dương domic,nan,"apple, nct, spotify",66,2024-11-22,"v-pop, vietnamese hip hop",3CmacJj7VC4W6daC8BWd0h,matketnoi||duongdomic,"('mất kết nối', 'domic, dương', 'nan')"
mê cung 79 (metal rock),phương thanh,nan,zingmp3,7,2025-10-17,"v-pop, vietnamese bolero",3LV8EqCzpObmq8eI7nMZ4D,mecung79metalrock||phuongthanh,"('mê cung 79 metal rock', 'phương, thanh', 'nan')"
mến tay mến chân,phạm quỳnh anh,thanh duy,zingmp3,24,2025-11-05,v-pop,780fc4fTrkO9lW89f4F9jO,mentaymenchan||phamquynhanh,"('mến tay mến chân', 'anh, phạm, quỳnh', 'duy, thanh')"
mình là người yêu cũ,khả hiệp,nan,zingmp3,37,2025-07-22,"vinahouse, v-pop, vietnamese lo-fi",2FkAmNeQP75saHAecg0vkr,minhlanguoiyeucu||khahiep,"('mình là người yêu cũ', 'hiệp, khả', 'nan')"
missing you,phương ly,nan,apple,54,2020-08-18,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7D5hQQZXK33EpJdn1zdLch,missingyou||phuongly,"('missing you', 'ly, phương', 'nan')"
mo,vũ cát tường,nan,spotify,68,2016-01-01,"v-pop, vietnam indie",2a5hng9yXtbjtTVVm9UviC,mo||vucattuong,"('mo', 'cát, tường, vũ', 'nan')"
moiem,dangrangto,donal,spotify,62,2024-11-06,"vietnamese hip hop, v-pop",265hQASPY3HFmUH38zZrSK,moiem||dangrangto,"('moiem', 'dangrangto', 'donal')"
mộng tình si,đan trường,"hòa minzy, lê thành trung",zingmp3,0,2025-11-08,none,2XRX3BGuwrIQd5vJR4U2KJ,mongtinhsi||dantruong,"('mộng tình si', 'trường, đan', 'hòa, lê, minzy, thành, trung')"
một bài hát không vui mấy - extended version,t.r.i,"dangrangto, donal",spotify,65,2024-12-24,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",36fgG6NiEuQXznNgf5y2Ck,motbaihatkhongvuimayextendedversion||tri,"('một bài hát không vui mấy extended version', 'i, r, t', 'dangrangto, donal')"
một đời,14 casper,"bon nghiêm, buitruonglinh","nct, spotify",62,2023-03-03,"v-pop, vietnamese lo-fi, vietnam indie",4gaxEUZE4z9pJAVTSFwgQI,motdoi||14casper,"('một đời', '14, casper', 'bon, buitruonglinh, nghiêm')"
một mình chẳng sao,ngân ngân,nan,zingmp3,11,2025-10-31,"vinahouse, v-pop, vietnamese bolero",61p3IxFOF7tzVJvl2whEmP,motminhchangsao||nganngan,"('một mình chẳng sao', 'ngân', 'nan')"
một mình ở đây,bùi lan hương,nan,zingmp3,32,2025-06-20,"v-pop, vietnam indie",2Voeolkjs3dZxjK04Kpdkh,motminhoday||builanhuong,"('một mình ở đây', 'bùi, hương, lan', 'nan')"
mùa mưa ấy,vũ.,nan,apple,57,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",3qllaNK66kKxX123f0eKpj,muamuaay||vu,"('mùa mưa ấy', 'vũ', 'nan')"
mục hạ vô nhân,soobin,"binz, nsnd huỳnh tú","apple, nct, spotify",47,2025-11-10,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",2jbwrUF3CCe68kztsvLsNC,muchavonhan||soobin,"('mục hạ vô nhân', 'soobin', 'binz, huỳnh, nsnd, tú')"
muốn cua anh làm bồ,dương ái vy,htm,zingmp3,41,2025-07-08,"vinahouse, v-pop, vietnamese hip hop",5dCbl3Jx20Yx65YN6bmXU0,muoncuaanhlambo||duongaivy,"('muốn cua anh làm bồ', 'dương, vy, ái', 'htm')"
muộn rồi mà sao còn,sơn tùng m-tp,nan,spotify,62,2021-04-29,"v-pop, vinahouse, vietnamese hip hop",4vfhartd7HDWGJbdVIycEu,muonroimasaocon||sontungmtp,"('muộn rồi mà sao còn', 'm-tp, sơn, tùng', 'nan')"
mỹ vị cuộc đời,trung quân,nan,zingmp3,35,2025-11-04,"v-pop, vietnam indie",7cRJyJIwN1BOBzvgxn9nJw,myvicuocdoi||trungquan,"('mỹ vị cuộc đời', 'quân, trung', 'nan')"
nằm bên anh,minh đinh,hà an huy,spotify,57,2025-05-16,"vietnam indie, v-pop, vietnamese hip hop",5LuyL5o2BcFKK4FOJLYsSy,nambenanh||minhdinh,"('nằm bên anh', 'minh, đinh', 'an, huy, hà')"
nắng ấm trong tim,duongg,dadeon,"nct, spotify, zingmp3",57,2025-10-24,"vietnamese lo-fi, v-pop, vietnam indie",3rIQPhzwnHiF3PzfFVnXp5,nangamtrongtim||duongg,"('nắng ấm trong tim', 'duongg', 'dadeon')"
nắng có mang em về,shartnuss,"tr.d, phankeo",spotify,68,2023-10-21,"v-pop, vietnam indie",6kCU6i8iRrAAmJJ8Sj4JYC,nangcomangemve||shartnuss,"('nắng có mang em về', 'shartnuss', 'd, phankeo, tr')"
nắng dưới chân mây,nguyễn hữu kha,nan,nct,54,2025-06-18,"vinahouse, v-pop",0rpypmIyrvM4ORUt8SYSdP,nangduoichanmay||nguyenhuukha,"('nắng dưới chân mây', 'hữu, kha, nguyễn', 'nan')"
nàng thơ,hoàng dũng,nan,apple,56,2020-12-16,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",1w3eUC89GPspKpi62tPwjt,nangtho||hoangdung,"('nàng thơ', 'dũng, hoàng', 'nan')"
nếu biết đó là lần cuối,đức trường,bmz,spotify,60,2022-08-19,v-pop,2w7jOvl0kpplNxisgfnCdT,neubietdolalancuoi||ductruong,"('nếu biết đó là lần cuối', 'trường, đức', 'bmz')"
nếu lúc đó,tlinh,2pillz,"apple, spotify",63,2023-08-16,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5ouxRyInSdRBQubu3KTd97,neulucdo||tlinh,"('nếu lúc đó', 'tlinh', '2pillz')"
nếu ngày ấy,soobin,nan,spotify,63,2019-07-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4BdB08vuS9r4HOoY7GkAxT,neungayay||soobin,"('nếu ngày ấy', 'soobin', 'nan')"
nếu những tiếc nuối,vũ.,nan,"apple, spotify",59,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",2dPJtlvoa3GDowCh035M8P,neunhungtiecnuoi||vu,"('nếu những tiếc nuối', 'vũ', 'nan')"
ngã về không,đặng thiên chí,nan,zingmp3,30,2025-05-09,"vinahouse, vietnamese lo-fi",4OZpPHVEIIHFhVOu2DBGJd,ngavekhong||dangthienchi,"('ngã về không', 'chí, thiên, đặng', 'nan')"
ngàn năm ánh sáng,đặng vĩnh thịnh,bmz,"nct, spotify, zingmp3",66,2025-07-30,"v-pop, vietnam indie",4nyoalDFgUaZOzIKqj3aS5,ngannamanhsang||dangvinhthinh,"('ngàn năm ánh sáng', 'thịnh, vĩnh, đặng', 'bmz')"
ngày bình thường quên người mình thương,phát huy t4,nan,zingmp3,35,2025-09-11,"vinahouse, v-pop, vietnamese lo-fi",5g7XMUEmsbomaF9iSfZX4s,ngaybinhthuongquennguoiminhthuong||phathuyt4,"('ngày bình thường quên người mình thương', 'huy, phát, t4', 'nan')"
ngày mai em đi,lê hiếu,"soobin, touliver",spotify,59,2017-08-02,"v-pop, vietnam indie, vietnamese bolero, vietnamese hip hop, vinahouse",0ZP4bO2ywAv44HiEzzHaq5,ngaymaiemdi||lehieu,"('ngày mai em đi', 'hiếu, lê', 'soobin, touliver')"
ngày này năm ấy,việt anh,nan,"apple, nct, spotify, zingmp3",65,2025-07-12,"vinahouse, v-pop",1WbTOu4D2oHK9fg2qR6msd,ngaynaynamay||vietanh,"('ngày này năm ấy', 'anh, việt', 'nan')"
ngày này năm ấy (metal rock),việt anh,nan,"nct, zingmp3",48,2025-10-19,"vinahouse, v-pop",3vCLYX5igpqSYXbFrbw9a9,ngaynaynamaymetalrock||vietanh,"('ngày này năm ấy metal rock', 'anh, việt', 'nan')"
ngây ther,kidsai,"vstra, whenitsasunniday",spotify,54,2025-10-30,"v-pop, vietnamese hip hop, vietnam indie",437CIQ8M980cDL9Xh9eUoP,ngayther||kidsai,"('ngây ther', 'kidsai', 'vstra, whenitsasunniday')"
nghe như tình yêu,hieuthuhai,nan,spotify,61,2021-07-09,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",1J12HjUuXfJnaUdubTEzSR,nghenhutinhyeu||hieuthuhai,"('nghe như tình yêu', 'hieuthuhai', 'nan')"
người bình thường,vũ cát tường,nan,spotify,61,2023-12-04,"v-pop, vietnam indie",1fFvYVg1v3rpUSqKNCUh7b,nguoibinhthuong||vucattuong,"('người bình thường', 'cát, tường, vũ', 'nan')"
người đầu tiên,em xinh say hi,juky san,"nct, spotify, zingmp3",68,2025-08-18,v-pop,3qKeW2XJFZU5CvOQKStQW6,nguoidautien||emxinhsayhi,"('người đầu tiên', 'em, hi, say, xinh', 'juky, san')"
người đầu tiên,juky san,buitruonglinh,"apple, nct, spotify, zingmp3",68,2025-08-18,v-pop,3qKeW2XJFZU5CvOQKStQW6,nguoidautien||jukysan,"('người đầu tiên', 'juky, san', 'buitruonglinh')"
người như anh xứng đáng cô đơn,anh trai say hi,"vũ cát tường, karik, negav, ngô kiến huy, jey b","apple, nct, spotify, zingmp3",68,2025-09-29,"v-pop, vietnamese hip hop",5u5AsK8JLgkr154QHZjJqh,nguoinhuanhxungdangcodon||anhtraisayhi,"('người như anh xứng đáng cô đơn', 'anh, hi, say, trai', 'b, cát, huy, jey, karik, kiến, negav, ngô, tường, vũ')"
người yêu chưa sinh ra,anh trai say hi,"ogenus, bigdaddy, phúc du, hustlang robber, dillan hoàng phan","apple, nct, zingmp3",60,2025-09-29,"v-pop, vietnamese hip hop",2ix8KB1Xm7rRGzkh3i8P1d,nguoiyeuchuasinhra||anhtraisayhi,"('người yêu chưa sinh ra', 'anh, hi, say, trai', 'bigdaddy, dillan, du, hoàng, hustlang, ogenus, phan, phúc, robber')"
nhà tôi có treo một lá cờ,dtap,hà anh tuấn,zingmp3,52,2025-08-19,v-pop,2L3R75fV5mZIGDVm3nDKqI,nhatoicotreomotlaco||dtap,"('nhà tôi có treo một lá cờ', 'dtap', 'anh, hà, tuấn')"
nhắn nhủ,ronboogz,nan,spotify,64,2023-12-12,"v-pop, vietnamese hip hop, vietnam indie",2uZmeuNAxSm7XfVIwLkhCx,nhannhu||ronboogz,"('nhắn nhủ', 'ronboogz', 'nan')"
nhiều chuyện,the flob,nan,zingmp3,38,2025-10-24,"vietnam indie, v-pop",2Dz03B4vbLiViXJvHOFrm9,nhieuchuyen||theflob,"('nhiều chuyện', 'flob, the', 'nan')"
nhiều hơn,low g,nan,"apple, spotify",59,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",3PvxUf6vng5MtK1xDtbmFh,nhieuhon||lowg,"('nhiều hơn', 'g, low', 'nan')"
nhói lòng thuyền hoa (rock version),tlong,lkt media,zingmp3,4,2025-10-28,"vinahouse, v-pop, vietnamese lo-fi",2dbZRzKtHp4NSnFwECJp6g,nhoilongthuyenhoa||tlong,"('nhói lòng thuyền hoa rock version', 'tlong', 'lkt, media')"
những lời hứa bỏ quên,vũ.,dear jane,"apple, nct, spotify",58,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",1LJyhnPdYGRLerwJd8CmL1,nhungloihuaboquen||vu,"('những lời hứa bỏ quên', 'vũ', 'dear, jane')"
nỗi đau giữa hòa bình,hòa minzy,nguyễn văn chung,zingmp3,55,2025-08-22,"v-pop, vinahouse",0S1uRwIQF1AWR6gp4iXntl,noidaugiuahoabinh||hoaminzy,"('nỗi đau giữa hòa bình', 'hòa, minzy', 'chung, nguyễn, văn')"
nói dối,ronboogz,nan,spotify,66,2022-12-12,"v-pop, vietnamese hip hop, vietnam indie",3ET3xHCLMGd57u06A9RjJ0,noidoi||ronboogz,"('nói dối', 'ronboogz', 'nan')"
nơi này có anh,sơn tùng m-tp,nan,"nct, spotify",64,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",5rSAUmbOg4giDrM29vUyHe,noinaycoanh||sontungmtp,"('nơi này có anh', 'm-tp, sơn, tùng', 'nan')"
nỗi nhớ không tên,will,myra trần,zingmp3,35,2025-10-15,"v-pop, vietnam indie, vietnamese lo-fi",4MoHww9gEkwPbPWoebIVra,noinhokhongten||will,"('nỗi nhớ không tên', 'will', 'myra, trần')"
nolovenolife,hieuthuhai,nan,"apple, spotify",61,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",6D94p9ASguBcYlDC0o56vx,nolovenolife||hieuthuhai,"('nolovenolife', 'hieuthuhai', 'nan')"
nụ hôn đầu,đậu tất đạt,nan,zingmp3,11,2025-10-30,"v-pop, vietnamese hip hop, vietnam indie",2cZEbXZ7i1HVn2FvXrqInO,nuhondau||dautatdat,"('nụ hôn đầu', 'tất, đạt, đậu', 'nan')"
nửa quân bài,trịnh đình quang,nan,zingmp3,6,2025-11-05,"vinahouse, v-pop",1Cz1n58NwjYu2Oh5actO2b,nuaquanbai||trinhdinhquang,"('nửa quân bài', 'quang, trịnh, đình', 'nan')"
nước mắt cá sấu,hieuthuhai,nan,apple,63,2025-04-01,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",39XiO6D9cuMfJXObD6gVjY,nuocmatcasau||hieuthuhai,"('nước mắt cá sấu', 'hieuthuhai', 'nan')"
ôm lấy trái tim,kairon,nan,zingmp3,45,2025-05-23,v-pop,3o1Dy1cZKTmaEIxRgBlALQ,omlaytraitim||kairon,"('ôm lấy trái tim', 'kairon', 'nan')"
panorama,richie d. icy,obito,"apple, nct, spotify",62,2025-10-10,"vietnamese hip hop, v-pop",6gmvd9Lld9MiNR9r6I9eFE,panorama||richiedicy,"('panorama', 'd, icy, richie', 'obito')"
